scenario,horizon,count,selected_count,top20_count,median,p10,p5,p1,pct_signal,terminal_clean_signal,combined_clean_signal
baseline clean proof,6h,24229,24229,4846,0.140837,0.000439,-0.019768,-2.521978,better,better,better
exclude worst 1 position,6h,23947,23947,4790,0.135143,0.000441,-0.019768,-2.521978,better,better,better
exclude worst 3 positions,6h,19260,19260,3852,0.222133,0.000609,0.000064,-2.521978,better,better,better
exclude worst 5 positions,6h,17818,17818,3564,0.218925,0.000779,0.000356,0.000031,better,better,better
exclude worst 1 pool,6h,19335,19335,3867,0.077965,0.000420,-2.227870,-2.521978,better,better,better
exclude worst 3 pools,6h,11853,11853,2371,0.052169,0.000407,0.000064,-2.521978,better,better,better
exclude pool_mark_only terminal paths,6h,24229,24229,4846,0.140837,0.000439,-0.019768,-2.521978,better,better,better
baseline clean proof,24h,22453,22453,4491,0.091393,-2.227870,-2.370946,-2.544001,better,worse,better
exclude worst 1 position,24h,22171,22171,4435,0.097926,-2.227870,-2.370946,-2.521978,better,better,better
exclude worst 3 positions,24h,17484,17484,3497,0.218925,0.000064,-0.019768,-2.521978,better,worse,better
exclude worst 5 positions,24h,16042,16042,3209,0.511073,0.000779,0.000274,0.000064,better,better,better
exclude worst 1 pool,24h,18004,18004,3601,0.034862,-2.227870,-2.370946,-2.521978,better,better,better
exclude worst 3 pools,24h,10967,10967,2194,0.021822,0.000270,0.000064,-2.521978,better,better,better
exclude pool_mark_only terminal paths,24h,22453,22453,4491,0.091393,-2.227870,-2.370946,-2.544001,better,worse,better
