variant_name,capacity_usd,window,horizon,retained_sample_count,opportunity_retention_rate,false_filter_rate,missed_profit_rate,fee_minus_exit_cost_median,fee_minus_exit_cost_p10,tail_improvement_p10,tail_improvement_p5,tail_improvement_p1,primary_failure_reason
retention_floor_30pct,10,recent_7d,30m,200,0.09671052631578947,0.9032894736842105,0.9990360308291719,-0.030193414422714,-0.030228980479771,0.09044310311764701,0.7105143481098878,3.418253615398523,over_filtering
retention_floor_50pct,10,recent_7d,30m,697,0.35,0.65,0.7636489426383778,-0.0516599436315923,-0.0662633680407129,0.0452163703475362,0.177958103649566,1.8026081302546602,fee_minus_exit_cost_negative
false_filter_cap_50pct,10,recent_7d,30m,1422,0.7578947368421053,0.24210526315789474,0.3671147556271861,-0.0700187362032056,-0.082265934717877,0.0388741207426775,0.10964799148496795,0.7475147751904601,fee_minus_exit_cost_negative
missed_profit_cap_30pct,10,recent_7d,30m,622,0.3157894736842105,0.6842105263157895,0.7941150214829276,-0.0515432050726768,-0.0660222059690675,0.047418367597842695,0.20915549385528198,1.9004142225799403,fee_minus_exit_cost_negative
fee_cost_nonnegative_median,10,recent_7d,30m,0,0.0,1.0,1.0,,,,,,over_filtering
fee_cost_nonnegative_p10,10,recent_7d,30m,0,0.0,1.0,1.0,,,,,,over_filtering
exit_depth_soft_10usd,10,recent_7d,30m,200,0.09671052631578947,0.9032894736842105,0.9990360308291719,-0.030193414422714,-0.030228980479771,0.09044310311764701,0.7105143481098878,3.418253615398523,over_filtering
exit_depth_soft_20usd,10,recent_7d,30m,0,0.0,1.0,1.0,,,,,,over_filtering
fee_velocity_rank_top30,10,recent_7d,30m,537,0.3059210526315789,0.694078947368421,0.7106097669063148,-0.0836541106229357,-0.0994002677297983,0.016122166143334393,0.017492674377919015,-1.2587416902921293,fee_minus_exit_cost_negative
fee_velocity_rank_top50,10,recent_7d,30m,944,0.5263157894736842,0.47368421052631576,0.44180972460256895,-0.078334981232635,-0.0974843671856233,-0.049072817200582805,-0.23479053543878303,0.0,fee_minus_exit_cost_negative
