variant_name,window,horizon,capacity_usd,baseline_sample_count,baseline_median,baseline_p10,baseline_p5,baseline_p1,retained_sample_count,retained_median,retained_p10,retained_p5,retained_p1,opportunity_retention_rate,false_filter_rate,missed_profit_rate,loss_avoidance_rate,tail_improvement_p10,tail_improvement_p5,tail_improvement_p1,fee_minus_exit_cost_median,fee_minus_exit_cost_p10,worst_pool_contribution,verdict
retention_floor_30pct,recent_7d,30m,10,1886,0.00900258734603806,-0.0943476284307032,-0.721593014627863,-3.43932885555404,200,4.74762527690487e-05,-0.00390452531305618,-0.0110786665179752,-0.0210752401555176,0.09671052631578947,0.9032894736842105,0.9990360308291719,0.855191256830601,0.09044310311764701,0.7105143481098878,3.418253615398523,-0.030193414422714,-0.030228980479771,1.0,WEAK
retention_floor_50pct,recent_7d,30m,10,1886,0.00900258734603806,-0.0943476284307032,-0.721593014627863,-3.43932885555404,697,0.00407430882177322,-0.049131258083167,-0.543634910978297,-1.63672072529938,0.35,0.65,0.7636489426383778,0.5491803278688525,0.0452163703475362,0.177958103649566,1.8026081302546602,-0.0516599436315923,-0.0662633680407129,0.4819580582014245,WEAK
false_filter_cap_50pct,recent_7d,30m,10,1886,0.00900258734603806,-0.0943476284307032,-0.721593014627863,-3.43932885555404,1422,0.00891934602881263,-0.0554735076880257,-0.611945023142895,-2.69181408036358,0.7578947368421053,0.24210526315789474,0.3671147556271861,0.2622950819672131,0.0388741207426775,0.10964799148496795,0.7475147751904601,-0.0700187362032056,-0.082265934717877,0.4526582789537928,WEAK
missed_profit_cap_30pct,recent_7d,30m,10,1886,0.00900258734603806,-0.0943476284307032,-0.721593014627863,-3.43932885555404,622,0.00424123504734887,-0.0469292608328605,-0.512437520772581,-1.5389146329741,0.3157894736842105,0.6842105263157895,0.7941150214829276,0.6120218579234973,0.047418367597842695,0.20915549385528198,1.9004142225799403,-0.0515432050726768,-0.0660222059690675,0.443967250671306,WEAK
fee_cost_nonnegative_median,recent_7d,30m,10,1886,0.00900258734603806,-0.0943476284307032,-0.721593014627863,-3.43932885555404,0,,,,,0.0,1.0,1.0,1.0,,,,,,,INSUFFICIENT
fee_cost_nonnegative_p10,recent_7d,30m,10,1886,0.00900258734603806,-0.0943476284307032,-0.721593014627863,-3.43932885555404,0,,,,,0.0,1.0,1.0,1.0,,,,,,,INSUFFICIENT
exit_depth_soft_10usd,recent_7d,30m,10,1886,0.00900258734603806,-0.0943476284307032,-0.721593014627863,-3.43932885555404,200,4.74762527690487e-05,-0.00390452531305618,-0.0110786665179752,-0.0210752401555176,0.09671052631578947,0.9032894736842105,0.9990360308291719,0.855191256830601,0.09044310311764701,0.7105143481098878,3.418253615398523,-0.030193414422714,-0.030228980479771,1.0,WEAK
exit_depth_soft_20usd,recent_7d,30m,10,1886,0.00900258734603806,-0.0943476284307032,-0.721593014627863,-3.43932885555404,0,,,,,0.0,1.0,1.0,1.0,,,,,,,INSUFFICIENT
fee_velocity_rank_top30,recent_7d,30m,10,1886,0.00900258734603806,-0.0943476284307032,-0.721593014627863,-3.43932885555404,537,0.0146066024697185,-0.0782254622873688,-0.704100340249944,-4.69807054584617,0.3059210526315789,0.694078947368421,0.7106097669063148,0.8032786885245902,0.016122166143334393,0.017492674377919015,-1.2587416902921293,-0.0836541106229357,-0.0994002677297983,0.5346065267432807,WEAK
fee_velocity_rank_top50,recent_7d,30m,10,1886,0.00900258734603806,-0.0943476284307032,-0.721593014627863,-3.43932885555404,944,0.0148787300456706,-0.143420445631286,-0.956383550066646,-3.43932885555404,0.5263157894736842,0.47368421052631576,0.44180972460256895,0.6065573770491803,-0.049072817200582805,-0.23479053543878303,0.0,-0.078334981232635,-0.0974843671856233,0.5756985425405537,WEAK
fee_depth_balanced_score,recent_7d,30m,10,1886,0.00900258734603806,-0.0943476284307032,-0.721593014627863,-3.43932885555404,874,0.0148105649109251,-0.114930556941037,-0.801273550874304,-4.58103681094372,0.4888157894736842,0.5111842105263158,0.4772155236563736,0.6420765027322404,-0.020582928510333803,-0.079680536246441,-1.14170795538968,-0.0793677016173343,-0.097529664270129,0.549563915213412,WEAK
fee_depth_tail_guard,recent_7d,30m,10,1886,0.00900258734603806,-0.0943476284307032,-0.721593014627863,-3.43932885555404,697,0.00407430882177322,-0.049131258083167,-0.543634910978297,-1.63672072529938,0.35,0.65,0.7636489426383778,0.5491803278688525,0.0452163703475362,0.177958103649566,1.8026081302546602,-0.0516599436315923,-0.0662633680407129,0.4819580582014245,WEAK
small_cap_10usd_lenient,recent_7d,30m,10,1886,0.00900258734603806,-0.0943476284307032,-0.721593014627863,-3.43932885555404,226,2.47336573302249e-05,-0.00398465147145697,-0.00906632822293914,-0.0147079794930255,0.10789473684210527,0.8921052631578947,0.9990326237842815,0.8306010928961749,0.09036297695924622,0.7125266864049238,3.424620876061015,-0.0301933013351391,-0.030227775661294,1.0,WEAK
small_cap_20usd_lenient,recent_7d,30m,10,1886,0.00900258734603806,-0.0943476284307032,-0.721593014627863,-3.43932885555404,0,,,,,0.0,1.0,1.0,1.0,,,,,,,INSUFFICIENT
hybrid_fee_depth_plus_data_freshness,recent_7d,30m,10,1886,0.00900258734603806,-0.0943476284307032,-0.721593014627863,-3.43932885555404,0,,,,,0.0,1.0,1.0,1.0,,,,,,,INSUFFICIENT
hybrid_fee_depth_plus_regime_soft,recent_7d,30m,10,1886,0.00900258734603806,-0.0943476284307032,-0.721593014627863,-3.43932885555404,182,0.0115399183303717,-0.121907407677119,-1.15511459384943,-2.69181408036358,0.09671052631578947,0.9032894736842105,0.8878561304812705,0.9043715846994536,-0.027559779246415797,-0.4335215792215671,0.7475147751904601,-0.0611864003462043,-0.0671745567081074,0.7299743157761288,BAD
retention_floor_30pct,recent_7d,30m,50,1886,0.00900258734603806,-0.0943476284307032,-0.721593014627863,-3.43932885555404,277,0.000141680120951786,-0.00825064463512834,-0.0210752401555176,-1.07981407718137,0.1355263157894737,0.8644736842105263,0.9680223047504724,0.8060109289617486,0.08609698379557486,0.7005177744723453,2.35951477837267,-0.239038264422399,-0.646793678817309,0.9634288813661301,WEAK
retention_floor_50pct,recent_7d,30m,50,1886,0.00900258734603806,-0.0943476284307032,-0.721593014627863,-3.43932885555404,1263,0.00758524136642964,-0.0808774765977817,-0.640681541547731,-3.01171044909505,0.6631578947368421,0.3368421052631579,0.43008815968582964,0.30327868852459017,0.013470151832921495,0.08091147308013191,0.4276184064589903,-0.971395192432468,-1.23265222357026,0.4690133404197481,WEAK
false_filter_cap_50pct,recent_7d,30m,50,1886,0.00900258734603806,-0.0943476284307032,-0.721593014627863,-3.43932885555404,1777,0.00915432218186357,-0.0808433731587087,-0.704100340249944,-2.79975363225526,0.9473684210526315,0.05263157894736842,0.1832328994985139,0.0792349726775956,0.013504255271994503,0.017492674377919015,0.6395752232987801,-1.13312136391952,-1.47976488968211,0.3894191546591824,WEAK
missed_profit_cap_30pct,recent_7d,30m,50,1886,0.00900258734603806,-0.0943476284307032,-0.721593014627863,-3.43932885555404,1137,0.00809986081414526,-0.0808774765977817,-0.640765020451532,-3.25955911588557,0.5993421052631579,0.4006578947368421,0.4674319923116132,0.3825136612021858,0.013470151832921495,0.08082799417633091,0.17976973966847032,-0.971759874716945,-1.23600374688246,0.4531915974589908,WEAK
fee_cost_nonnegative_median,recent_7d,30m,50,1886,0.00900258734603806,-0.0943476284307032,-0.721593014627863,-3.43932885555404,0,,,,,0.0,1.0,1.0,1.0,,,,,,,INSUFFICIENT
fee_cost_nonnegative_p10,recent_7d,30m,50,1886,0.00900258734603806,-0.0943476284307032,-0.721593014627863,-3.43932885555404,0,,,,,0.0,1.0,1.0,1.0,,,,,,,INSUFFICIENT
exit_depth_soft_10usd,recent_7d,30m,50,1886,0.00900258734603806,-0.0943476284307032,-0.721593014627863,-3.43932885555404,0,,,,,0.0,1.0,1.0,1.0,,,,,,,INSUFFICIENT
exit_depth_soft_20usd,recent_7d,30m,50,1886,0.00900258734603806,-0.0943476284307032,-0.721593014627863,-3.43932885555404,0,,,,,0.0,1.0,1.0,1.0,,,,,,,INSUFFICIENT
fee_velocity_rank_top30,recent_7d,30m,50,1886,0.00900258734603806,-0.0943476284307032,-0.721593014627863,-3.43932885555404,537,0.0146066024697185,-0.0782254622873688,-0.704100340249944,-4.69807054584617,0.3059210526315789,0.694078947368421,0.7106097669063148,0.8032786885245902,0.016122166143334393,0.017492674377919015,-1.2587416902921293,-1.32512465140378,-1.64507341980431,0.5346065267432807,WEAK
fee_velocity_rank_top50,recent_7d,30m,50,1886,0.00900258734603806,-0.0943476284307032,-0.721593014627863,-3.43932885555404,944,0.0148787300456706,-0.143420445631286,-0.956383550066646,-3.43932885555404,0.5263157894736842,0.47368421052631576,0.44180972460256895,0.6065573770491803,-0.049072817200582805,-0.23479053543878303,0.0,-1.21704487069206,-1.60614368088242,0.5756985425405537,WEAK
