window,latest_reason,reason_count
recent_2h,not ranked in top 4 candidates for this tick,1920
recent_2h,ranked #4 of 4 selected candidates,120
recent_2h,ranked #2 of 4 selected candidates,120
recent_2h,ranked #1 of 4 selected candidates,120
recent_2h,ranked #3 of 4 selected candidates,120
recent_6h,not ranked in top 4 candidates for this tick,5760
recent_6h,ranked #4 of 4 selected candidates,360
recent_6h,ranked #2 of 4 selected candidates,360
recent_6h,ranked #1 of 4 selected candidates,360
recent_6h,ranked #3 of 4 selected candidates,360
recent_12h,not ranked in top 4 candidates for this tick,11499
recent_12h,ranked #4 of 4 selected candidates,720
recent_12h,ranked #2 of 4 selected candidates,720
recent_12h,ranked #1 of 4 selected candidates,720
recent_12h,ranked #3 of 4 selected candidates,720
recent_24h,not ranked in top 4 candidates for this tick,22284
recent_24h,ranked #4 of 4 selected candidates,1439
recent_24h,ranked #2 of 4 selected candidates,1439
recent_24h,ranked #1 of 4 selected candidates,1439
recent_24h,ranked #3 of 4 selected candidates,1439
recent_48h,not ranked in top 4 candidates for this tick,61829
recent_48h,ranked #4 of 4 selected candidates,2879
recent_48h,ranked #2 of 4 selected candidates,2879
recent_48h,ranked #1 of 4 selected candidates,2879
recent_48h,ranked #3 of 4 selected candidates,2879
