horizon,score_basis,position_count,completed_count,invalid_count,median_net_pnl_pct,p10_net_pnl_pct,p5_net_pnl_pct,p1_net_pnl_pct,win_rate,top20_position_count,bottom20_position_count,top20_median_net_pnl_pct,bottom20_median_net_pnl_pct,top20_p10_net_pnl_pct,bottom20_p10_net_pnl_pct,top20_vs_bottom20_signal,worst_position_contribution,worst_pool_contribution
12h,score_open_decision,68,40,28,0.05304122177093972,-7.496623900508085,-7.732506535753577,-8.218048987367093,0.6,7,7,-5.378740720072585,0.08310727855129585,-7.732506535753577,-5.601534808961944,worse,0.15088595356053777,0.8215449379272465
12h,score_first_selected,68,40,28,0.05304122177093972,-7.496623900508085,-7.732506535753577,-8.218048987367093,0.6,7,7,-5.378740720072585,0.08310727855129585,-7.732506535753577,-5.601534808961944,worse,0.15088595356053777,0.8215449379272465
12h,score_max_before_open,68,40,28,0.05304122177093972,-7.496623900508085,-7.732506535753577,-8.218048987367093,0.6,7,7,-5.378740720072585,0.08310727855129585,-7.732506535753577,-5.601534808961944,worse,0.15088595356053777,0.8215449379272465
12h,score_median_before_open,68,40,28,0.05304122177093972,-7.496623900508085,-7.732506535753577,-8.218048987367093,0.6,7,7,-5.378740720072585,0.08310727855129585,-7.732506535753577,-5.601534808961944,worse,0.15088595356053777,0.8215449379272465
24h,score_open_decision,68,8,60,0.08908574390305546,0.007943368776594184,0.007943368776594184,0.007943368776594184,1.0,1,1,1.8341369837564798,1.2542312784188567,1.8341369837564798,1.2542312784188567,insufficient,,
24h,score_first_selected,68,8,60,0.08908574390305546,0.007943368776594184,0.007943368776594184,0.007943368776594184,1.0,1,1,1.8341369837564798,1.2542312784188567,1.8341369837564798,1.2542312784188567,better,,
24h,score_max_before_open,68,8,60,0.08908574390305546,0.007943368776594184,0.007943368776594184,0.007943368776594184,1.0,1,1,1.8341369837564798,1.2542312784188567,1.8341369837564798,1.2542312784188567,better,,
24h,score_median_before_open,68,8,60,0.08908574390305546,0.007943368776594184,0.007943368776594184,0.007943368776594184,1.0,1,1,1.8341369837564798,1.2542312784188567,1.8341369837564798,1.2542312784188567,better,,
6h,score_open_decision,68,42,26,0.11602622180098478,0.021415741698675106,7.133237845380336e-05,-3.7968926830533434,0.9761904761904762,8,8,0.15493969071438868,0.0509019422906789,0.11971009978354913,-3.7968926830533434,better,1.0,1.0
6h,score_first_selected,68,42,26,0.11602622180098478,0.021415741698675106,7.133237845380336e-05,-3.7968926830533434,0.9761904761904762,8,8,0.15493969071438868,0.0509019422906789,0.11971009978354913,-3.7968926830533434,better,1.0,1.0
6h,score_max_before_open,68,42,26,0.11602622180098478,0.021415741698675106,7.133237845380336e-05,-3.7968926830533434,0.9761904761904762,8,8,0.15493969071438868,0.0509019422906789,0.11971009978354913,-3.7968926830533434,better,1.0,1.0
6h,score_median_before_open,68,42,26,0.11602622180098478,0.021415741698675106,7.133237845380336e-05,-3.7968926830533434,0.9761904761904762,8,8,0.15493969071438868,0.0509019422906789,0.11971009978354913,-3.7968926830533434,better,1.0,1.0
