policy_name,window,horizon,raw_intent_rows,deduped_count,valid_lifecycle_count,invalid_count,compression_ratio,entry_valid_rate,future_mark_coverage,invalid_reason_distribution
pool_time_bucket_15m,last_24h,6h,5764,388,10,378,14.855670103092784,0.05154639175257732,0.02577319587628866,"{'position_join_missing': 368, 'no_future_pool_mark': 10}"
pool_time_bucket_15m,last_24h,12h,5764,388,10,378,14.855670103092784,0.05154639175257732,0.02577319587628866,"{'position_join_missing': 368, 'no_future_pool_mark': 10}"
pool_time_bucket_15m,last_24h,24h,5764,388,0,388,14.855670103092784,0.05154639175257732,0.0,"{'position_join_missing': 368, 'no_future_pool_mark': 20}"
pool_time_bucket_15m,last_48h,6h,10892,737,41,696,14.778833107191316,0.06919945725915876,0.05563093622795115,"{'position_join_missing': 686, 'no_future_pool_mark': 10}"
pool_time_bucket_15m,last_48h,12h,10892,737,41,696,14.778833107191316,0.06919945725915876,0.05563093622795115,"{'position_join_missing': 686, 'no_future_pool_mark': 10}"
pool_time_bucket_15m,last_48h,24h,10892,737,31,706,14.778833107191316,0.06919945725915876,0.04206241519674356,"{'position_join_missing': 686, 'no_future_pool_mark': 20}"
pool_time_bucket_15m,last_72h,6h,16596,1127,82,1045,14.725820763087844,0.08163265306122448,0.07275953859804792,"{'position_join_missing': 1035, 'no_future_pool_mark': 10}"
pool_time_bucket_15m,last_72h,12h,16596,1127,82,1045,14.725820763087844,0.08163265306122448,0.07275953859804792,"{'position_join_missing': 1035, 'no_future_pool_mark': 10}"
pool_time_bucket_15m,last_72h,24h,16596,1127,72,1055,14.725820763087844,0.08163265306122448,0.06388642413487133,"{'position_join_missing': 1035, 'no_future_pool_mark': 20}"
pool_time_bucket_15m,last_7d,6h,36128,2487,206,2281,14.526739043023724,0.08685162846803378,0.08283071974266185,"{'position_join_missing': 2270, 'intended_notional_missing': 1, 'no_future_pool_mark': 10}"
pool_time_bucket_15m,last_7d,12h,36128,2487,204,2283,14.526739043023724,0.08685162846803378,0.08202653799758745,"{'position_join_missing': 2270, 'intended_notional_missing': 1, 'no_future_pool_mark': 12}"
pool_time_bucket_15m,last_7d,24h,36128,2487,190,2297,14.526739043023724,0.08685162846803378,0.07639726578206675,"{'position_join_missing': 2270, 'intended_notional_missing': 1, 'no_future_pool_mark': 26}"
pool_time_bucket_30m,last_24h,6h,5764,196,6,190,29.408163265306122,0.061224489795918366,0.030612244897959183,"{'position_join_missing': 184, 'no_future_pool_mark': 6}"
pool_time_bucket_30m,last_24h,12h,5764,196,6,190,29.408163265306122,0.061224489795918366,0.030612244897959183,"{'position_join_missing': 184, 'no_future_pool_mark': 6}"
pool_time_bucket_30m,last_24h,24h,5764,196,0,196,29.408163265306122,0.061224489795918366,0.0,"{'position_join_missing': 184, 'no_future_pool_mark': 12}"
pool_time_bucket_30m,last_48h,6h,10892,374,25,349,29.122994652406415,0.08288770053475936,0.06684491978609626,"{'position_join_missing': 343, 'no_future_pool_mark': 6}"
pool_time_bucket_30m,last_48h,12h,10892,374,25,349,29.122994652406415,0.08288770053475936,0.06684491978609626,"{'position_join_missing': 343, 'no_future_pool_mark': 6}"
pool_time_bucket_30m,last_48h,24h,10892,374,19,355,29.122994652406415,0.08288770053475936,0.05080213903743316,"{'position_join_missing': 343, 'no_future_pool_mark': 12}"
pool_time_bucket_30m,last_72h,6h,16596,573,49,524,28.963350785340314,0.09598603839441536,0.08551483420593368,"{'position_join_missing': 518, 'no_future_pool_mark': 6}"
pool_time_bucket_30m,last_72h,12h,16596,573,49,524,28.963350785340314,0.09598603839441536,0.08551483420593368,"{'position_join_missing': 518, 'no_future_pool_mark': 6}"
pool_time_bucket_30m,last_72h,24h,16596,573,43,530,28.963350785340314,0.09598603839441536,0.07504363001745201,"{'position_join_missing': 518, 'no_future_pool_mark': 12}"
pool_time_bucket_30m,last_7d,6h,36128,1271,125,1146,28.42486231313926,0.10306845003933911,0.0983477576711251,"{'position_join_missing': 1139, 'intended_notional_missing': 1, 'no_future_pool_mark': 6}"
