dedup_key,pool_id,token_pair,strategy_epoch,first_trace_time,source_trace_count,selected_count,intent_open_count,reuse_count,open_new_count,position_id,entry_notional_source,entry_notional_usd,entry_notional_confidence,entry_value_trusted,missing_reason,valid_entry
0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1|base:0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1|0|494334,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,base:0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,0,1779602822,50,50,50,46,0,shadow-pos-7f17b03d5f6152b6f693864d,first_position_mark_amount_usd,200.0,medium,yes,,yes
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59|base:0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59|0|494334,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,base:0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,0,1779602822,50,50,50,48,0,shadow-pos-bad539974a504c8a7456e535,first_position_mark_amount_usd,1000.0,medium,yes,,yes
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38|base:0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38|0|494334,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,base:0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,0,1779602822,50,50,50,47,1,shadow-pos-aba9eb8396fcbb72b1b30ba8,first_position_mark_amount_usd,200.0,medium,yes,,yes
0x4e962bb3889bf030368f56810a9c96b83cb3e778|base:0x4e962bb3889bf030368f56810a9c96b83cb3e778|0|494334,0x4e962bb3889bf030368f56810a9c96b83cb3e778,base:0x4e962bb3889bf030368f56810a9c96b83cb3e778,0,1779602822,50,50,50,48,0,shadow-pos-824c6f5ed8b582da1b0004a6,first_position_mark_amount_usd,200.0,medium,yes,,yes
0x9a993fc0eec60faaa0c391ff11b840ce16685150|base:0x9a993fc0eec60faaa0c391ff11b840ce16685150|0|494334,0x9a993fc0eec60faaa0c391ff11b840ce16685150,base:0x9a993fc0eec60faaa0c391ff11b840ce16685150,0,1779602822,50,50,50,43,0,shadow-pos-68ad1af5798162ee842fb8a8,first_position_mark_amount_usd,200.0,medium,yes,,yes
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38|base:0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38|0|494335,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,base:0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,0,1779606056,57,57,57,55,0,shadow-pos-20a722d61ae673d983db7ac4,joined_position_amount_usd,200.0,medium,yes,,yes
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59|base:0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59|0|494335,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,base:0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,0,1779606056,57,57,57,55,0,shadow-pos-bad539974a504c8a7456e535,first_position_mark_amount_usd,1000.0,medium,yes,,yes
0x4e962bb3889bf030368f56810a9c96b83cb3e778|base:0x4e962bb3889bf030368f56810a9c96b83cb3e778|0|494335,0x4e962bb3889bf030368f56810a9c96b83cb3e778,base:0x4e962bb3889bf030368f56810a9c96b83cb3e778,0,1779606056,57,57,57,54,1,shadow-pos-824c6f5ed8b582da1b0004a6,first_position_mark_amount_usd,200.0,medium,yes,,yes
0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1|base:0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1|0|494335,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,base:0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,0,1779606056,57,57,57,55,0,shadow-pos-7f17b03d5f6152b6f693864d,first_position_mark_amount_usd,200.0,medium,yes,,yes
0x9a993fc0eec60faaa0c391ff11b840ce16685150|base:0x9a993fc0eec60faaa0c391ff11b840ce16685150|0|494335,0x9a993fc0eec60faaa0c391ff11b840ce16685150,base:0x9a993fc0eec60faaa0c391ff11b840ce16685150,0,1779606056,57,57,57,55,0,shadow-pos-68ad1af5798162ee842fb8a8,first_position_mark_amount_usd,200.0,medium,yes,,yes
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38|base:0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38|0|494336,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,base:0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,0,1779609654,56,56,56,52,1,shadow-pos-20a722d61ae673d983db7ac4,first_position_mark_amount_usd,200.0,medium,yes,,yes
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59|base:0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59|0|494336,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,base:0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,0,1779609654,56,56,56,53,0,shadow-pos-bad539974a504c8a7456e535,first_position_mark_amount_usd,1000.0,medium,yes,,yes
0x4e962bb3889bf030368f56810a9c96b83cb3e778|base:0x4e962bb3889bf030368f56810a9c96b83cb3e778|0|494336,0x4e962bb3889bf030368f56810a9c96b83cb3e778,base:0x4e962bb3889bf030368f56810a9c96b83cb3e778,0,1779609654,56,56,56,54,0,shadow-pos-f823ae9a69be0b66cb778ba8,joined_position_amount_usd,200.0,medium,yes,,yes
0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1|base:0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1|0|494336,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,base:0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,0,1779609654,56,56,56,54,0,shadow-pos-7f17b03d5f6152b6f693864d,first_position_mark_amount_usd,200.0,medium,yes,,yes
0x9a993fc0eec60faaa0c391ff11b840ce16685150|base:0x9a993fc0eec60faaa0c391ff11b840ce16685150|0|494336,0x9a993fc0eec60faaa0c391ff11b840ce16685150,base:0x9a993fc0eec60faaa0c391ff11b840ce16685150,0,1779609654,56,56,56,54,0,shadow-pos-68ad1af5798162ee842fb8a8,first_position_mark_amount_usd,200.0,medium,yes,,yes
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38|base:0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38|0|494337,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,base:0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,0,1779613210,59,59,59,58,0,shadow-pos-9878cd860310b5e6e2eb81b4,joined_position_amount_usd,200.0,medium,yes,,yes
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59|base:0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59|0|494337,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,base:0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,0,1779613210,59,59,59,58,0,shadow-pos-bad539974a504c8a7456e535,first_position_mark_amount_usd,1000.0,medium,yes,,yes
0x4e962bb3889bf030368f56810a9c96b83cb3e778|base:0x4e962bb3889bf030368f56810a9c96b83cb3e778|0|494337,0x4e962bb3889bf030368f56810a9c96b83cb3e778,base:0x4e962bb3889bf030368f56810a9c96b83cb3e778,0,1779613210,59,59,59,58,0,shadow-pos-f823ae9a69be0b66cb778ba8,first_position_mark_amount_usd,200.0,medium,yes,,yes
0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1|base:0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1|0|494337,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,base:0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,0,1779613210,59,59,59,57,0,shadow-pos-7f17b03d5f6152b6f693864d,first_position_mark_amount_usd,200.0,medium,yes,,yes
0x9a993fc0eec60faaa0c391ff11b840ce16685150|base:0x9a993fc0eec60faaa0c391ff11b840ce16685150|0|494337,0x9a993fc0eec60faaa0c391ff11b840ce16685150,base:0x9a993fc0eec60faaa0c391ff11b840ce16685150,0,1779613210,59,59,59,58,0,shadow-pos-68ad1af5798162ee842fb8a8,first_position_mark_amount_usd,200.0,medium,yes,,yes
0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1|base:0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1|0|494338,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,base:0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,0,1779616805,58,58,58,57,0,shadow-pos-7f17b03d5f6152b6f693864d,first_position_mark_amount_usd,200.0,medium,yes,,yes
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38|base:0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38|0|494338,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,base:0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,0,1779616805,58,58,58,56,1,shadow-pos-9878cd860310b5e6e2eb81b4,first_position_mark_amount_usd,200.0,medium,yes,,yes
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59|base:0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59|0|494338,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,base:0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,0,1779616805,58,58,58,57,0,shadow-pos-bad539974a504c8a7456e535,first_position_mark_amount_usd,1000.0,medium,yes,,yes
0x4e962bb3889bf030368f56810a9c96b83cb3e778|base:0x4e962bb3889bf030368f56810a9c96b83cb3e778|0|494338,0x4e962bb3889bf030368f56810a9c96b83cb3e778,base:0x4e962bb3889bf030368f56810a9c96b83cb3e778,0,1779616805,58,58,58,57,0,shadow-pos-f823ae9a69be0b66cb778ba8,first_position_mark_amount_usd,200.0,medium,yes,,yes
