window,horizon,sample_count,valid_count,invalid_count,median_net_pnl_pct,p10,p5,p1,win_rate,top20_vs_bottom20_signal,worst_pool_contribution,worst_dedup_key_contribution,duplicate_risk_status,sample_sufficiency,data_quality_status
last_24h,6h,96,72,24,0.2145717489111007,0.009095725557949663,0.004108190646547882,0.00034419895450810145,1.0,worse,0.25,0.013888888888888888,FAIL,EARLY,mixed
last_24h,12h,96,48,48,0.2140080558429872,0.008063371428917776,0.004108190646547882,0.00034419895450810145,1.0,worse,0.25,0.020833333333333332,FAIL,EARLY,mixed
last_24h,24h,96,0,96,,,,,,insufficient,,,FAIL,EARLY,invalid_all
last_48h,6h,184,160,24,0.1771356692887366,0.00990571158300213,0.004818203708765623,0.00034419895450810145,0.99375,worse,0.2625,0.00625,FAIL,PRELIMINARY,mixed
last_48h,12h,184,136,48,0.18083987851750863,0.01041711588790406,0.005872063827183638,0.0017712019004818558,1.0,worse,0.2647058823529412,0.007352941176470588,FAIL,PRELIMINARY,mixed
last_48h,24h,184,88,96,0.18083987851750863,0.009268342954854347,0.0058521654792684785,0.00034419895450810145,1.0,worse,0.2727272727272727,0.011363636363636364,FAIL,PRELIMINARY,mixed
last_72h,6h,279,255,24,0.18028376471968385,0.01041711588790406,0.004108190646547882,-0.00818938032561789,0.9803921568627451,worse,0.25882352941176473,0.00392156862745098,FAIL,PRELIMINARY,mixed
last_72h,12h,279,231,48,0.18083952512680526,0.011706821949616142,0.0058521654792684785,9.413047870339142e-05,0.9913419913419913,worse,0.2597402597402597,0.004329004329004329,FAIL,PRELIMINARY,mixed
last_72h,24h,279,183,96,0.15864319935072901,0.012296135228439198,0.005872063827183638,0.00034419895450810145,0.994535519125683,worse,0.26229508196721313,0.00546448087431694,FAIL,PRELIMINARY,mixed
last_7d,6h,622,592,30,0.1967126407661226,0.0070602978720728515,0.00023756229271043597,-2.456569701089745,0.9611486486486487,worse,0.25844594594594594,0.0016891891891891893,FAIL,USABLE,mixed
last_7d,12h,622,561,61,0.2281834721295439,0.007157809010536199,-0.0003596287092051398,-2.5440008181926603,0.948306595365419,worse,0.2620320855614973,0.0017825311942959,FAIL,USABLE,mixed
last_7d,24h,622,499,123,0.16875739793963476,0.0005094211471714516,-0.001118245265544715,-2.4497715304269576,0.9198396793587175,worse,0.27054108216432865,0.002004008016032064,FAIL,USABLE,mixed
