pool_id,token0_symbol,token1_symbol,token_pair,fee_tier_raw,window,from_block,to_block,raw_log_count,decoded_log_count,decode_errors,eth_getLogs_error_count,unique_traders_approx,volume_usd_proxy,pool_fee_usd_proxy,partial,root_cause,fee_ready
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,USDC,WBNB,USDC/WBNB,100,24h,101816670,101845470,17671,17671,0,0,608,12624154.80,1262.4155,False,,True
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,USDC,WBNB,USDC/WBNB,100,72h,101759070,101845470,49484,49484,0,0,1080,38784158.76,3878.4159,False,,True
0x81A9b5F18179cE2bf8f001b8a634Db80771F1824,USDC,WBNB,USDC/WBNB,500,24h,101816670,101845470,490,490,0,0,63,23199.86,11.5999,False,,True
0x81A9b5F18179cE2bf8f001b8a634Db80771F1824,USDC,WBNB,USDC/WBNB,500,72h,101759070,101845470,1589,1589,0,0,142,86243.27,43.1216,False,,True
0xc721dECCD986D54B39e8c29428A1f06155c3671e,USDC,WBNB,USDC/WBNB,2500,24h,101816670,101845470,54,54,0,0,23,259.15,0.6479,False,,True
0xc721dECCD986D54B39e8c29428A1f06155c3671e,USDC,WBNB,USDC/WBNB,2500,72h,101759070,101845470,149,149,0,0,37,668.95,1.6724,False,,True
0x18C5aFFA481e7EDbF37405AdE553827d6387899f,USDC,WBNB,USDC/WBNB,10000,24h,101816670,101845470,0,0,0,0,0,0.00,0.0000,False,,False
0x18C5aFFA481e7EDbF37405AdE553827d6387899f,USDC,WBNB,USDC/WBNB,10000,72h,101759070,101845470,0,0,0,0,0,0.00,0.0000,False,,False
0x172fcD41E0913e95784454622d1c3724f546f849,USDT,WBNB,USDT/WBNB,100,24h,101816670,101845470,50860,50860,0,0,1697,27153423.04,2715.3423,False,,True
0x172fcD41E0913e95784454622d1c3724f546f849,USDT,WBNB,USDT/WBNB,100,72h,101759070,101845470,145642,145642,0,0,3898,80550470.20,8055.0470,False,,True
0x36696169C63e42cd08ce11f5deeBbCeBae652050,USDT,WBNB,USDT/WBNB,500,24h,101816670,101845470,2082,2082,0,0,185,2481003.27,1240.5016,False,,True
0x36696169C63e42cd08ce11f5deeBbCeBae652050,USDT,WBNB,USDT/WBNB,500,72h,101759070,101845470,5095,5095,0,0,320,4449384.06,2224.6920,False,,True
0x1401ff943D08a7E098328C1d3a9d388923B115D2,USDT,WBNB,USDT/WBNB,2500,24h,101816670,101845470,86,86,0,0,35,2119.59,5.2990,False,,True
0x1401ff943D08a7E098328C1d3a9d388923B115D2,USDT,WBNB,USDT/WBNB,2500,72h,101759070,101845470,341,341,0,0,62,8972.63,22.4316,False,,True
0x6805E0E5333c5c3acCF2930Be4734E2b98f4Ce06,USDT,WBNB,USDT/WBNB,10000,24h,101816670,101845470,4,4,0,0,6,20.68,0.2068,False,,True
0x6805E0E5333c5c3acCF2930Be4734E2b98f4Ce06,USDT,WBNB,USDT/WBNB,10000,72h,101759070,101845470,16,16,0,0,18,88.15,0.8815,False,,True
