pool_id,token_pair,fee_tier_raw,notional_usd,hold_window,hold_seconds,fee_velocity_window_used,scenario,fee_proxy_usd,fixed_cost_usd,il_lvr_proxy_usd,net_ev_proxy_usd,net_ev_proxy_pct,confidence,fee_ready
0xf2688fb5b81049dfb7703ada5e770543770612c4,USDC/WBNB,100,20,15m,900,72h,zero_il_lvr,0.000054,0.015255,0.000000,-0.015202,-0.0760,low,True
0xf2688fb5b81049dfb7703ada5e770543770612c4,USDC/WBNB,100,20,15m,900,72h,optimistic,0.000054,0.015255,0.000104,-0.015306,-0.0765,low,True
0xf2688fb5b81049dfb7703ada5e770543770612c4,USDC/WBNB,100,20,15m,900,72h,realistic,0.000054,0.015255,0.000417,-0.015618,-0.0781,medium,True
0xf2688fb5b81049dfb7703ada5e770543770612c4,USDC/WBNB,100,20,15m,900,72h,conservative,0.000054,0.015255,0.001042,-0.016243,-0.0812,medium,True
0xf2688fb5b81049dfb7703ada5e770543770612c4,USDC/WBNB,100,100,15m,900,72h,zero_il_lvr,0.000269,0.015255,0.000000,-0.014986,-0.0150,low,True
0xf2688fb5b81049dfb7703ada5e770543770612c4,USDC/WBNB,100,100,15m,900,72h,optimistic,0.000269,0.015255,0.000521,-0.015507,-0.0155,low,True
0xf2688fb5b81049dfb7703ada5e770543770612c4,USDC/WBNB,100,100,15m,900,72h,realistic,0.000269,0.015255,0.002083,-0.017069,-0.0171,medium,True
0xf2688fb5b81049dfb7703ada5e770543770612c4,USDC/WBNB,100,100,15m,900,72h,conservative,0.000269,0.015255,0.005208,-0.020194,-0.0202,medium,True
0xf2688fb5b81049dfb7703ada5e770543770612c4,USDC/WBNB,100,500,15m,900,72h,zero_il_lvr,0.001347,0.015255,0.000000,-0.013909,-0.0028,low,True
0xf2688fb5b81049dfb7703ada5e770543770612c4,USDC/WBNB,100,500,15m,900,72h,optimistic,0.001347,0.015255,0.002604,-0.016513,-0.0033,low,True
0xf2688fb5b81049dfb7703ada5e770543770612c4,USDC/WBNB,100,500,15m,900,72h,realistic,0.001347,0.015255,0.010417,-0.024325,-0.0049,medium,True
0xf2688fb5b81049dfb7703ada5e770543770612c4,USDC/WBNB,100,500,15m,900,72h,conservative,0.001347,0.015255,0.026042,-0.039950,-0.0080,medium,True
0xf2688fb5b81049dfb7703ada5e770543770612c4,USDC/WBNB,100,1000,15m,900,72h,zero_il_lvr,0.002693,0.015255,0.000000,-0.012562,-0.0013,low,True
0xf2688fb5b81049dfb7703ada5e770543770612c4,USDC/WBNB,100,1000,15m,900,72h,optimistic,0.002693,0.015255,0.005208,-0.017770,-0.0018,low,True
0xf2688fb5b81049dfb7703ada5e770543770612c4,USDC/WBNB,100,1000,15m,900,72h,realistic,0.002693,0.015255,0.020833,-0.033395,-0.0033,medium,True
0xf2688fb5b81049dfb7703ada5e770543770612c4,USDC/WBNB,100,1000,15m,900,72h,conservative,0.002693,0.015255,0.052083,-0.064645,-0.0065,medium,True
0xf2688fb5b81049dfb7703ada5e770543770612c4,USDC/WBNB,100,2000,15m,900,72h,zero_il_lvr,0.005387,0.015255,0.000000,-0.009869,-0.0005,low,True
0xf2688fb5b81049dfb7703ada5e770543770612c4,USDC/WBNB,100,2000,15m,900,72h,optimistic,0.005387,0.015255,0.010417,-0.020285,-0.0010,low,True
0xf2688fb5b81049dfb7703ada5e770543770612c4,USDC/WBNB,100,2000,15m,900,72h,realistic,0.005387,0.015255,0.041667,-0.051535,-0.0026,medium,True
0xf2688fb5b81049dfb7703ada5e770543770612c4,USDC/WBNB,100,2000,15m,900,72h,conservative,0.005387,0.015255,0.104167,-0.114035,-0.0057,medium,True
0xf2688fb5b81049dfb7703ada5e770543770612c4,USDC/WBNB,100,20,30m,1800,72h,zero_il_lvr,0.000108,0.015255,0.000000,-0.015148,-0.0757,low,True
