pool_id,window,block_number,tx_hash,log_index,sender,recipient,amount0,amount1,tick
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,24h,101816672,0x370815f83b2dc1ed7c0ce62571b94cad85636be2e653f908756cd60d2fd870d6,333,0x3e504c2134bbacebbb6764efac41205ac9f5fe0d,0x3e504c2134bbacebbb6764efac41205ac9f5fe0d,719723755016858812,-1046206820057118,-65340
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,24h,101816674,0x129aa60b2c4c93490e9b1ca4536c9cff5bdfacba3a2167cdfc31e8ee4fe5cbce,40,0xb5a26660c0dba111771c1e55c5e8c302ccccd3f1,0xb5a26660c0dba111771c1e55c5e8c302ccccd3f1,29982441389576039,-43583158212907,-65340
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,24h,101816674,0xe31074209be39190dc56dbfe7584b25d5aff91e04fffa98ad3915d0d961c9f80,46,0x733ce7beed75a8c98268be0b05ec0e11359b5d38,0x733ce7beed75a8c98268be0b05ec0e11359b5d38,-1578443805841669213430,2294979289900340604,-65339
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,24h,101816678,0xe431fe996676442af8356396108c06d4bc78621fd8cc5c988ee54ae3706b5f8a,35,0x9999b0cdd35d7f3b281ba02efc0d228486940515,0x9999b0cdd35d7f3b281ba02efc0d228486940515,-1290375293685832003086,1876229229129740701,-65339
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,24h,101816678,0xf8687f939f1f4ef32113a1ca6a25043efce5d060529f18ebdd6354072e73fda8,83,0x9999b0cdd35d7f3b281ba02efc0d228486940515,0x9999b0cdd35d7f3b281ba02efc0d228486940515,69406431828934010,-100900149755287,-65339
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,24h,101816678,0x8dd200d93da9488119d0ff2da039171927e94e34c89350d5bb66fb39a201c323,91,0xe67fe0386067a8a7026b2fce3a93ca6b41e2e139,0x8e76ebb1c71939982c9ac267c0eb25f4aa739535,-3594961030312430339000,5227553562475643000,-65338
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,24h,101816679,0x857f07d659c0ef4683998fbe60af9fe7f4b1a2313400b9e8865a506381a9c0f5,22,0xbce729580490534fdaa5a4306c49c019418e2823,0xbce729580490534fdaa5a4306c49c019418e2823,-3116358670098623385874,4532095623638169118,-65337
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,24h,101816679,0x320539ffe46a894d888a10d5bd3e8ec8db26ee93185295e8d92e2e8c82ee4dfa,66,0x733ce7beed75a8c98268be0b05ec0e11359b5d38,0x733ce7beed75a8c98268be0b05ec0e11359b5d38,-1745263715235195344401,2538323502007926970,-65336
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,24h,101816680,0xddb3f3f6a6a0c979d9c28c3b8fe9ff5427f4a51eb9f883a0430711f55ca9c0e3,118,0x1de460f363af910f51726def188f9004276bf4bc,0x1de460f363af910f51726def188f9004276bf4bc,-16894307116426004352,24571899060020808,-65336
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,24h,101816681,0x556662c619b813ded8532c8054f44935553ffdf4c04f44b19c89d8acdc986e58,116,0xb5cb0550811d3ded8203b64a51b8c6781644df4e,0xb5cb0550811d3ded8203b64a51b8c6781644df4e,3960314491464793841277,-5758552680983931945,-65337
