pool_id,virtual_notional_usd,prior_slippage_pct,precise_slippage_pct,prior_capacity_pass,precise_capacity_pass,prior_confidence,precise_confidence,delta_slippage,delta_capacity,direction
0x0ab02e160f0df68dc049b012c514857306960eae,20,,,False,no,low,low,,same,unknown
0x0ab02e160f0df68dc049b012c514857306960eae,100,,,False,no,low,low,,same,unknown
0x0ab02e160f0df68dc049b012c514857306960eae,500,,,False,no,low,low,,same,unknown
0x0ab02e160f0df68dc049b012c514857306960eae,1000,,,False,no,low,low,,same,unknown
0x0ab02e160f0df68dc049b012c514857306960eae,2000,,,False,no,low,low,,same,unknown
0x1401ff943d08a7e098328c1d3a9d388923b115d2,20,,0.0,no,yes,,low,,improved,unknown
0x1401ff943d08a7e098328c1d3a9d388923b115d2,100,,0.0,no,yes,,low,,improved,unknown
0x1401ff943d08a7e098328c1d3a9d388923b115d2,500,,0.0,no,yes,,low,,improved,unknown
0x1401ff943d08a7e098328c1d3a9d388923b115d2,1000,,0.0,no,yes,,low,,improved,unknown
0x1401ff943d08a7e098328c1d3a9d388923b115d2,2000,,0.0,no,yes,,low,,improved,unknown
0x160d7e9d948b16c163332a277b393c288408eb12,20,1.388006412173085e-09,,True,no,medium,low,,worse,unknown
0x160d7e9d948b16c163332a277b393c288408eb12,100,8.740744157674865e-12,,True,no,medium,low,,worse,unknown
0x160d7e9d948b16c163332a277b393c288408eb12,500,8.740744157674865e-12,,True,no,low,low,,worse,unknown
0x160d7e9d948b16c163332a277b393c288408eb12,1000,8.740744157674865e-12,,True,no,low,low,,worse,unknown
0x160d7e9d948b16c163332a277b393c288408eb12,2000,8.740744157674865e-12,,True,no,low,low,,worse,unknown
0x172fcd41e0913e95784454622d1c3724f546f849,20,,0.0,no,yes,,low,,improved,unknown
0x172fcd41e0913e95784454622d1c3724f546f849,100,,0.0,no,yes,,low,,improved,unknown
0x172fcd41e0913e95784454622d1c3724f546f849,500,,0.0,no,yes,,low,,improved,unknown
0x172fcd41e0913e95784454622d1c3724f546f849,1000,,0.0,no,yes,,low,,improved,unknown
0x172fcd41e0913e95784454622d1c3724f546f849,2000,,0.0,no,yes,,low,,improved,unknown
0x18c5affa481e7edbf37405ade553827d6387899f,20,,0.0,no,yes,,low,,improved,unknown
0x18c5affa481e7edbf37405ade553827d6387899f,100,,0.0,no,yes,,low,,improved,unknown
0x18c5affa481e7edbf37405ade553827d6387899f,500,,0.0,no,yes,,low,,improved,unknown
0x18c5affa481e7edbf37405ade553827d6387899f,1000,,0.0,no,yes,,low,,improved,unknown
0x18c5affa481e7edbf37405ade553827d6387899f,2000,,0.0,no,yes,,low,,improved,unknown
0x36696169c63e42cd08ce11f5deebbcebae652050,20,,0.0,no,yes,,low,,improved,unknown
0x36696169c63e42cd08ce11f5deebbcebae652050,100,,0.0,no,yes,,low,,improved,unknown
0x36696169c63e42cd08ce11f5deebbcebae652050,500,,0.0,no,yes,,low,,improved,unknown
0x36696169c63e42cd08ce11f5deebbcebae652050,1000,,0.0,no,yes,,low,,improved,unknown
0x36696169c63e42cd08ce11f5deebbcebae652050,2000,,0.0,no,yes,,low,,improved,unknown
0x3c4384f3664b37a3cb5a5cb3452b4b4a3aa1256f,20,0.0,,True,no,high,low,,worse,unknown
0x3c4384f3664b37a3cb5a5cb3452b4b4a3aa1256f,100,0.0,,True,no,high,low,,worse,unknown
0x3c4384f3664b37a3cb5a5cb3452b4b4a3aa1256f,500,0.0,,True,no,high,low,,worse,unknown
0x3c4384f3664b37a3cb5a5cb3452b4b4a3aa1256f,1000,0.0,,True,no,medium,low,,worse,unknown
0x3c4384f3664b37a3cb5a5cb3452b4b4a3aa1256f,2000,0.0,,True,no,medium,low,,worse,unknown
0x3f0296bf652e19bca772ec3df08b32732f93014a,20,0.0,,True,no,high,low,,worse,unknown
0x3f0296bf652e19bca772ec3df08b32732f93014a,100,0.0,,True,no,high,low,,worse,unknown
0x3f0296bf652e19bca772ec3df08b32732f93014a,500,0.0,,True,no,high,low,,worse,unknown
0x3f0296bf652e19bca772ec3df08b32732f93014a,1000,0.0,,True,no,medium,low,,worse,unknown
0x3f0296bf652e19bca772ec3df08b32732f93014a,2000,0.0,,True,no,medium,low,,worse,unknown
0x42d4a22cad0f5a49681a5715ce994af73a43b76b,20,,,False,no,low,low,,same,unknown
0x42d4a22cad0f5a49681a5715ce994af73a43b76b,100,,,False,no,low,low,,same,unknown
0x42d4a22cad0f5a49681a5715ce994af73a43b76b,500,,,False,no,low,low,,same,unknown
0x42d4a22cad0f5a49681a5715ce994af73a43b76b,1000,,,False,no,low,low,,same,unknown
0x42d4a22cad0f5a49681a5715ce994af73a43b76b,2000,,,False,no,low,low,,same,unknown
0x4e962bb3889bf030368f56810a9c96b83cb3e778,20,99.99980925445445,,True,no,high,low,,worse,unknown
0x4e962bb3889bf030368f56810a9c96b83cb3e778,100,99.99980925169591,,True,no,high,low,,worse,unknown
0x4e962bb3889bf030368f56810a9c96b83cb3e778,500,99.99980925445445,,True,no,high,low,,worse,unknown
0x4e962bb3889bf030368f56810a9c96b83cb3e778,1000,99.9998092885223,,True,no,medium,low,,worse,unknown
0x4e962bb3889bf030368f56810a9c96b83cb3e778,2000,99.99980929107394,,True,no,medium,low,,worse,unknown
0x659be70647b0f63217d60e077f4417b1ecc65064,20,,,False,no,low,low,,same,unknown
0x659be70647b0f63217d60e077f4417b1ecc65064,100,,,False,no,low,low,,same,unknown
0x659be70647b0f63217d60e077f4417b1ecc65064,500,,,False,no,low,low,,same,unknown
0x659be70647b0f63217d60e077f4417b1ecc65064,1000,,,False,no,low,low,,same,unknown
0x659be70647b0f63217d60e077f4417b1ecc65064,2000,,,False,no,low,low,,same,unknown
0x6805e0e5333c5c3accf2930be4734e2b98f4ce06,20,,0.0,no,yes,,low,,improved,unknown
0x6805e0e5333c5c3accf2930be4734e2b98f4ce06,100,,0.0,no,yes,,low,,improved,unknown
0x6805e0e5333c5c3accf2930be4734e2b98f4ce06,500,,0.0,no,yes,,low,,improved,unknown
0x6805e0e5333c5c3accf2930be4734e2b98f4ce06,1000,,0.0,no,yes,,low,,improved,unknown
0x6805e0e5333c5c3accf2930be4734e2b98f4ce06,2000,,0.0,no,yes,,low,,improved,unknown
0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,20,99.99980939238101,,True,no,high,low,,worse,unknown
0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,100,99.99980938962247,,True,no,high,low,,worse,unknown
0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,500,99.9998093918293,,True,no,high,low,,worse,unknown
0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,1000,99.99980936065789,,True,no,medium,low,,worse,unknown
0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,2000,99.99980936155443,,True,no,medium,low,,worse,unknown
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,20,0.0,,True,no,high,low,,worse,unknown
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,100,0.0,,True,no,high,low,,worse,unknown
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,500,0.005296278804352134,,True,no,high,low,,worse,unknown
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,1000,0.0748185911188991,,True,no,medium,low,,worse,unknown
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,2000,0.22213562203706855,,True,no,medium,low,,worse,unknown
0x7ec6c9d993d9832aa654593f2dbc21303650bc6c,20,0.0,,True,no,high,low,,worse,unknown
