pool_address,token_pair,fee_tier,quote_side,virtual_notional,staticcall_attempted,selector_used,error_type,error_message_redacted,likely_root_cause,fixability
0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,100,token0_to_token1,20,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,100,token0_to_token1,100,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,100,token0_to_token1,500,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,100,token0_to_token1,1000,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,100,token0_to_token1,2000,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,100,token1_to_token0,20,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,100,token1_to_token0,100,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,100,token1_to_token0,500,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,100,token1_to_token0,1000,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,100,token1_to_token0,2000,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x36696169C63e42cd08ce11f5deeBbCeBae652050,WBNB/USDT,500,token0_to_token1,20,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x36696169C63e42cd08ce11f5deeBbCeBae652050,WBNB/USDT,500,token0_to_token1,100,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x36696169C63e42cd08ce11f5deeBbCeBae652050,WBNB/USDT,500,token0_to_token1,500,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x36696169C63e42cd08ce11f5deeBbCeBae652050,WBNB/USDT,500,token0_to_token1,1000,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x36696169C63e42cd08ce11f5deeBbCeBae652050,WBNB/USDT,500,token0_to_token1,2000,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x36696169C63e42cd08ce11f5deeBbCeBae652050,WBNB/USDT,500,token1_to_token0,20,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x36696169C63e42cd08ce11f5deeBbCeBae652050,WBNB/USDT,500,token1_to_token0,100,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x36696169C63e42cd08ce11f5deeBbCeBae652050,WBNB/USDT,500,token1_to_token0,500,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x36696169C63e42cd08ce11f5deeBbCeBae652050,WBNB/USDT,500,token1_to_token0,1000,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x36696169C63e42cd08ce11f5deeBbCeBae652050,WBNB/USDT,500,token1_to_token0,2000,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x1401ff943D08a7E098328C1d3a9d388923B115D2,WBNB/USDT,2500,token0_to_token1,20,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x1401ff943D08a7E098328C1d3a9d388923B115D2,WBNB/USDT,2500,token0_to_token1,100,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x1401ff943D08a7E098328C1d3a9d388923B115D2,WBNB/USDT,2500,token0_to_token1,500,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x1401ff943D08a7E098328C1d3a9d388923B115D2,WBNB/USDT,2500,token0_to_token1,1000,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x1401ff943D08a7E098328C1d3a9d388923B115D2,WBNB/USDT,2500,token0_to_token1,2000,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x1401ff943D08a7E098328C1d3a9d388923B115D2,WBNB/USDT,2500,token1_to_token0,20,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x1401ff943D08a7E098328C1d3a9d388923B115D2,WBNB/USDT,2500,token1_to_token0,100,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
