chain,protocol,token_a,token_b,token_a_address,token_b_address,fee_tier,fee_tier_percent,ready_for_getpool
BSC,PancakeSwap V3,WBNB,USDT,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x55d398326f99059fF775485246999027B3197955,100,0.01%,yes
BSC,PancakeSwap V3,WBNB,USDT,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x55d398326f99059fF775485246999027B3197955,500,0.05%,yes
BSC,PancakeSwap V3,WBNB,USDT,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x55d398326f99059fF775485246999027B3197955,2500,0.25%,yes
BSC,PancakeSwap V3,WBNB,USDT,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x55d398326f99059fF775485246999027B3197955,10000,1%,yes
BSC,PancakeSwap V3,WBNB,USDC,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,100,0.01%,yes
BSC,PancakeSwap V3,WBNB,USDC,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,500,0.05%,yes
BSC,PancakeSwap V3,WBNB,USDC,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,2500,0.25%,yes
BSC,PancakeSwap V3,WBNB,USDC,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,10000,1%,yes
BSC,PancakeSwap V3,ETH,WBNB,,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,100,0.01%,no
BSC,PancakeSwap V3,ETH,WBNB,,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,500,0.05%,no
BSC,PancakeSwap V3,ETH,WBNB,,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,2500,0.25%,no
BSC,PancakeSwap V3,ETH,WBNB,,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,10000,1%,no
BSC,PancakeSwap V3,BTCB,WETH,,,100,0.01%,no
BSC,PancakeSwap V3,BTCB,WETH,,,500,0.05%,no
BSC,PancakeSwap V3,BTCB,WETH,,,2500,0.25%,no
BSC,PancakeSwap V3,BTCB,WETH,,,10000,1%,no
BSC,PancakeSwap V3,USDC,DAI,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,0x1af3f329e8be154074D8769D1FFA4ee58e1fF2F8,100,0.01%,yes
BSC,PancakeSwap V3,USDC,DAI,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,0x1af3f329e8be154074D8769D1FFA4ee58e1fF2F8,500,0.05%,yes
BSC,PancakeSwap V3,USDC,DAI,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,0x1af3f329e8be154074D8769D1FFA4ee58e1fF2F8,2500,0.25%,yes
BSC,PancakeSwap V3,USDC,DAI,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,0x1af3f329e8be154074D8769D1FFA4ee58e1fF2F8,10000,1%,yes
BSC,Uniswap V3,USDC,USDT,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,0x55d398326f99059fF775485246999027B3197955,100,0.01%,yes
BSC,Uniswap V3,USDC,USDT,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,0x55d398326f99059fF775485246999027B3197955,500,0.05%,yes
BSC,Uniswap V3,USDC,USDT,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,0x55d398326f99059fF775485246999027B3197955,3000,0.30%,yes
BSC,Uniswap V3,USDC,USDT,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,0x55d398326f99059fF775485246999027B3197955,10000,1%,yes
