chain,protocol,token_a,token_b,token_a_address,token_b_address,fee_tier,pool_address,pool_exists,getpool_success,invalid_reason,ready_for_getpool
BSC,PancakeSwap V3,WBNB,USDT,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x55d398326f99059fF775485246999027B3197955,100,0x172fcD41E0913e95784454622d1c3724f546f849,yes,yes,,yes
BSC,PancakeSwap V3,WBNB,USDT,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x55d398326f99059fF775485246999027B3197955,500,0x36696169C63e42cd08ce11f5deeBbCeBae652050,yes,yes,,yes
BSC,PancakeSwap V3,WBNB,USDT,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x55d398326f99059fF775485246999027B3197955,2500,0x1401ff943D08a7E098328C1d3a9d388923B115D2,yes,yes,,yes
BSC,PancakeSwap V3,WBNB,USDT,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x55d398326f99059fF775485246999027B3197955,10000,0x6805E0E5333c5c3acCF2930Be4734E2b98f4Ce06,yes,yes,,yes
BSC,PancakeSwap V3,WBNB,USDC,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,100,0xf2688Fb5B81049DFB7703aDa5e770543770612C4,yes,yes,,yes
BSC,PancakeSwap V3,WBNB,USDC,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,500,0x81A9b5F18179cE2bf8f001b8a634Db80771F1824,yes,yes,,yes
BSC,PancakeSwap V3,WBNB,USDC,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,2500,0xc721dECCD986D54B39e8c29428A1f06155c3671e,yes,yes,,yes
BSC,PancakeSwap V3,WBNB,USDC,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,10000,0x18C5aFFA481e7EDbF37405AdE553827d6387899f,yes,yes,,yes
BSC,PancakeSwap V3,USDC,DAI,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,0x1af3f329e8be154074D8769D1FFA4ee58e1fF2F8,100,,no,no,zero_pool,yes
BSC,PancakeSwap V3,USDC,DAI,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,0x1af3f329e8be154074D8769D1FFA4ee58e1fF2F8,500,,no,no,zero_pool,yes
BSC,PancakeSwap V3,USDC,DAI,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,0x1af3f329e8be154074D8769D1FFA4ee58e1fF2F8,2500,,no,no,zero_pool,yes
BSC,PancakeSwap V3,USDC,DAI,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,0x1af3f329e8be154074D8769D1FFA4ee58e1fF2F8,10000,,no,no,zero_pool,yes
BSC,Uniswap V3,USDC,USDT,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,0x55d398326f99059fF775485246999027B3197955,100,,no,no,factory_unknown,yes
BSC,Uniswap V3,USDC,USDT,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,0x55d398326f99059fF775485246999027B3197955,500,,no,no,factory_unknown,yes
BSC,Uniswap V3,USDC,USDT,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,0x55d398326f99059fF775485246999027B3197955,3000,,no,no,factory_unknown,yes
BSC,Uniswap V3,USDC,USDT,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,0x55d398326f99059fF775485246999027B3197955,10000,,no,no,factory_unknown,yes
Optimism,Uniswap V3,WETH,DAI,0x4200000000000000000000000000000000000006,0xdA10009Cbd5d07Dd0CeCC66161FC93D7c900205a,100,,no,no,zero_pool,yes
Optimism,Uniswap V3,WETH,DAI,0x4200000000000000000000000000000000000006,0xdA10009Cbd5d07Dd0CeCC66161FC93D7c900205a,500,,no,no,zero_pool,yes
Optimism,Uniswap V3,WETH,DAI,0x4200000000000000000000000000000000000006,0xdA10009Cbd5d07Dd0CeCC66161FC93D7c900205a,3000,,no,no,zero_pool,yes
Optimism,Uniswap V3,WETH,DAI,0x4200000000000000000000000000000000000006,0xdA10009Cbd5d07Dd0CeCC66161FC93D7c900205a,10000,,no,no,zero_pool,yes
Ethereum,Uniswap V3,WETH,USDC,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,100,,no,no,chain_rpc_not_ready,yes
Ethereum,Uniswap V3,WETH,USDC,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,500,,no,no,chain_rpc_not_ready,yes
Ethereum,Uniswap V3,WETH,USDC,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,3000,,no,no,chain_rpc_not_ready,yes
Ethereum,Uniswap V3,WETH,USDC,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,10000,,no,no,chain_rpc_not_ready,yes
Ethereum,Uniswap V3,WETH,USDT,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xdAC17F958D2ee523a2206206994597C13D831ec7,100,,no,no,chain_rpc_not_ready,yes
Ethereum,Uniswap V3,WETH,USDT,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xdAC17F958D2ee523a2206206994597C13D831ec7,500,,no,no,chain_rpc_not_ready,yes
Ethereum,Uniswap V3,WETH,USDT,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xdAC17F958D2ee523a2206206994597C13D831ec7,3000,,no,no,chain_rpc_not_ready,yes
Ethereum,Uniswap V3,WETH,USDT,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xdAC17F958D2ee523a2206206994597C13D831ec7,10000,,no,no,chain_rpc_not_ready,yes
