chain,protocol,pool_address,virtual_notional_usd,quote_direction,quote_success,amount_out,quote_confidence,invalid_reason
BSC,PancakeSwap V3,0x172fcD41E0913e95784454622d1c3724f546f849,20,t0_to_t1,yes,29521548104497136,medium,
BSC,PancakeSwap V3,0x172fcD41E0913e95784454622d1c3724f546f849,100,t0_to_t1,yes,147586772510513704,medium,
BSC,PancakeSwap V3,0x172fcD41E0913e95784454622d1c3724f546f849,500,t1_to_t0,yes,337513603005001322630188,medium,
BSC,PancakeSwap V3,0x172fcD41E0913e95784454622d1c3724f546f849,1000,t0_to_t1,yes,1475961587091054152,medium,
BSC,PancakeSwap V3,0x36696169C63e42cd08ce11f5deeBbCeBae652050,20,t0_to_t1,yes,29510162752728061,medium,
BSC,PancakeSwap V3,0x36696169C63e42cd08ce11f5deeBbCeBae652050,100,t0_to_t1,yes,147550610449103599,medium,
BSC,PancakeSwap V3,0x36696169C63e42cd08ce11f5deeBbCeBae652050,500,t1_to_t0,yes,336571952095271032246222,medium,
BSC,PancakeSwap V3,0x36696169C63e42cd08ce11f5deeBbCeBae652050,1000,t0_to_t1,yes,1475483231991735978,medium,
BSC,PancakeSwap V3,0x1401ff943D08a7E098328C1d3a9d388923B115D2,20,t0_to_t1,yes,29507451938048896,medium,
BSC,PancakeSwap V3,0x1401ff943D08a7E098328C1d3a9d388923B115D2,100,t0_to_t1,yes,147476823571700737,medium,
BSC,PancakeSwap V3,0x1401ff943D08a7E098328C1d3a9d388923B115D2,500,t1_to_t0,yes,14978191293314074032047,medium,
BSC,PancakeSwap V3,0x1401ff943D08a7E098328C1d3a9d388923B115D2,1000,t0_to_t1,yes,1468097900349763391,medium,
BSC,PancakeSwap V3,0x6805E0E5333c5c3acCF2930Be4734E2b98f4Ce06,20,t0_to_t1,yes,29037828151353273,medium,
BSC,PancakeSwap V3,0x6805E0E5333c5c3acCF2930Be4734E2b98f4Ce06,100,t0_to_t1,yes,144651425881111418,medium,
BSC,PancakeSwap V3,0x6805E0E5333c5c3acCF2930Be4734E2b98f4Ce06,500,t1_to_t0,yes,2279050971450403067121,medium,
BSC,PancakeSwap V3,0x6805E0E5333c5c3acCF2930Be4734E2b98f4Ce06,1000,t0_to_t1,yes,1342268956089558559,medium,
BSC,PancakeSwap V3,0xf2688Fb5B81049DFB7703aDa5e770543770612C4,20,t0_to_t1,yes,29546970306091712,medium,
BSC,PancakeSwap V3,0xf2688Fb5B81049DFB7703aDa5e770543770612C4,100,t0_to_t1,yes,147756832343492829,medium,
BSC,PancakeSwap V3,0xf2688Fb5B81049DFB7703aDa5e770543770612C4,500,t1_to_t0,yes,329473180450070423451639,medium,
BSC,PancakeSwap V3,0xf2688Fb5B81049DFB7703aDa5e770543770612C4,1000,t0_to_t1,yes,1476517416665955473,medium,
BSC,PancakeSwap V3,0x81A9b5F18179cE2bf8f001b8a634Db80771F1824,20,t0_to_t1,yes,29535468867299029,medium,
BSC,PancakeSwap V3,0x81A9b5F18179cE2bf8f001b8a634Db80771F1824,100,t0_to_t1,yes,147655637297123950,medium,
BSC,PancakeSwap V3,0x81A9b5F18179cE2bf8f001b8a634Db80771F1824,500,t1_to_t0,yes,38115041848957324769475,medium,
BSC,PancakeSwap V3,0x81A9b5F18179cE2bf8f001b8a634Db80771F1824,1000,t0_to_t1,yes,1474119589093454346,medium,
BSC,PancakeSwap V3,0xc721dECCD986D54B39e8c29428A1f06155c3671e,20,t0_to_t1,yes,29474855479304527,medium,
BSC,PancakeSwap V3,0xc721dECCD986D54B39e8c29428A1f06155c3671e,100,t0_to_t1,yes,146766600056945253,medium,
BSC,PancakeSwap V3,0xc721dECCD986D54B39e8c29428A1f06155c3671e,500,t1_to_t0,yes,1496764001249926733372,medium,
BSC,PancakeSwap V3,0xc721dECCD986D54B39e8c29428A1f06155c3671e,1000,t0_to_t1,yes,541033079122987188,medium,
BSC,PancakeSwap V3,0x18C5aFFA481e7EDbF37405AdE553827d6387899f,20,t0_to_t1,yes,2308177659575,medium,
BSC,PancakeSwap V3,0x18C5aFFA481e7EDbF37405AdE553827d6387899f,100,t0_to_t1,yes,2308177659575,medium,
BSC,PancakeSwap V3,0x18C5aFFA481e7EDbF37405AdE553827d6387899f,500,t1_to_t0,yes,10660745433087325011,medium,
BSC,PancakeSwap V3,0x18C5aFFA481e7EDbF37405AdE553827d6387899f,1000,t0_to_t1,yes,2308177659575,medium,
