chain,symbol,address,decimals,metadata_confidence,invalid_reason,selected_rpc
BSC,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,,medium,,https://bsc-dataseed.binance.org
BSC,USDT,0x55d398326f99059fF775485246999027B3197955,,medium,,https://bsc-dataseed.binance.org
BSC,USDC,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,,medium,,https://bsc-dataseed.binance.org
BSC,ETH,,,low,missing_token_seed,https://bsc-dataseed.binance.org
BSC,WETH,,,low,missing_token_seed,https://bsc-dataseed.binance.org
BSC,BTCB,,,low,missing_token_seed,https://bsc-dataseed.binance.org
BSC,CAKE,,,low,missing_token_seed,https://bsc-dataseed.binance.org
BSC,FDUSD,,,low,missing_token_seed,https://bsc-dataseed.binance.org
BSC,DAI,0x1af3f329e8be154074D8769D1FFA4ee58e1fF2F8,,medium,,https://bsc-dataseed.binance.org
Arbitrum,WETH,,,low,missing_token_seed,
Arbitrum,USDC,,,low,missing_token_seed,
Arbitrum,USDT,0xFd086bC7CD5C481DCC9C85ebE478A1C0b69FCbb9,,medium,,
Arbitrum,WBTC,,,low,missing_token_seed,
Arbitrum,DAI,0xdA10009Cbd5d07Dd0CeCC66161FC93D7c900205a,,medium,,
Optimism,WETH,0x4200000000000000000000000000000000000006,,medium,,https://mainnet.optimism.io
Optimism,USDC,,,low,missing_token_seed,https://mainnet.optimism.io
Optimism,USDT,,,low,missing_token_seed,https://mainnet.optimism.io
Optimism,WBTC,,,low,missing_token_seed,https://mainnet.optimism.io
Optimism,OP,0x4200000000000000000000000000000000000042,,medium,,https://mainnet.optimism.io
Optimism,DAI,0xdA10009Cbd5d07Dd0CeCC66161FC93D7c900205a,,medium,,https://mainnet.optimism.io
Base,WETH,0x4200000000000000000000000000000000000006,,medium,,
Base,USDC,,,low,missing_token_seed,
Ethereum,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,,medium,,
Ethereum,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,,medium,,
Ethereum,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,,medium,,
Ethereum,WBTC,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,,medium,,
Ethereum,DAI,,,low,missing_token_seed,
Polygon,WMATIC,0x0000000000000000000000000000000000001010,,medium,,
Polygon,USDC,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,,medium,,
Polygon,USDT,,,low,missing_token_seed,
Polygon,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,,medium,,
Polygon,WBTC,,,low,missing_token_seed,
Polygon,DAI,0x8F3cF7Ad23Cd3CadBd9735AFF7580230Aa72F4f1,,medium,,
