chain,protocol,contract_role,address,code_exists,selected_for_discovery,selected_rpc
BSC,PancakeSwap V3,Factory,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,yes,yes,https://bsc-dataseed.binance.org
BSC,PancakeSwap V3,QuoterV2,0xB048Bbc1Ee6b733FFfCFb9e9CeF7375518e25997,yes,no,https://bsc-dataseed.binance.org
BSC,PancakeSwap V3,NonfungiblePositionManager,0x46A15B0b27311cedF172AB29E4f4766fbE7F4364,yes,no,https://bsc-dataseed.binance.org
BSC,PancakeSwap V3,TickLens,0x9a489505a00cE272eAa5e07Dba6491314CaE3796,yes,no,https://bsc-dataseed.binance.org
BSC,Uniswap V3,Factory,,unknown,no,https://bsc-dataseed.binance.org
BSC,Uniswap V3,QuoterV2,,unknown,no,https://bsc-dataseed.binance.org
BSC,Uniswap V3,NonfungiblePositionManager,,unknown,no,https://bsc-dataseed.binance.org
BSC,Uniswap V3,TickLens,,unknown,no,https://bsc-dataseed.binance.org
Arbitrum,Uniswap V3,Factory,0x1F98431c8aD98523631AE4a59f267346ea31F984,unknown,yes,
Arbitrum,Uniswap V3,QuoterV2,,unknown,no,
Arbitrum,Uniswap V3,NonfungiblePositionManager,,unknown,no,
Arbitrum,Uniswap V3,TickLens,,unknown,no,
Optimism,Uniswap V3,Factory,0x1F98431c8aD98523631AE4a59f267346ea31F984,yes,yes,https://mainnet.optimism.io
Optimism,Uniswap V3,QuoterV2,,unknown,no,https://mainnet.optimism.io
Optimism,Uniswap V3,NonfungiblePositionManager,,unknown,no,https://mainnet.optimism.io
Optimism,Uniswap V3,TickLens,,unknown,no,https://mainnet.optimism.io
Base,Uniswap V3,Factory,0x1F98431c8aD98523631AE4a59f267346ea31F984,unknown,yes,
Base,Uniswap V3,QuoterV2,,unknown,no,
Base,Uniswap V3,NonfungiblePositionManager,,unknown,no,
Base,Uniswap V3,TickLens,,unknown,no,
Base,PancakeSwap V3,Factory,,unknown,no,
Base,PancakeSwap V3,QuoterV2,,unknown,no,
Base,PancakeSwap V3,NonfungiblePositionManager,,unknown,no,
Base,PancakeSwap V3,TickLens,,unknown,no,
Ethereum,Uniswap V3,Factory,0x1F98431c8aD98523631AE4a59f267346ea31F984,unknown,yes,
Ethereum,Uniswap V3,QuoterV2,,unknown,no,
Ethereum,Uniswap V3,NonfungiblePositionManager,,unknown,no,
Ethereum,Uniswap V3,TickLens,,unknown,no,
Polygon,Uniswap V3,Factory,0x1F98431c8aD98523631AE4a59f267346ea31F984,unknown,yes,
Polygon,Uniswap V3,QuoterV2,,unknown,no,
Polygon,Uniswap V3,NonfungiblePositionManager,,unknown,no,
Polygon,Uniswap V3,TickLens,,unknown,no,
