run_id,pool_id,token_pair,fee_source_v1,fee_source_v2,confidence_v1,confidence_v2,window_label,fee_velocity_rate_15m,fee_velocity_rate_30m,fee_velocity_rate_1h,fee_velocity_rate_2h,fee_apr_proxy,entry_safe,invalid_reason,confidence_reason
20260601_103248,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,pool_score_history_fee_apr_score,entry_safe_mark_volume_x_fee_tier_proxy,low,medium,recent_24h,,,,,0.7498943555710444,yes,,sparse_but_valid_mark_volume_before_cutoff
20260601_103248,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,pool_score_history_fee_apr_score,entry_safe_mark_volume_x_fee_tier_proxy,low,medium,recent_48h,,,,,0.9046253380830949,yes,,sparse_but_valid_mark_volume_before_cutoff
20260601_103248,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,pool_score_history_fee_apr_score,entry_safe_mark_volume_x_fee_tier_proxy,low,high,recent_72h,,,,,0.8671804081755762,yes,,dense_mark_volume_before_cutoff
20260601_103248,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,pool_score_history_fee_apr_score,entry_safe_mark_volume_x_fee_tier_proxy,low,high,recent_7d,,,,,0.8415753602898907,yes,,dense_mark_volume_before_cutoff
20260601_103248,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,WETH/USDC,pool_score_history_fee_apr_score,entry_safe_mark_volume_x_fee_tier_proxy,low,medium,recent_24h,,,,,1.6829378122194845,yes,,sparse_but_valid_mark_volume_before_cutoff
20260601_103248,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,WETH/USDC,pool_score_history_fee_apr_score,entry_safe_mark_volume_x_fee_tier_proxy,low,medium,recent_48h,,,,,1.9831554136410634,yes,,sparse_but_valid_mark_volume_before_cutoff
20260601_103248,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,WETH/USDC,pool_score_history_fee_apr_score,entry_safe_mark_volume_x_fee_tier_proxy,low,high,recent_72h,,,,,2.141080265564334,yes,,dense_mark_volume_before_cutoff
20260601_103248,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,WETH/USDC,pool_score_history_fee_apr_score,entry_safe_mark_volume_x_fee_tier_proxy,low,high,recent_7d,,,,,1.9918679292739756,yes,,dense_mark_volume_before_cutoff
20260601_103248,0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC/USDC,mark_volume_x_fee_tier_proxy,entry_safe_mark_volume_x_fee_tier_proxy,high,medium,recent_24h,,,,,2.291163038298805,yes,,sparse_but_valid_mark_volume_before_cutoff
20260601_103248,0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC/USDC,mark_volume_x_fee_tier_proxy,entry_safe_mark_volume_x_fee_tier_proxy,high,medium,recent_48h,,,,,2.37285868481614,yes,,sparse_but_valid_mark_volume_before_cutoff
20260601_103248,0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC/USDC,mark_volume_x_fee_tier_proxy,entry_safe_mark_volume_x_fee_tier_proxy,high,high,recent_72h,,,,,2.2361300405876796,yes,,dense_mark_volume_before_cutoff
20260601_103248,0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC/USDC,mark_volume_x_fee_tier_proxy,entry_safe_mark_volume_x_fee_tier_proxy,high,high,recent_7d,,,,,1.83430596610775,yes,,dense_mark_volume_before_cutoff
20260601_103248,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,pool_score_history_fee_apr_score,entry_safe_mark_volume_x_fee_tier_proxy,low,medium,recent_24h,,,,,0.3519152355621916,yes,,sparse_but_valid_mark_volume_before_cutoff
20260601_103248,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,pool_score_history_fee_apr_score,entry_safe_mark_volume_x_fee_tier_proxy,low,medium,recent_48h,,,,,0.41347717681295815,yes,,sparse_but_valid_mark_volume_before_cutoff
20260601_103248,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,pool_score_history_fee_apr_score,entry_safe_mark_volume_x_fee_tier_proxy,low,high,recent_72h,,,,,0.41824959853329796,yes,,dense_mark_volume_before_cutoff
20260601_103248,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,pool_score_history_fee_apr_score,entry_safe_mark_volume_x_fee_tier_proxy,low,high,recent_7d,,,,,0.3761326133665172,yes,,dense_mark_volume_before_cutoff
20260601_103248,0x9a993fc0eec60faaa0c391ff11b840ce16685150,USAD/USDT,pool_score_history_fee_apr_score,entry_safe_mark_volume_x_fee_tier_proxy,low,medium,recent_24h,,,,,0.001065574877448478,yes,,sparse_but_valid_mark_volume_before_cutoff
20260601_103248,0x9a993fc0eec60faaa0c391ff11b840ce16685150,USAD/USDT,pool_score_history_fee_apr_score,entry_safe_mark_volume_x_fee_tier_proxy,low,medium,recent_48h,,,,,0.0010831241923266993,yes,,sparse_but_valid_mark_volume_before_cutoff
20260601_103248,0x9a993fc0eec60faaa0c391ff11b840ce16685150,USAD/USDT,pool_score_history_fee_apr_score,entry_safe_mark_volume_x_fee_tier_proxy,low,high,recent_72h,,,,,0.0010493972528037659,yes,,dense_mark_volume_before_cutoff
20260601_103248,0x9a993fc0eec60faaa0c391ff11b840ce16685150,USAD/USDT,pool_score_history_fee_apr_score,entry_safe_mark_volume_x_fee_tier_proxy,low,high,recent_7d,,,,,0.0009641777022489234,yes,,dense_mark_volume_before_cutoff
20260601_103248,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,pool_score_history_fee_apr_score,pool_score_history_fee_apr_score,low,medium,recent_24h,9.474605129594353e-06,1.8949210259188706e-05,3.789842051837741e-05,7.579684103675482e-05,0.33199016374098617,yes,,score_history_fee_aprscore_before_cutoff
