run_id,pool_id,token_pair,chain,pool_type,fee_source,fee_tier_bps,window_label,bucket_start,bucket_end,feature_cutoff_time,entry_safe,volume_usd_proxy,swap_count,gross_fee_pool_usd_proxy,lp_fee_share_assumption,fee_velocity_rate_15m,fee_velocity_rate_30m,fee_velocity_rate_1h,fee_velocity_rate_2h,fee_apr_proxy,confidence,confidence_reason,invalid_reason
20260601_100642,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,base,unknown,pool_score_history_fee_apr_score,,recent_24h,1780022379,1780108779,1780108779,yes,,,,,,,,,,low,score_history_only_low_confidence,no_mark_volume_or_score_history
20260601_100642,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,base,unknown,pool_score_history_fee_apr_score,,recent_48h,1779935979,1780108779,1780108779,yes,,,,,,,,,,low,score_history_only_low_confidence,no_mark_volume_or_score_history
20260601_100642,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,base,unknown,pool_score_history_fee_apr_score,,recent_72h,1779849579,1780108779,1780108779,yes,,,,,,,,,,low,score_history_only_low_confidence,no_mark_volume_or_score_history
20260601_100642,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,base,unknown,pool_score_history_fee_apr_score,,recent_7d,1779503979,1780108779,1780108779,yes,,,,,,,,,,low,score_history_only_low_confidence,no_mark_volume_or_score_history
20260601_100642,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,WETH/USDC,base,unknown,pool_score_history_fee_apr_score,,recent_24h,1780022379,1780108779,1780108779,yes,,,,,,,,,,low,score_history_only_low_confidence,no_mark_volume_or_score_history
20260601_100642,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,WETH/USDC,base,unknown,pool_score_history_fee_apr_score,,recent_48h,1779935979,1780108779,1780108779,yes,,,,,,,,,,low,score_history_only_low_confidence,no_mark_volume_or_score_history
20260601_100642,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,WETH/USDC,base,unknown,pool_score_history_fee_apr_score,,recent_72h,1779849579,1780108779,1780108779,yes,,,,,,,,,,low,score_history_only_low_confidence,no_mark_volume_or_score_history
20260601_100642,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,WETH/USDC,base,unknown,pool_score_history_fee_apr_score,,recent_7d,1779503979,1780108779,1780108779,yes,,,,,,,,,,low,score_history_only_low_confidence,no_mark_volume_or_score_history
20260601_100642,0x4e962bb3889bf030368f56810a9c96b83cb3e778,0xCBB7C0000AB88B473B1F5AFD9EF808440EED33BF/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,base,concentrated_liquidity,mark_volume_x_fee_tier_proxy,5.0,recent_24h,1780022379,1780108779,1780108779,yes,141712300.12920302,,70856.15006460152,8.859017888094064e-08,6.538707301081066e-05,0.0001307741460216213,0.0002615482920432426,0.0005230965840864853,2.291163038298805,medium,entry_safe_mark_volume_x_fee_tier,
20260601_100642,0x4e962bb3889bf030368f56810a9c96b83cb3e778,0xCBB7C0000AB88B473B1F5AFD9EF808440EED33BF/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,base,concentrated_liquidity,mark_volume_x_fee_tier_proxy,5.0,recent_48h,1779935979,1780108779,1780108779,yes,145718194.6461468,,72859.0973230734,8.922678069012594e-08,6.771856977215012e-05,0.00013543713954430024,0.0002708742790886005,0.000541748558177201,2.37285868481614,medium,entry_safe_mark_volume_x_fee_tier,
