run_id,scenario_name,pool_id,token_pair,virtual_notional_usd,horizon,fixed_cost_usd,gross_fee_proxy_usd,slippage_cost_usd,exit_cost_usd,net_ev_proxy_usd,net_ev_proxy_pct,status,primary_remaining_blocker
20260601_105452,zero_il_lvr,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,20,15m,0.05,,0.006999999999999999,0.00504,,,DATA_INSUFFICIENT,data_confidence_low
20260601_105452,optimistic,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,20,15m,0.05,,0.006999999999999999,0.00504,,,DATA_INSUFFICIENT,data_confidence_low
20260601_105452,realistic,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,20,15m,0.05,,0.006999999999999999,0.00504,,,DATA_INSUFFICIENT,data_confidence_low
20260601_105452,conservative,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,20,15m,0.05,,0.006999999999999999,0.00504,,,DATA_INSUFFICIENT,data_confidence_low
20260601_105452,zero_il_lvr,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,20,30m,0.05,,0.006999999999999999,0.00504,,,DATA_INSUFFICIENT,data_confidence_low
20260601_105452,optimistic,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,20,30m,0.05,,0.006999999999999999,0.00504,,,DATA_INSUFFICIENT,data_confidence_low
20260601_105452,realistic,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,20,30m,0.05,,0.006999999999999999,0.00504,,,DATA_INSUFFICIENT,data_confidence_low
20260601_105452,conservative,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,20,30m,0.05,,0.006999999999999999,0.00504,,,DATA_INSUFFICIENT,data_confidence_low
20260601_105452,zero_il_lvr,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,20,1h,0.05,,0.006999999999999999,0.00504,,,DATA_INSUFFICIENT,data_confidence_low
20260601_105452,optimistic,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,20,1h,0.05,,0.006999999999999999,0.00504,,,DATA_INSUFFICIENT,data_confidence_low
