level,chain,protocol,pool_address,token_pair,pool_type,fee_tier_or_fee_bps,observed,tvl_proxy,volume_proxy,liquidity_near_active,quote_ready,fee_ready,ev_ready,selected_for_candidate_review,reject_reason,connector_used,data_source,invalid_reason
chain,base,,,,,,False,0,,,,,,,,,chain_not_observed_in_data_dir
chain,bsc,,,,,,False,0,,,,,,,,,bsc_chain_adapter_not_implemented_yet
chain,solana,,,,,,True,20,,,,,,,,,
chain,ethereum,,,,,,False,0,,,,,,,,,chain_skipped_for_safety_mainnet_only_design_target
chain,arbitrum,,,,,,False,0,,,,,,,,,chain_skipped_for_safety_mainnet_only_design_target
chain,optimism,,,,,,False,0,,,,,,,,,chain_skipped_for_safety_mainnet_only_design_target
chain,polygon,,,,,,False,0,,,,,,,,,chain_skipped_for_safety_mainnet_only_design_target
dex,base,uniswap_v3,,,v3,,False,,,,,,,,,internal/adapters/pool/uniswap_v3,public_rpc,
dex,base,aerodrome,,,v2_cpmm,,False,,,,,,,,,internal/adapters/pool/aerodrome,public_rpc,
dex,solana,meteora_dlmm,,,dlmm,,False,,,,,,,,,null,design_placeholder,not_implemented_yet
dex,solana,orca_whirlpool,,,clmm,,False,,,,,,,,,internal/adapters/pool/whirlpool,public_rpc,
dex,solana,raydium_clmm,,,clmm,,False,,,,,,,,,internal/adapters/pool/raydium_clmm,public_rpc,
dex,solana,raydium_amm_v4,,,v2_cpmm,,False,,,,,,,,,null,design_placeholder,not_implemented_yet
dex,solana,raydium_cpmm,,,v2_cpmm,,False,,,,,,,,,null,design_placeholder,not_implemented_yet
dex,solana,pancakeswap_v3_solana,,,v3,,False,,,,,,,,,internal/adapters/pool/pancakeswap_v3_solana,public_rpc,
dex,bsc,pancakeswap_v3,,,v3,,False,,,,,,,,,null,design_placeholder,bsc_chain_adapter_not_implemented_yet
dex,bsc,pancakeswap_v2,,,v2_cpmm,,False,,,,,,,,,null,design_placeholder,bsc_chain_adapter_not_implemented_yet
pool,solana,meteora_dlmm,<smoke_pool_meteora_dlmm_a>,?,?,0,true,0,0,,False,False,False,False,no_quote_ready,,public_rpc,
pool,solana,orca_whirlpool,<smoke_pool_orca_whirlpool_a>,?,?,0,true,0,0,,False,False,False,False,no_quote_ready,,public_rpc,
pool,solana,raydium_clmm,<smoke_pool_raydium_clmm_a>,?,?,0,true,0,0,,False,False,False,False,no_quote_ready,,public_rpc,
pool,solana,raydium_cpmm,<smoke_pool_raydium_cpmm_a>,?,?,0,true,0,0,,False,False,False,False,no_quote_ready,,public_rpc,
pool,solana,solana_stable,<smoke_pool_solana_stable_a>,?,?,0,true,0,0,,False,False,False,False,no_quote_ready,,public_rpc,
pool,solana,meteora_dlmm,<smoke_pool_meteora_dlmm_a>,?,?,0,true,0,0,,False,False,False,False,no_quote_ready,,public_rpc,
pool,solana,orca_whirlpool,<smoke_pool_orca_whirlpool_a>,?,?,0,true,0,0,,False,False,False,False,no_quote_ready,,public_rpc,
pool,solana,raydium_clmm,<smoke_pool_raydium_clmm_a>,?,?,0,true,0,0,,False,False,False,False,no_quote_ready,,public_rpc,
pool,solana,raydium_cpmm,<smoke_pool_raydium_cpmm_a>,?,?,0,true,0,0,,False,False,False,False,no_quote_ready,,public_rpc,
pool,solana,solana_stable,<smoke_pool_solana_stable_a>,?,?,0,true,0,0,,False,False,False,False,no_quote_ready,,public_rpc,
pool,solana,meteora_dlmm,<smoke_pool_meteora_dlmm_a>,?,?,0,true,0,0,,False,False,False,False,no_quote_ready,,public_rpc,
pool,solana,orca_whirlpool,<smoke_pool_orca_whirlpool_a>,?,?,0,true,0,0,,False,False,False,False,no_quote_ready,,public_rpc,
pool,solana,raydium_clmm,<smoke_pool_raydium_clmm_a>,?,?,0,true,0,0,,False,False,False,False,no_quote_ready,,public_rpc,
pool,solana,raydium_cpmm,<smoke_pool_raydium_cpmm_a>,?,?,0,true,0,0,,False,False,False,False,no_quote_ready,,public_rpc,
pool,solana,solana_stable,<smoke_pool_solana_stable_a>,?,?,0,true,0,0,,False,False,False,False,no_quote_ready,,public_rpc,
pool,solana,meteora_dlmm,<smoke_pool_meteora_dlmm_a>,?,?,0,true,0,0,,False,False,False,False,no_quote_ready,,public_rpc,
pool,solana,orca_whirlpool,<smoke_pool_orca_whirlpool_a>,?,?,0,true,0,0,,False,False,False,False,no_quote_ready,,public_rpc,
pool,solana,raydium_clmm,<smoke_pool_raydium_clmm_a>,?,?,0,true,0,0,,False,False,False,False,no_quote_ready,,public_rpc,
pool,solana,raydium_cpmm,<smoke_pool_raydium_cpmm_a>,?,?,0,true,0,0,,False,False,False,False,no_quote_ready,,public_rpc,
pool,solana,solana_stable,<smoke_pool_solana_stable_a>,?,?,0,true,0,0,,False,False,False,False,no_quote_ready,,public_rpc,
