chain,protocol,pool_type,pool_address,token_a_symbol,token_b_symbol,token_a_address,token_b_address,fee_tier,fee_label,token_a_decimals,token_b_decimals,quoter_address,validation_status,source_artifact,tvl_hint,volume_hint,quote_path_available,selected_for_12h_retry,adapter_ready,collector_observable,reason
bsc,pancakeswap_v3,v3,0x172fcD41E0913e95784454622d1c3724f546f849,WBNB,USDT,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x55d398326f99059fF775485246999027B3197955,100,0.01%,18,18,0xB048Bbc1Ee6b733FFfCFb9e9CeF7375518e25997,verified_in_bsc_precise_quote_research_artifact,reports/lp_bsc_pancakeswap_v3_precise_quote/20260602_235959/bsc_quote_target_candidates.csv,,,True,True,False,False,bsc_chain_adapter_not_implemented_yet
bsc,pancakeswap_v3,v3,0x36696169C63e42cd08ce11f5deeBbCeBae652050,WBNB,USDT,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x55d398326f99059fF775485246999027B3197955,500,0.05%,18,18,0xB048Bbc1Ee6b733FFfCFb9e9CeF7375518e25997,verified_in_bsc_precise_quote_research_artifact,reports/lp_bsc_pancakeswap_v3_precise_quote/20260602_235959/bsc_quote_target_candidates.csv,,,True,True,False,False,bsc_chain_adapter_not_implemented_yet
bsc,pancakeswap_v3,v3,0x1401ff943D08a7E098328C1d3a9d388923B115D2,WBNB,USDT,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x55d398326f99059fF775485246999027B3197955,2500,0.25%,18,18,0xB048Bbc1Ee6b733FFfCFb9e9CeF7375518e25997,verified_in_bsc_precise_quote_research_artifact,reports/lp_bsc_pancakeswap_v3_precise_quote/20260602_235959/bsc_quote_target_candidates.csv,,,True,True,False,False,bsc_chain_adapter_not_implemented_yet
bsc,pancakeswap_v3,v3,0x6805E0E5333c5c3acCF2930Be4734E2b98f4Ce06,WBNB,USDT,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x55d398326f99059fF775485246999027B3197955,10000,1.00%,18,18,0xB048Bbc1Ee6b733FFfCFb9e9CeF7375518e25997,verified_in_bsc_precise_quote_research_artifact,reports/lp_bsc_pancakeswap_v3_precise_quote/20260602_235959/bsc_quote_target_candidates.csv,,,True,True,False,False,bsc_chain_adapter_not_implemented_yet
bsc,pancakeswap_v3,v3,0xf2688Fb5B81049DFB7703aDa5e770543770612C4,WBNB,USDC,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,100,0.01%,18,18,0xB048Bbc1Ee6b733FFfCFb9e9CeF7375518e25997,verified_in_bsc_precise_quote_research_artifact,reports/lp_bsc_pancakeswap_v3_precise_quote/20260602_235959/bsc_quote_target_candidates.csv,,,True,True,False,False,bsc_chain_adapter_not_implemented_yet
bsc,pancakeswap_v3,v3,0x81A9b5F18179cE2bf8f001b8a634Db80771F1824,WBNB,USDC,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,500,0.05%,18,18,0xB048Bbc1Ee6b733FFfCFb9e9CeF7375518e25997,verified_in_bsc_precise_quote_research_artifact,reports/lp_bsc_pancakeswap_v3_precise_quote/20260602_235959/bsc_quote_target_candidates.csv,,,True,True,False,False,bsc_chain_adapter_not_implemented_yet
bsc,pancakeswap_v3,v3,0xc721dECCD986D54B39e8c29428A1f06155c3671e,WBNB,USDC,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,2500,0.25%,18,18,0xB048Bbc1Ee6b733FFfCFb9e9CeF7375518e25997,verified_in_bsc_precise_quote_research_artifact,reports/lp_bsc_pancakeswap_v3_precise_quote/20260602_235959/bsc_quote_target_candidates.csv,,,True,True,False,False,bsc_chain_adapter_not_implemented_yet
bsc,pancakeswap_v3,v3,0x18C5aFFA481e7EDbF37405AdE553827d6387899f,WBNB,USDC,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,10000,1.00%,18,18,0xB048Bbc1Ee6b733FFfCFb9e9CeF7375518e25997,verified_in_bsc_precise_quote_research_artifact,reports/lp_bsc_pancakeswap_v3_precise_quote/20260602_235959/bsc_quote_target_candidates.csv,,,True,True,False,False,bsc_chain_adapter_not_implemented_yet
bsc,pancakeswap_v2,v2,0x16b9a82891338f9bA80E2D6970FddA79D1d0E162,WBNB,USDT,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x55d398326f99059fF775485246999027B3197955,2000,0.20%,18,18,,inferred_mainnet_well_known_with_publicly_documented_address,public_bsc_mainnet_pancakeswap_v2_factory_pairs,,,False,True,False,False,bsc_chain_adapter_not_implemented_yet
bsc,pancakeswap_v2,v2,0x58F876857a02D6762E0101bb5C46A8c1ED44Dc16,WBNB,BUSD,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,2000,0.20%,18,18,,inferred_mainnet_well_known_with_publicly_documented_address,public_bsc_mainnet_pancakeswap_v2_factory_pairs,,,False,True,False,False,bsc_chain_adapter_not_implemented_yet
