chain,protocol,pool_type,pool_address,owner_program,owner_program_verified,data_len,dlmm_sized,token_pair,token_x_mint,token_y_mint,bin_step,base_fee_bps,active_bin_id,active_price,sdk_decode_success,snapshot_confidence,latency_ms_at_verify,source_artifact,verification_artifact,selected_for_12h_retry,validation_status,invalid_reason,adapter_ready,collector_observable,reason
solana,meteora_dlmm,dlmm,5BKxfWMbmYBAEWvyPZS9esPducUba9GqyMjtLCfbaqyF,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,True,904,True,wSOL/USDC,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,,0.02,-12248,0.08634925754283773,True,0.85,601,reports/lp_meteora_dlmm_known_pool_feed_expansion_overnight/20260603_174815/meteora_batch_pool_snapshot.csv,reports/lp_meteora_dlmm_known_pool_feed_expansion_overnight/20260603_174815/meteora_pool_chain_verification.json,True,verified_on_chain_v3,,True,True,verified_owner_program_is_meteora_dlmm_data_len_904_dlmm_sized
solana,meteora_dlmm,dlmm,9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,True,904,True,JTO/USDC,FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,,1.5,-238,0.0936511338309757,True,0.85,49,reports/lp_meteora_dlmm_known_pool_feed_expansion_overnight/20260603_174815/meteora_batch_pool_snapshot.csv,reports/lp_meteora_dlmm_known_pool_feed_expansion_overnight/20260603_174815/meteora_pool_chain_verification.json,True,verified_on_chain_v3,,True,True,verified_owner_program_is_meteora_dlmm_data_len_904_dlmm_sized
solana,meteora_dlmm,dlmm,6eR5rRdexbht8aiiQmYq7yKb7EhdD3af22B4mHDmCp8x,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,True,904,True,PUMP-HfAF/wSOL,HfAFNsnjmbWMMRkwNeUUoHJ8V6UnUGFzkpu3Seajpump,So11111111111111111111111111111111111111112,,2.0,-411,0.016746165359994136,True,0.85,153,reports/lp_meteora_dlmm_known_pool_feed_expansion_overnight/20260603_174815/meteora_batch_pool_snapshot.csv,reports/lp_meteora_dlmm_known_pool_feed_expansion_overnight/20260603_174815/meteora_pool_chain_verification.json,True,verified_on_chain_v3,,True,True,verified_owner_program_is_meteora_dlmm_data_len_904_dlmm_sized
solana,meteora_dlmm,dlmm,H9b4sPAeiyN8DEcWa6MG2kvxqmCqBEpxmexwCh84jg4H,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,True,904,True,MINT-Axhc/USDC,AxhcwfutahyDCSDaY2TCSJsm7Fu9dnCsQwSN2N4nFouR,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,,2.5,-255,0.042098523943535124,True,0.85,192,reports/lp_meteora_dlmm_known_pool_feed_expansion_overnight/20260603_174815/meteora_batch_pool_snapshot.csv,reports/lp_meteora_dlmm_known_pool_feed_expansion_overnight/20260603_174815/meteora_pool_chain_verification.json,True,verified_on_chain_v3,,True,True,verified_owner_program_is_meteora_dlmm_data_len_904_dlmm_sized
solana,meteora_dlmm,dlmm,6qz7THwQvcjF3HyDGLuKaLBUk6EyJKeZXZMWLAeiwfjd,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,True,904,True,MINT-BPxx/USDC,BPxxfRCXkUVhig4HS1Lh7kZqV6SPJhzfEk4x6fVBjPCy,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,,0.25,-1651,0.00026535791125350785,True,0.85,27,reports/lp_meteora_dlmm_known_pool_feed_expansion_overnight/20260603_174815/meteora_batch_pool_snapshot.csv,reports/lp_meteora_dlmm_known_pool_feed_expansion_overnight/20260603_174815/meteora_pool_chain_verification.json,True,verified_on_chain_v3,,True,True,verified_owner_program_is_meteora_dlmm_data_len_904_dlmm_sized
solana,meteora_dlmm,dlmm,CnK82s8exdsK9nwqQ55kd9wcxoA22NwTchZJCBdu8LDa,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,True,904,True,PUMP-FeMb/wSOL,FeMbDoX7R1Psc4GEcvJdsbNbZA3bfztcyDCatJVJpump,So11111111111111111111111111111111111111112,,1.0,-317,0.07998551055384369,True,0.85,143,reports/lp_meteora_dlmm_known_pool_feed_expansion_overnight/20260603_174815/meteora_batch_pool_snapshot.csv,reports/lp_meteora_dlmm_known_pool_feed_expansion_overnight/20260603_174815/meteora_pool_chain_verification.json,True,verified_on_chain_v3,,True,True,verified_owner_program_is_meteora_dlmm_data_len_904_dlmm_sized
solana,meteora_dlmm,dlmm,9bL8Pptpb8M2jEAb63EoarA6Po6Akarpha3JPzQfXGS3,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,True,904,True,MINT-Dnnm/wSOL,DnnmrZnCTqQn7bYbVAiWdJLreqrhg7HaSTkmhtzu8THy,So11111111111111111111111111111111111111112,,1.0,-271,0.0674384694045235,True,0.85,41,reports/lp_meteora_dlmm_known_pool_feed_expansion_overnight/20260603_174815/meteora_batch_pool_snapshot.csv,reports/lp_meteora_dlmm_known_pool_feed_expansion_overnight/20260603_174815/meteora_pool_chain_verification.json,True,verified_on_chain_v3,,True,True,verified_owner_program_is_meteora_dlmm_data_len_904_dlmm_sized
solana,meteora_dlmm,dlmm,8ztFxjFPfVUtEf4SLSapcFj8GW2dxyUA9no2bLPq7H7V,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,True,904,True,MINT-Dz9m/wSOL,Dz9mQ9NzkBcCsuGPFJ3r1bS4wgqKMHBPiVuniW8Mbonk,So11111111111111111111111111111111111111112,,0.2,173,1.4129143139544464,True,0.85,45,reports/lp_meteora_dlmm_known_pool_feed_expansion_overnight/20260603_174815/meteora_batch_pool_snapshot.csv,reports/lp_meteora_dlmm_known_pool_feed_expansion_overnight/20260603_174815/meteora_pool_chain_verification.json,True,verified_on_chain_v3,,True,True,verified_owner_program_is_meteora_dlmm_data_len_904_dlmm_sized
solana,meteora_dlmm,dlmm,2G7fxAhBo1sE4SmS9fXQ3BFPEpga3kLf4UyAVyCcp9uf,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,True,904,True,PUMP-CPV5/wSOL,CPV5kijeSj5ns5vWgH7attMfhKGQLaen2wXeqCDjpump,So11111111111111111111111111111111111111112,,2.0,-518,0.005774686083189041,True,0.85,76,reports/lp_meteora_dlmm_known_pool_feed_expansion_overnight/20260603_174815/meteora_batch_pool_snapshot.csv,reports/lp_meteora_dlmm_known_pool_feed_expansion_overnight/20260603_174815/meteora_pool_chain_verification.json,True,verified_on_chain_v3,,True,True,verified_owner_program_is_meteora_dlmm_data_len_904_dlmm_sized
solana,meteora_dlmm,dlmm,Cgnuirsk5dQ9Ka1Grnru7J8YW1sYncYUjiXvYxT7G4iZ,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,True,904,True,MINT-5UUH/wSOL,5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,So11111111111111111111111111111111111111112,,0.2,5,1.010040080080032,True,0.85,62,reports/lp_meteora_dlmm_known_pool_feed_expansion_overnight/20260603_174815/meteora_batch_pool_snapshot.csv,reports/lp_meteora_dlmm_known_pool_feed_expansion_overnight/20260603_174815/meteora_pool_chain_verification.json,True,verified_on_chain_v3,,True,True,verified_owner_program_is_meteora_dlmm_data_len_904_dlmm_sized
