approx_lvr_per_initial_usd,approx_lvr_to_endpoint_il,block_close_observations,end_block,endpoint_il_per_initial_usd,endpoint_move_abs,event_count_in_full_replay,log_price_quadratic_variation,pool,pool_name,reported_end_block,reported_start_block,robust_exclusion_reason,robust_ratio_eligible,start_block,status,terminal_return,window_index
8.289896284763287e-06,5.24514268165357,4959,47192202,1.5804901387639347e-06,0.0035589901537167457,80378,6.620119647490083e-05,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,47224586,47202986,,True,47181407,OK,1.0035589901537167,0
2.894205482173451e-05,3.054264022632066,7283,47202998,9.475950542348066e-06,0.008687804345562378,80378,0.00023254544025243226,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,47224586,47202986,,True,47192203,OK,0.9913121956544376,1
4.1497393058920196e-05,0.7128806534899963,6827,47213794,5.821085599078124e-05,0.021696200393087395,80378,0.0003284286622148493,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,47224586,47202986,,True,47202999,OK,1.0216962003930874,2
8.442331927094315e-06,815.1388767792909,5274,47224594,1.0356924651233612e-08,0.0002878254196124752,80378,6.75480925829132e-05,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,47224586,47202986,endpoint_move_below_25bps_or_zero_endpoint_il,False,47213795,OK,0.9997121745803875,3
7.240495427884852e-06,4.268230883866837,4563,47192197,1.6963692042182288e-06,0.0036872702655952327,28483,5.781725877414116e-05,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,47224586,47202986,,True,47181399,OK,1.0036872702655952,0
2.6236957710201736e-05,2.7879733098297175,6570,47202996,9.410763588624249e-06,0.008657935281041973,28483,0.0002108074652062416,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,47224586,47202986,,True,47192198,OK,0.991342064718958,1
4.024978320238404e-05,0.6965206424737127,6278,47213795,5.778692080027348e-05,0.02161662884831439,28483,0.00031856711431154267,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,47224586,47202986,,True,47202997,OK,1.0216166288483144,2
7.565406573428746e-06,471.1229167214003,4896,47224598,1.6058243623717772e-08,0.0003583893521115211,28483,6.053387237795833e-05,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,47224586,47202986,endpoint_move_below_25bps_or_zero_endpoint_il,False,47213796,OK,0.9996416106478885,3
2.844504761512212e-06,2.65294083903659,581,47192226,1.0722081396075112e-06,0.002930909534459847,6819,2.2722731347760252e-05,0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,47224586,47202986,,True,47181441,OK,1.0029309095344598,0
1.4190517826362381e-05,1.5698317417854337,1388,47203012,9.039515158626443e-06,0.008485809566592284,6819,0.00011400809616116075,0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,47224586,47202986,,True,47192227,OK,0.9915141904334077,1
2.3044221802770437e-05,0.4005792152607941,1352,47213798,5.752725285002036e-05,0.021567747175855523,6819,0.00018239526986840886,0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,47224586,47202986,,True,47203013,OK,1.0215677471758555,2
3.6128670318769096e-06,12365.682028542842,695,47224586,2.9216884467331283e-10,4.834557212696211e-05,6819,2.8903583247294182e-05,0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,47224586,47202986,endpoint_move_below_25bps_or_zero_endpoint_il,False,47213799,OK,0.999951654427873,3
