pool_address,token_x,token_y,token_x_decimals,token_y_decimals,bin_step,active_bin_id,active_price,reserve_x_raw,reserve_y_raw,base_fee_bps,max_fee_bps,sdk_decode_success,confidence,invalid_reason,latency_ms
5BKxfWMbmYBAEWvyPZS9esPducUba9GqyMjtLCfbaqyF,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,,,,-12248,0.086349257542837731428,,,0.02,10,True,0.85,,623
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,,,,-238,0.093651133830975707527,,,1.5,10,True,0.85,,391
6eR5rRdexbht8aiiQmYq7yKb7EhdD3af22B4mHDmCp8x,HfAFNsnjmbWMMRkwNeUUoHJ8V6UnUGFzkpu3Seajpump,So11111111111111111111111111111111111111112,,,,-411,0.016746165359994134263,,,2,10,True,0.85,,320
H9b4sPAeiyN8DEcWa6MG2kvxqmCqBEpxmexwCh84jg4H,AxhcwfutahyDCSDaY2TCSJsm7Fu9dnCsQwSN2N4nFouR,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,,,,-255,0.042098523943535124856,,,2.5,10,True,0.85,,821
6qz7THwQvcjF3HyDGLuKaLBUk6EyJKeZXZMWLAeiwfjd,BPxxfRCXkUVhig4HS1Lh7kZqV6SPJhzfEk4x6fVBjPCy,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,,,,-1651,0.000265357911253507825,,,0.25,10,True,0.85,,290
CnK82s8exdsK9nwqQ55kd9wcxoA22NwTchZJCBdu8LDa,FeMbDoX7R1Psc4GEcvJdsbNbZA3bfztcyDCatJVJpump,So11111111111111111111111111111111111111112,,,,-317,0.079985510553843692546,,,1,10,True,0.85,,392
9bL8Pptpb8M2jEAb63EoarA6Po6Akarpha3JPzQfXGS3,DnnmrZnCTqQn7bYbVAiWdJLreqrhg7HaSTkmhtzu8THy,So11111111111111111111111111111111111111112,,,,-271,0.067438469404523497144,,,1,10,True,0.85,,1272
8ztFxjFPfVUtEf4SLSapcFj8GW2dxyUA9no2bLPq7H7V,Dz9mQ9NzkBcCsuGPFJ3r1bS4wgqKMHBPiVuniW8Mbonk,So11111111111111111111111111111111111111112,,,,173,1.4129143139544465107,,,0.2,10,True,0.85,,332
2G7fxAhBo1sE4SmS9fXQ3BFPEpga3kLf4UyAVyCcp9uf,CPV5kijeSj5ns5vWgH7attMfhKGQLaen2wXeqCDjpump,So11111111111111111111111111111111111111112,,,,-518,0.0057746860831890413258,,,2,10,True,0.85,,819
Cgnuirsk5dQ9Ka1Grnru7J8YW1sYncYUjiXvYxT7G4iZ,5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,So11111111111111111111111111111111111111112,,,,5,1.010040080080032,,,0.2,10,True,0.85,,444
FhdW3Y6Ea6hXKbkGkt5YSAVtDNd5qJ8USevMaPyEr45S,3ZLekZYq2qkZiSpnSvabjit34tUkjSwD1JFuW9as9wBG,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,,,,-2931,0.0028622541384318774985,,,0.2,10,True,0.85,,234
6oFWm7KPLfxnwMb3z5xwBoXNSPP3JJyirAPqPSiVcnsp,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,So11111111111111111111111111111111111111112,,,,-9083,0.00070065496980670148878,,,0.05,10,True,0.85,,868
BCv5Ggg5563AYfkrErdXok2hKfjgUNtQ1A4yKuNbTjQ9,SKRbvo6Gf7GondiT3BbTfuRDPqLWei4j2Qy2NPGZhW3,So11111111111111111111111111111111111111112,,,,-1756,0.17288604777472026986,,,0.1,10,True,0.85,,435
6VxKTxaV4yY18rpzNLJwKMt3kyyiv4hjFixCbhs7j5gp,9gnq7qkXgKAsTwFCLrX76PvtYtRtrNaBYEVBBP7gjupx,So11111111111111111111111111111111111111112,,,,-482,0.0082622405828676131217,,,2,10,True,0.85,,508
DJ8qzBm3ZoRi4YiVmpiLBBuc67cq737vqaTNbMRJGcvZ,6SjVTj1VGwFSXn7wEjwFm77LvACeTqB7sQUebYKX8Ds5,So11111111111111111111111111111111111111112,,,,-430,0.000024475855555415865507,,,1,10,True,0.85,,475
8UYCgRrxZc3XKY8PBJDSKubAUP4mpbxoj1EZJ7A5G9wy,33eum82LaAhtv5YkUq1BdwEviSErH5CnFxqVNLT5pump,So11111111111111111111111111111111111111112,,,,-263,0.07302619881198238682,,,1,10,True,0.85,,873
