pool_address,notional_usd,direction,amount_in_raw,amount_out_raw,price_impact,fee,bins_crossed,coverage_arrays_used,quote_success,confidence,invalid_reason,latency_ms
5BKxfWMbmYBAEWvyPZS9esPducUba9GqyMjtLCfbaqyF,10,y_to_x,,,,,,,False,0,no_bin_arrays_for_swap,3327
5BKxfWMbmYBAEWvyPZS9esPducUba9GqyMjtLCfbaqyF,20,y_to_x,,,,,,,False,0,no_bin_arrays_for_swap,3799
5BKxfWMbmYBAEWvyPZS9esPducUba9GqyMjtLCfbaqyF,100,y_to_x,,,,,,,False,0,no_bin_arrays_for_swap,3682
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,10,y_to_x,,,,,,,False,0,no_bin_arrays_for_swap,3368
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,20,y_to_x,,,,,,,False,0,no_bin_arrays_for_swap,3282
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,100,y_to_x,,,,,,,False,0,no_bin_arrays_for_swap,3197
6eR5rRdexbht8aiiQmYq7yKb7EhdD3af22B4mHDmCp8x,10,y_to_x,,,,,,,False,0,no_bin_arrays_for_swap,3462
6eR5rRdexbht8aiiQmYq7yKb7EhdD3af22B4mHDmCp8x,20,y_to_x,,,,,,,False,0,no_bin_arrays_for_swap,3838
6eR5rRdexbht8aiiQmYq7yKb7EhdD3af22B4mHDmCp8x,100,y_to_x,,,,,,,False,0,no_bin_arrays_for_swap,3190
H9b4sPAeiyN8DEcWa6MG2kvxqmCqBEpxmexwCh84jg4H,10,y_to_x,,,,,,,False,0,no_bin_arrays_for_swap,3214
H9b4sPAeiyN8DEcWa6MG2kvxqmCqBEpxmexwCh84jg4H,20,y_to_x,,,,,,,False,0,no_bin_arrays_for_swap,3345
H9b4sPAeiyN8DEcWa6MG2kvxqmCqBEpxmexwCh84jg4H,100,y_to_x,,,,,,,False,0,no_bin_arrays_for_swap,3601
6qz7THwQvcjF3HyDGLuKaLBUk6EyJKeZXZMWLAeiwfjd,10,y_to_x,,,,,,,False,0,no_bin_arrays_for_swap,3280
6qz7THwQvcjF3HyDGLuKaLBUk6EyJKeZXZMWLAeiwfjd,20,y_to_x,,,,,,,False,0,no_bin_arrays_for_swap,3144
6qz7THwQvcjF3HyDGLuKaLBUk6EyJKeZXZMWLAeiwfjd,100,y_to_x,,,,,,,False,0,no_bin_arrays_for_swap,3347
CnK82s8exdsK9nwqQ55kd9wcxoA22NwTchZJCBdu8LDa,10,y_to_x,,,,,,,False,0,no_bin_arrays_for_swap,3299
CnK82s8exdsK9nwqQ55kd9wcxoA22NwTchZJCBdu8LDa,20,y_to_x,,,,,,,False,0,no_bin_arrays_for_swap,3588
CnK82s8exdsK9nwqQ55kd9wcxoA22NwTchZJCBdu8LDa,100,y_to_x,,,,,,,False,0,no_bin_arrays_for_swap,3433
