pool_address,source_url,source_type,source_confidence,token_hint,selected_for_chain_verify,invalid_reason
5BKxfWMbmYBAEWvyPZS9esPducUba9GqyMjtLCfbaqyF,runner_collected,combined,raw,,True,
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,runner_collected,combined,raw,,True,
6eR5rRdexbht8aiiQmYq7yKb7EhdD3af22B4mHDmCp8x,runner_collected,combined,raw,,True,
H9b4sPAeiyN8DEcWa6MG2kvxqmCqBEpxmexwCh84jg4H,runner_collected,combined,raw,,True,
6qz7THwQvcjF3HyDGLuKaLBUk6EyJKeZXZMWLAeiwfjd,runner_collected,combined,raw,,True,
CnK82s8exdsK9nwqQ55kd9wcxoA22NwTchZJCBdu8LDa,runner_collected,combined,raw,,True,
9bL8Pptpb8M2jEAb63EoarA6Po6Akarpha3JPzQfXGS3,runner_collected,combined,raw,,True,
8ztFxjFPfVUtEf4SLSapcFj8GW2dxyUA9no2bLPq7H7V,runner_collected,combined,raw,,True,
2G7fxAhBo1sE4SmS9fXQ3BFPEpga3kLf4UyAVyCcp9uf,runner_collected,combined,raw,,True,
Cgnuirsk5dQ9Ka1Grnru7J8YW1sYncYUjiXvYxT7G4iZ,runner_collected,combined,raw,,True,
FhdW3Y6Ea6hXKbkGkt5YSAVtDNd5qJ8USevMaPyEr45S,runner_collected,combined,raw,,True,
6oFWm7KPLfxnwMb3z5xwBoXNSPP3JJyirAPqPSiVcnsp,runner_collected,combined,raw,,True,
BCv5Ggg5563AYfkrErdXok2hKfjgUNtQ1A4yKuNbTjQ9,runner_collected,combined,raw,,True,
6VxKTxaV4yY18rpzNLJwKMt3kyyiv4hjFixCbhs7j5gp,runner_collected,combined,raw,,True,
DJ8qzBm3ZoRi4YiVmpiLBBuc67cq737vqaTNbMRJGcvZ,runner_collected,combined,raw,,True,
8UYCgRrxZc3XKY8PBJDSKubAUP4mpbxoj1EZJ7A5G9wy,runner_collected,combined,raw,,True,
8sjV1AqBFvFuADBCQHhotaRq5DFFYSjjg1jMyVWMqXvZ,runner_collected,combined,raw,,True,
Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,runner_collected,combined,raw,,True,
8Aaeu6QJ5ZVjsgbiYgixMuQei7WhBWbGGSwJhBtq6C2,runner_collected,combined,raw,,True,
