pool_address,coverage_arrays,active_bin_id,bin_step,bin_array_index,bin_array_pubkey,neighbor_offset,derivation_success,confidence,invalid_reason
5BKxfWMbmYBAEWvyPZS9esPducUba9GqyMjtLCfbaqyF,5,-12248,2,-177,7cZeMDMH8YPF5YtgoWaCSw4eQVqjcqBcqCK9Fe2zih9n,-2,true,0.95,
5BKxfWMbmYBAEWvyPZS9esPducUba9GqyMjtLCfbaqyF,5,-12248,2,-176,99daE4xkHTmziJZYh6XzfQ8mRqJD6kiYbDVtf8mRhoUL,-1,true,0.95,
5BKxfWMbmYBAEWvyPZS9esPducUba9GqyMjtLCfbaqyF,5,-12248,2,-175,HEG2LuUaJNZNS7EYD5qXL8G3FAHEHKzWZaMPCu3osU1R,0,true,0.95,
5BKxfWMbmYBAEWvyPZS9esPducUba9GqyMjtLCfbaqyF,5,-12248,2,-174,7tfRkX2QnictEJEZkdw85QVs3zTm21UTqPdz4Dk5fnvP,1,true,0.95,
5BKxfWMbmYBAEWvyPZS9esPducUba9GqyMjtLCfbaqyF,5,-12248,2,-173,DC9tTtTmhDeewop2cfp8hSt2ytevZmgRoR97YA4vkJaT,2,true,0.95,
5BKxfWMbmYBAEWvyPZS9esPducUba9GqyMjtLCfbaqyF,7,-12248,2,-178,DDgNF4ptBpGPTx7ABaJeH2tRYfAqm1xeTN2DzfLccqaL,-3,true,0.95,
5BKxfWMbmYBAEWvyPZS9esPducUba9GqyMjtLCfbaqyF,7,-12248,2,-177,7cZeMDMH8YPF5YtgoWaCSw4eQVqjcqBcqCK9Fe2zih9n,-2,true,0.95,
5BKxfWMbmYBAEWvyPZS9esPducUba9GqyMjtLCfbaqyF,7,-12248,2,-176,99daE4xkHTmziJZYh6XzfQ8mRqJD6kiYbDVtf8mRhoUL,-1,true,0.95,
5BKxfWMbmYBAEWvyPZS9esPducUba9GqyMjtLCfbaqyF,7,-12248,2,-175,HEG2LuUaJNZNS7EYD5qXL8G3FAHEHKzWZaMPCu3osU1R,0,true,0.95,
5BKxfWMbmYBAEWvyPZS9esPducUba9GqyMjtLCfbaqyF,7,-12248,2,-174,7tfRkX2QnictEJEZkdw85QVs3zTm21UTqPdz4Dk5fnvP,1,true,0.95,
5BKxfWMbmYBAEWvyPZS9esPducUba9GqyMjtLCfbaqyF,7,-12248,2,-173,DC9tTtTmhDeewop2cfp8hSt2ytevZmgRoR97YA4vkJaT,2,true,0.95,
5BKxfWMbmYBAEWvyPZS9esPducUba9GqyMjtLCfbaqyF,7,-12248,2,-172,6eKePPT6Z5HNifUrv1WQ9joJgV33opcpf5NC7Zx5j4f6,3,true,0.95,
