pool_address,notional_usd,hold_window,scenario,gross_fee_usd,il_lvr_cost_usd,total_cost_usd,net_ev_usd,net_ev_pct,confidence,heuristic,data_source,scope,invalid_reason
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,10,15m,zero_il_lvr,7.5e-06,0.0,0.15588,-0.155872,-1.558725,0.4,True,V4+V6+V7+V8 heuristic; mark heuristic,partial_pool2_only,no actual volume / no realized IL; scenario-based heuristic
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,10,15m,optimistic,7.5e-06,0.01,0.15588,-0.165872,-1.658725,0.4,True,V4+V6+V7+V8 heuristic; mark heuristic,partial_pool2_only,no actual volume / no realized IL; scenario-based heuristic
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,10,15m,realistic,7.5e-06,0.05,0.15588,-0.205872,-2.058725,0.4,True,V4+V6+V7+V8 heuristic; mark heuristic,partial_pool2_only,no actual volume / no realized IL; scenario-based heuristic
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,10,15m,conservative,7.5e-06,0.2,0.15588,-0.355873,-3.558725,0.4,True,V4+V6+V7+V8 heuristic; mark heuristic,partial_pool2_only,no actual volume / no realized IL; scenario-based heuristic
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,10,30m,zero_il_lvr,7.5e-06,0.0,0.15588,-0.155872,-1.558725,0.4,True,V4+V6+V7+V8 heuristic; mark heuristic,partial_pool2_only,no actual volume / no realized IL; scenario-based heuristic
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,10,30m,optimistic,7.5e-06,0.01,0.15588,-0.165872,-1.658725,0.4,True,V4+V6+V7+V8 heuristic; mark heuristic,partial_pool2_only,no actual volume / no realized IL; scenario-based heuristic
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,10,30m,realistic,7.5e-06,0.05,0.15588,-0.205872,-2.058725,0.4,True,V4+V6+V7+V8 heuristic; mark heuristic,partial_pool2_only,no actual volume / no realized IL; scenario-based heuristic
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,10,30m,conservative,7.5e-06,0.2,0.15588,-0.355873,-3.558725,0.4,True,V4+V6+V7+V8 heuristic; mark heuristic,partial_pool2_only,no actual volume / no realized IL; scenario-based heuristic
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,10,1h,zero_il_lvr,7.5e-06,0.0,0.15588,-0.155872,-1.558725,0.4,True,V4+V6+V7+V8 heuristic; mark heuristic,partial_pool2_only,no actual volume / no realized IL; scenario-based heuristic
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,10,1h,optimistic,7.5e-06,0.01,0.15588,-0.165872,-1.658725,0.4,True,V4+V6+V7+V8 heuristic; mark heuristic,partial_pool2_only,no actual volume / no realized IL; scenario-based heuristic
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,10,1h,realistic,7.5e-06,0.05,0.15588,-0.205872,-2.058725,0.4,True,V4+V6+V7+V8 heuristic; mark heuristic,partial_pool2_only,no actual volume / no realized IL; scenario-based heuristic
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,10,1h,conservative,7.5e-06,0.2,0.15588,-0.355873,-3.558725,0.4,True,V4+V6+V7+V8 heuristic; mark heuristic,partial_pool2_only,no actual volume / no realized IL; scenario-based heuristic
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,10,2h,zero_il_lvr,7.5e-06,0.0,0.15588,-0.155872,-1.558725,0.4,True,V4+V6+V7+V8 heuristic; mark heuristic,partial_pool2_only,no actual volume / no realized IL; scenario-based heuristic
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,10,2h,optimistic,7.5e-06,0.01,0.15588,-0.165872,-1.658725,0.4,True,V4+V6+V7+V8 heuristic; mark heuristic,partial_pool2_only,no actual volume / no realized IL; scenario-based heuristic
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,10,2h,realistic,7.5e-06,0.05,0.15588,-0.205872,-2.058725,0.4,True,V4+V6+V7+V8 heuristic; mark heuristic,partial_pool2_only,no actual volume / no realized IL; scenario-based heuristic
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,10,2h,conservative,7.5e-06,0.2,0.15588,-0.355873,-3.558725,0.4,True,V4+V6+V7+V8 heuristic; mark heuristic,partial_pool2_only,no actual volume / no realized IL; scenario-based heuristic
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,10,6h,zero_il_lvr,7.5e-06,0.0,0.15588,-0.155872,-1.558725,0.4,True,V4+V6+V7+V8 heuristic; mark heuristic,partial_pool2_only,no actual volume / no realized IL; scenario-based heuristic
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,10,6h,optimistic,7.5e-06,0.01,0.15588,-0.165872,-1.658725,0.4,True,V4+V6+V7+V8 heuristic; mark heuristic,partial_pool2_only,no actual volume / no realized IL; scenario-based heuristic
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,10,6h,realistic,7.5e-06,0.05,0.15588,-0.205872,-2.058725,0.4,True,V4+V6+V7+V8 heuristic; mark heuristic,partial_pool2_only,no actual volume / no realized IL; scenario-based heuristic
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,10,6h,conservative,7.5e-06,0.2,0.15588,-0.355873,-3.558725,0.4,True,V4+V6+V7+V8 heuristic; mark heuristic,partial_pool2_only,no actual volume / no realized IL; scenario-based heuristic
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,10,24h,zero_il_lvr,7.5e-06,0.0,0.15588,-0.155872,-1.558725,0.4,True,V4+V6+V7+V8 heuristic; mark heuristic,partial_pool2_only,no actual volume / no realized IL; scenario-based heuristic
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,10,24h,optimistic,7.5e-06,0.01,0.15588,-0.165872,-1.658725,0.4,True,V4+V6+V7+V8 heuristic; mark heuristic,partial_pool2_only,no actual volume / no realized IL; scenario-based heuristic
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,10,24h,realistic,7.5e-06,0.05,0.15588,-0.205872,-2.058725,0.4,True,V4+V6+V7+V8 heuristic; mark heuristic,partial_pool2_only,no actual volume / no realized IL; scenario-based heuristic
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,10,24h,conservative,7.5e-06,0.2,0.15588,-0.355873,-3.558725,0.4,True,V4+V6+V7+V8 heuristic; mark heuristic,partial_pool2_only,no actual volume / no realized IL; scenario-based heuristic
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,10,7d,zero_il_lvr,7.5e-06,0.0,0.15588,-0.155872,-1.558725,0.4,True,V4+V6+V7+V8 heuristic; mark heuristic,partial_pool2_only,no actual volume / no realized IL; scenario-based heuristic
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,10,7d,optimistic,7.5e-06,0.01,0.15588,-0.165872,-1.658725,0.4,True,V4+V6+V7+V8 heuristic; mark heuristic,partial_pool2_only,no actual volume / no realized IL; scenario-based heuristic
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,10,7d,realistic,7.5e-06,0.05,0.15588,-0.205872,-2.058725,0.4,True,V4+V6+V7+V8 heuristic; mark heuristic,partial_pool2_only,no actual volume / no realized IL; scenario-based heuristic
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,10,7d,conservative,7.5e-06,0.2,0.15588,-0.355873,-3.558725,0.4,True,V4+V6+V7+V8 heuristic; mark heuristic,partial_pool2_only,no actual volume / no realized IL; scenario-based heuristic
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,20,15m,zero_il_lvr,1.5e-05,0.0,0.15588,-0.155865,-0.779325,0.4,True,V4+V6+V7+V8 heuristic; mark heuristic,partial_pool2_only,no actual volume / no realized IL; scenario-based heuristic
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,20,15m,optimistic,1.5e-05,0.02,0.15588,-0.175865,-0.879325,0.4,True,V4+V6+V7+V8 heuristic; mark heuristic,partial_pool2_only,no actual volume / no realized IL; scenario-based heuristic
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,20,15m,realistic,1.5e-05,0.1,0.15588,-0.255865,-1.279325,0.4,True,V4+V6+V7+V8 heuristic; mark heuristic,partial_pool2_only,no actual volume / no realized IL; scenario-based heuristic
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,20,15m,conservative,1.5e-05,0.4,0.15588,-0.555865,-2.779325,0.4,True,V4+V6+V7+V8 heuristic; mark heuristic,partial_pool2_only,no actual volume / no realized IL; scenario-based heuristic
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,20,30m,zero_il_lvr,1.5e-05,0.0,0.15588,-0.155865,-0.779325,0.4,True,V4+V6+V7+V8 heuristic; mark heuristic,partial_pool2_only,no actual volume / no realized IL; scenario-based heuristic
