pool_address,name,base_symbol,quote_symbol,vol24h_usd,reserve_usd,price_usd,source_type,source_url,source_confidence,high_volume_candidate,selected_for_chain_verify,fee_hint_bps
5rCf1DM8LjKTw4YqhnoLcngyZYeNnQqztScTogYHAS6,SOL / USDC,SOL,USDC,31473352.54,2769155.75,69.15673576,GeckoTerminal,https://www.geckoterminal.com/solana/pools/5rCf1DM8LjKTw4YqhnoLcngyZYeNnQqztScTogYHAS6,B,True,True,
7tSbDdxxUPMiJmVQ7o1ufynyodQ6SQetEoxYWPEjuAec,USDC / SOL,USDC,SOL,17804765.00,124197.46,1.00040693,GeckoTerminal,https://www.geckoterminal.com/solana/pools/7tSbDdxxUPMiJmVQ7o1ufynyodQ6SQetEoxYWPEjuAec,B,True,True,
ANCx141SujgVdbKz9NTEH8F38qWsnyyXsVju64aU3qLB,HYPE / USDC,HYPE,USDC,14631792.55,3876482.08,72.91909131,GeckoTerminal,https://www.geckoterminal.com/solana/pools/ANCx141SujgVdbKz9NTEH8F38qWsnyyXsVju64aU3qLB,B,True,True,
BGm1tav58oGcsQJehL9WXBFXF7D27vZsKefj4xJKD5Y,SOL / USDC,SOL,USDC,11090123.48,3409641.10,69.22119087,GeckoTerminal,https://www.geckoterminal.com/solana/pools/BGm1tav58oGcsQJehL9WXBFXF7D27vZsKefj4xJKD5Y,B,True,True,
9ToMYnmEeYKc1AWYAFo8yjPKM1bt3vPhgw1U6qh9RxBd,ZEC / USDC,ZEC,USDC,10719688.07,1677943.72,592.51586019,GeckoTerminal,https://www.geckoterminal.com/solana/pools/9ToMYnmEeYKc1AWYAFo8yjPKM1bt3vPhgw1U6qh9RxBd,B,True,True,
9SMp4yLKGtW9TnLimfVPkDARsyNSfJw43WMke4r7KoZj,PUMP / USDC,PUMP,USDC,9624549.37,1652875.13,0.00169105,GeckoTerminal,https://www.geckoterminal.com/solana/pools/9SMp4yLKGtW9TnLimfVPkDARsyNSfJw43WMke4r7KoZj,B,True,True,
81GpCm4d13y8TozYtThabuSCLQN2o3bbrvDogXFPn8sA,HYPE / SOL,HYPE,SOL,5841260.04,1561202.75,72.92831937,GeckoTerminal,https://www.geckoterminal.com/solana/pools/81GpCm4d13y8TozYtThabuSCLQN2o3bbrvDogXFPn8sA,B,True,True,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,HYPE / USDC,HYPE,USDC,5827274.57,1359746.17,73.00194293,GeckoTerminal,https://www.geckoterminal.com/solana/pools/4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,B,True,True,
6oQ9wVex4mKZti2GsGCfD8FWTMMC9PLQkztRU5cd6MK8,HYPE / SOL,HYPE,SOL,5514619.00,292682.48,73.06966387,GeckoTerminal,https://www.geckoterminal.com/solana/pools/6oQ9wVex4mKZti2GsGCfD8FWTMMC9PLQkztRU5cd6MK8,B,True,True,
6F4rVnmVc1A2QDqpHn5cpQZfXugapFbGZTXEyaakpvVQ,HYPE / USDC,HYPE,USDC,5259865.47,486094.52,73.19086697,GeckoTerminal,https://www.geckoterminal.com/solana/pools/6F4rVnmVc1A2QDqpHn5cpQZfXugapFbGZTXEyaakpvVQ,B,True,True,
F2BstVuVWqBntH439tz7UXRHDwfCUFsrDzniZ2qjKLRT,HYPE / USDC,HYPE,USDC,5023623.08,136895.89,73.18812932,GeckoTerminal,https://www.geckoterminal.com/solana/pools/F2BstVuVWqBntH439tz7UXRHDwfCUFsrDzniZ2qjKLRT,B,True,True,
Hz1EtXTGaFEtAWRgRNpDMFV6vnSZtQUY9UqmdM6vfKSS,cbBTC / SOL,cbBTC,SOL,4738219.85,135316.41,62911.57955171,GeckoTerminal,https://www.geckoterminal.com/solana/pools/Hz1EtXTGaFEtAWRgRNpDMFV6vnSZtQUY9UqmdM6vfKSS,B,True,True,
3C5YE97HADPDxZehYq9Cis8AXr9aNyrUsczKzE1nDbW9,TRUMP / USDC,TRUMP,USDC,3961010.21,3774720.34,1.84357976,GeckoTerminal,https://www.geckoterminal.com/solana/pools/3C5YE97HADPDxZehYq9Cis8AXr9aNyrUsczKzE1nDbW9,B,True,True,
5hbf9JP8k5zdrZp9pokPypFQoBse5mGCmW6nqodurGcd,MET/USDC,MET,USDC,3218642.49,1114254.89,0.12070000,DexScreener,https://dexscreener.com/solana/5hbf9JP8k5zdrZp9pokPypFQoBse5mGCmW6nqodurGcd,B,True,True,
HDhWhQCBrSh9xNWmNtsTi86eWj3yCoEiaRodjgNydo1b,cbBTC / SOL,cbBTC,SOL,3103599.52,112755.46,62837.19291384,GeckoTerminal,https://www.geckoterminal.com/solana/pools/HDhWhQCBrSh9xNWmNtsTi86eWj3yCoEiaRodjgNydo1b,B,True,True,
7ubS3GccjhQY99AYNKXjNJqnXjaokEdfdV915xnCb96r,cbBTC / USDC,cbBTC,USDC,2472210.51,614231.44,62785.00515293,GeckoTerminal,https://www.geckoterminal.com/solana/pools/7ubS3GccjhQY99AYNKXjNJqnXjaokEdfdV915xnCb96r,B,True,True,
HTvjzsfX3yU6BUodCjZ5vZkUrAxMDTrBs3CJaq43ashR,SOL / USDC,SOL,USDC,2317243.61,368606.26,69.15765491,GeckoTerminal,https://www.geckoterminal.com/solana/pools/HTvjzsfX3yU6BUodCjZ5vZkUrAxMDTrBs3CJaq43ashR,B,True,True,
8ztFxjFPfVUtEf4SLSapcFj8GW2dxyUA9no2bLPq7H7V,USELESS / SOL,USELESS,SOL,2209538.19,449611.81,0.09431145,GeckoTerminal,https://www.geckoterminal.com/solana/pools/8ztFxjFPfVUtEf4SLSapcFj8GW2dxyUA9no2bLPq7H7V,B,True,True,
FhdW3Y6Ea6hXKbkGkt5YSAVtDNd5qJ8USevMaPyEr45S,wNEAR / USDC,wNEAR,USDC,2186553.77,832328.70,2.78065599,GeckoTerminal,https://www.geckoterminal.com/solana/pools/FhdW3Y6Ea6hXKbkGkt5YSAVtDNd5qJ8USevMaPyEr45S,B,True,True,
GeUkx21Vc6yg63YZ1BdXY95ZATm9LeBYCgSN1uJ3o18S,MUSK / USDC,MUSK,USDC,2171211.81,271737.64,1.20900575,GeckoTerminal,https://www.geckoterminal.com/solana/pools/GeUkx21Vc6yg63YZ1BdXY95ZATm9LeBYCgSN1uJ3o18S,B,True,True,
Hdh5jVfUktswc5cZwR7ZDcATCQLpXKUnXqeb4eKxkSxq,NEAN/USDC,NEAN,USDC,1908565.95,65322.10,0.00038450,DexScreener,https://dexscreener.com/solana/Hdh5jVfUktswc5cZwR7ZDcATCQLpXKUnXqeb4eKxkSxq,B,True,True,
6qz7THwQvcjF3HyDGLuKaLBUk6EyJKeZXZMWLAeiwfjd,BP / USDC,BP,USDC,1893611.69,148481.33,0.26744899,GeckoTerminal,https://www.geckoterminal.com/solana/pools/6qz7THwQvcjF3HyDGLuKaLBUk6EyJKeZXZMWLAeiwfjd,B,True,True,
CnK82s8exdsK9nwqQ55kd9wcxoA22NwTchZJCBdu8LDa,three / SOL,three,SOL,1516862.70,358171.44,0.00669810,GeckoTerminal,https://www.geckoterminal.com/solana/pools/CnK82s8exdsK9nwqQ55kd9wcxoA22NwTchZJCBdu8LDa,B,True,True,
9bL8Pptpb8M2jEAb63EoarA6Po6Akarpha3JPzQfXGS3,GACHA / SOL,GACHA,SOL,1396908.45,81015.96,0.00124119,GeckoTerminal,https://www.geckoterminal.com/solana/pools/9bL8Pptpb8M2jEAb63EoarA6Po6Akarpha3JPzQfXGS3,B,True,True,
FoL5dFhV7XUootAbrqDdA72oXL8HExspLNRt1tuJNv53,KALSHI / USDC,KALSHI,USDC,1178306.73,27150.62,504.37465828,GeckoTerminal,https://www.geckoterminal.com/solana/pools/FoL5dFhV7XUootAbrqDdA72oXL8HExspLNRt1tuJNv53,B,True,True,
46CgAPEz8V2e9UL5PDa3JNWFW6sk7uFCj7TjdB3XbKD3,HYPE / SOL,HYPE,SOL,1130054.00,479988.80,72.92623339,GeckoTerminal,https://www.geckoterminal.com/solana/pools/46CgAPEz8V2e9UL5PDa3JNWFW6sk7uFCj7TjdB3XbKD3,B,True,True,
HRYEjwdo3bZ1TpXKWKcezqiwSV2Ywuh4LxMa2PzoCnG6,USDC / SOL,USDC,SOL,1026740.34,273147.15,1.00021188,GeckoTerminal,https://www.geckoterminal.com/solana/pools/HRYEjwdo3bZ1TpXKWKcezqiwSV2Ywuh4LxMa2PzoCnG6,B,True,True,
