pool_address,token_pair,bin_step,base_fee_bps,max_fee_bps,coverage_arrays_used,bins_decoded,bins_with_liquidity,quote_10u_success,quote_20u_success,price_impact_10u,price_impact_20u,fee_10u,fee_20u,quote_ready,invalid_reason
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,10,1000,5,280,86,true,true,728408,1456811,9227,18452,true,
ANCx141SujgVdbKz9NTEH8F38qWsnyyXsVju64aU3qLB,98sMhv…/EPjFWd…,20,20,1000,5,350,196,true,true,728635,1457105,18066,36138,true,
9SMp4yLKGtW9TnLimfVPkDARsyNSfJw43WMke4r7KoZj,pumpCm…/EPjFWd…,20,20,1000,5,350,188,true,true,16991,33950,18011,36141,true,
9ToMYnmEeYKc1AWYAFo8yjPKM1bt3vPhgw1U6qh9RxBd,A7bdiY…/EPjFWd…,20,20,1000,5,350,228,true,true,59667964,119335935,18002,36003,true,
81GpCm4d13y8TozYtThabuSCLQN2o3bbrvDogXFPn8sA,98sMhv…/So1111…,20,20,1000,5,350,181,true,true,80539473,161078807,139173,278346,true,
5hbf9JP8k5zdrZp9pokPypFQoBse5mGCmW6nqodurGcd,METvsv…/EPjFWd…,20,20,1000,5,350,114,true,true,1202052,2402492,18042,36155,true,
FhdW3Y6Ea6hXKbkGkt5YSAVtDNd5qJ8USevMaPyEr45S,3ZLekZ…/EPjFWd…,20,20,1000,5,350,211,true,true,27556,55112,18045,36090,true,
8ztFxjFPfVUtEf4SLSapcFj8GW2dxyUA9no2bLPq7H7V,Dz9mQ9…/So1111…,20,20,1000,5,350,235,true,true,103801900,207603801,139708,279416,true,
GeUkx21Vc6yg63YZ1BdXY95ZATm9LeBYCgSN1uJ3o18S,D4BPL1…/EPjFWd…,100,1,1000,5,210,71,true,true,12079881,24159762,900,1800,true,
6qz7THwQvcjF3HyDGLuKaLBUk6EyJKeZXZMWLAeiwfjd,BPxxfR…/EPjFWd…,50,25,1000,5,350,202,true,true,2713,5427,23301,46602,true,
CnK82s8exdsK9nwqQ55kd9wcxoA22NwTchZJCBdu8LDa,FeMbDo…/So1111…,80,100,1000,5,350,195,true,true,7433895,14867791,692308,1384616,true,
9bL8Pptpb8M2jEAb63EoarA6Po6Akarpha3JPzQfXGS3,DnnmrZ…/So1111…,100,100,1000,5,350,76,true,true,850368,1700736,21137,42273,true,
FoL5dFhV7XUootAbrqDdA72oXL8HExspLNRt1tuJNv53,PreLWG…/EPjFWd…,80,1,1000,5,210,48,true,true,5243888,10487777,800,1600,true,
7o3bfXjeDL6Wzuwk1VR8nvEwSJTA2hHJhBgUA95nFDDa,BPxxfR…/So1111…,20,20,1000,5,350,199,true,true,300083,600167,141270,282538,true,
8obGpjiUu7QTJHK58YHCoz5HxobmrVP2x5zpMZu3c4BT,TSPXcL…/EPjFWd…,80,1,1000,5,280,81,true,true,7372026,14744053,799,1597,true,
3Mt1bpU3fnSXyPEm66HKKXyQTpLWrwYziPLqwTqK4ZT7,oreoU2…/So1111…,20,20,1000,5,350,235,true,true,965777,1931554,138466,276932,true,
AsSyvUnbfaZJPRrNh3kUuvZTeHKoMVWEoHz86f4Q5D9x,METvsv…/So1111…,20,20,1000,5,350,190,true,true,132986830,265973663,138776,277551,true,
CGYxcqLiJEoYapZrU7uVGBGfEE15pXDV4mB9AQ8Fsuff,TKLSid…/EPjFWd…,80,1,1000,5,210,28,true,true,4910206,9820412,799,1597,true,
Cgnuirsk5dQ9Ka1Grnru7J8YW1sYncYUjiXvYxT7G4iZ,5UUH9R…/So1111…,20,20,1000,5,350,235,true,true,80540151,161080303,138472,276943,true,
EwUU8oiKTomjekU5eszctx3kneKJnKm5BJpn5sTT4CUf,Creiuh…/So1111…,80,10,1000,5,350,136,true,true,28156211,56312423,72555,145108,true,
8eDUNVrNUZ87SLYeihLTM7hJhckdAKqua6hPztuD57pX,FeMbDo…/So1111…,80,25,1000,5,350,86,true,true,7548770,15097541,18259,36516,true,
8pKt3mAE3KVYCLCGWBMKScxoZ4EfzKEReGudVbJZG45N,33eum8…/So1111…,25,25,1000,5,350,235,true,true,5008877,10017754,173142,346282,true,
9uTgLv3Ya7srLhXsUUEPJAMxeZ7NTEYpsH33tihVXgjG,FeMbDo…/So1111…,50,50,1000,5,280,165,true,true,7526657,15053314,355491,710981,true,
JCLQiP7t1uxHiZHPotpUoVvPFFE48UxpkXHsVJJJvUrJ,C8fU5G…/So1111…,80,1,1000,5,350,110,true,true,214852,429705,6924,13847,true,
Eqv1tJGkLFeH4giGy8vqKxF4NJBHtGR5cGmKG6cpVy4Z,jtojto…/EPjFWd…,25,25,1000,5,350,242,true,true,6184,12369,22573,45145,true,
HuPRxaBcjQYrHj6scpQxUa6QqJsS2iA1TXMEEuVWPhog,EPjFWd…/METvsv…,80,100,1000,5,280,107,true,true,1188853,2377707,90108,180216,true,
9Jhn8FhQo1h4XHqrzzb7iJhU1K8xuM81TtppixJscUp1,METvsv…/EPjFWd…,50,10,1000,5,210,94,true,true,1199442,2398873,9291,18581,true,
