pool_address,token_pair,bin_step,anchor_token,base_fee_bps,max_fee_bps,notional_usd,hold_window,hold_hours,scenario,daily_turnover,gross_fee_usd,il_lvr_cost_usd,total_cost_usd,net_ev_usd,net_ev_pct,quote_ready,real_fee_10u_usd,real_fee_20u_usd,confidence,heuristic,scope,invalid_reason
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,10,15m,0.25,zero_il_lvr,0.005,1e-06,0.0,0.156,-0.155999,-1.56,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,10,15m,0.25,optimistic,0.005,1e-06,0.000104,0.156,-0.156104,-1.561,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,10,15m,0.25,realistic,0.005,1e-06,0.000521,0.156,-0.15652,-1.5652,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,10,15m,0.25,conservative,0.005,1e-06,0.002083,0.156,-0.158083,-1.5808,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,10,30m,0.5,zero_il_lvr,0.005,1e-06,0.0,0.156,-0.155999,-1.56,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,10,30m,0.5,optimistic,0.005,1e-06,0.000208,0.156,-0.156207,-1.5621,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,10,30m,0.5,realistic,0.005,1e-06,0.001042,0.156,-0.157041,-1.5704,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,10,30m,0.5,conservative,0.005,1e-06,0.004167,0.156,-0.160166,-1.6017,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,10,1h,1,zero_il_lvr,0.005,2e-06,0.0,0.156,-0.155998,-1.56,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,10,1h,1,optimistic,0.005,2e-06,0.000417,0.156,-0.156415,-1.5641,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,10,1h,1,realistic,0.005,2e-06,0.002083,0.156,-0.158081,-1.5808,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,10,1h,1,conservative,0.005,2e-06,0.008333,0.156,-0.164331,-1.6433,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,10,2h,2,zero_il_lvr,0.005,4e-06,0.0,0.156,-0.155996,-1.56,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,10,2h,2,optimistic,0.005,4e-06,0.000833,0.156,-0.156829,-1.5683,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,10,2h,2,realistic,0.005,4e-06,0.004167,0.156,-0.160162,-1.6016,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,10,2h,2,conservative,0.005,4e-06,0.016667,0.156,-0.172662,-1.7266,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,10,6h,6,zero_il_lvr,0.005,1.3e-05,0.0,0.156,-0.155988,-1.5599,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,10,6h,6,optimistic,0.005,1.3e-05,0.0025,0.156,-0.158488,-1.5849,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,10,6h,6,realistic,0.005,1.3e-05,0.0125,0.156,-0.168488,-1.6849,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,10,6h,6,conservative,0.005,1.3e-05,0.05,0.156,-0.205987,-2.0599,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,10,24h,24,zero_il_lvr,0.005,5e-05,0.0,0.156,-0.15595,-1.5595,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,10,24h,24,optimistic,0.005,5e-05,0.01,0.156,-0.16595,-1.6595,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,10,24h,24,realistic,0.005,5e-05,0.05,0.156,-0.20595,-2.0595,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,10,24h,24,conservative,0.005,5e-05,0.2,0.156,-0.35595,-3.5595,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,10,7d,168,zero_il_lvr,0.005,0.00035,0.0,0.156,-0.15565,-1.5565,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,10,7d,168,optimistic,0.005,0.00035,0.07,0.156,-0.22565,-2.2565,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,10,7d,168,realistic,0.005,0.00035,0.35,0.156,-0.50565,-5.0565,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,10,7d,168,conservative,0.005,0.00035,1.4,0.156,-1.55565,-15.5565,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,20,15m,0.25,zero_il_lvr,0.005,1e-06,0.0,0.156,-0.155999,-0.78,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,20,15m,0.25,optimistic,0.005,1e-06,0.000208,0.156,-0.156207,-0.781,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,20,15m,0.25,realistic,0.005,1e-06,0.001042,0.156,-0.157041,-0.7852,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,20,15m,0.25,conservative,0.005,1e-06,0.004167,0.156,-0.160166,-0.8008,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,20,30m,0.5,zero_il_lvr,0.005,2e-06,0.0,0.156,-0.155998,-0.78,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,20,30m,0.5,optimistic,0.005,2e-06,0.000417,0.156,-0.156415,-0.7821,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,20,30m,0.5,realistic,0.005,2e-06,0.002083,0.156,-0.158081,-0.7904,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,20,30m,0.5,conservative,0.005,2e-06,0.008333,0.156,-0.164331,-0.8217,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,20,1h,1,zero_il_lvr,0.005,4e-06,0.0,0.156,-0.155996,-0.78,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,20,1h,1,optimistic,0.005,4e-06,0.000833,0.156,-0.156829,-0.7841,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,20,1h,1,realistic,0.005,4e-06,0.004167,0.156,-0.160162,-0.8008,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,20,1h,1,conservative,0.005,4e-06,0.016667,0.156,-0.172662,-0.8633,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,20,2h,2,zero_il_lvr,0.005,8e-06,0.0,0.156,-0.155992,-0.78,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
