chain,chain_id,rpc_url,protocol,factory,npm,token_a_symbol,token_b_symbol,fee_tier,pool_address,pool_exists,metadata_ready,quote_ready,tick_ready,gas_ready,discovery_confidence,invalid_reason
Base,8453,https://mainnet.base.org,Uniswap V3,0x33128a8fC17869897dcE68Ed694621f6FDfD,0x03a520b32C04BF3bEEf7BEb72E919cf822Ed34f1,WETH,USDC,100,0x0,False,False,False,False,True,0.0,"rpc_error: RuntimeError: eth_call err: {'code': -32602, 'message': 'Invalid params', 'data': 'invalid str"
Base,8453,https://mainnet.base.org,Uniswap V3,0x33128a8fC17869897dcE68Ed694621f6FDfD,0x03a520b32C04BF3bEEf7BEb72E919cf822Ed34f1,WETH,USDC,500,0x0,False,False,False,False,True,0.0,"rpc_error: RuntimeError: eth_call err: {'code': -32602, 'message': 'Invalid params', 'data': 'invalid str"
Base,8453,https://mainnet.base.org,Uniswap V3,0x33128a8fC17869897dcE68Ed694621f6FDfD,0x03a520b32C04BF3bEEf7BEb72E919cf822Ed34f1,WETH,USDC,3000,0x0,False,False,False,False,True,0.0,"rpc_error: RuntimeError: eth_call err: {'code': -32602, 'message': 'Invalid params', 'data': 'invalid str"
Base,8453,https://mainnet.base.org,Uniswap V3,0x33128a8fC17869897dcE68Ed694621f6FDfD,0x03a520b32C04BF3bEEf7BEb72E919cf822Ed34f1,WETH,USDC,10000,0x0,False,False,False,False,True,0.0,"rpc_error: RuntimeError: eth_call err: {'code': -32602, 'message': 'Invalid params', 'data': 'invalid str"
Base,8453,https://mainnet.base.org,Uniswap V3,0x33128a8fC17869897dcE68Ed694621f6FDfD,0x03a520b32C04BF3bEEf7BEb72E919cf822Ed34f1,WETH,USDT,100,0x0,False,False,False,False,True,0.0,"rpc_error: RuntimeError: eth_call err: {'code': -32602, 'message': 'Invalid params', 'data': 'invalid str"
Base,8453,https://mainnet.base.org,Uniswap V3,0x33128a8fC17869897dcE68Ed694621f6FDfD,0x03a520b32C04BF3bEEf7BEb72E919cf822Ed34f1,WETH,USDT,500,0x0,False,False,False,False,True,0.0,"rpc_error: RuntimeError: eth_call err: {'code': -32602, 'message': 'Invalid params', 'data': 'invalid str"
Base,8453,https://mainnet.base.org,Uniswap V3,0x33128a8fC17869897dcE68Ed694621f6FDfD,0x03a520b32C04BF3bEEf7BEb72E919cf822Ed34f1,WETH,USDT,3000,0x0,False,False,False,False,True,0.0,"rpc_error: RuntimeError: eth_call err: {'code': -32602, 'message': 'Invalid params', 'data': 'invalid str"
Base,8453,https://mainnet.base.org,Uniswap V3,0x33128a8fC17869897dcE68Ed694621f6FDfD,0x03a520b32C04BF3bEEf7BEb72E919cf822Ed34f1,WETH,USDT,10000,0x0,False,False,False,False,True,0.0,"rpc_error: RuntimeError: eth_call err: {'code': -32602, 'message': 'Invalid params', 'data': 'invalid str"
Base,8453,https://mainnet.base.org,Uniswap V3,0x33128a8fC17869897dcE68Ed694621f6FDfD,0x03a520b32C04BF3bEEf7BEb72E919cf822Ed34f1,WETH,DAI,100,0x0,False,False,False,False,True,0.0,"rpc_error: RuntimeError: eth_call err: {'code': -32602, 'message': 'Invalid params', 'data': 'invalid str"
Base,8453,https://mainnet.base.org,Uniswap V3,0x33128a8fC17869897dcE68Ed694621f6FDfD,0x03a520b32C04BF3bEEf7BEb72E919cf822Ed34f1,WETH,DAI,500,0x0,False,False,False,False,True,0.0,"rpc_error: RuntimeError: eth_call err: {'code': -32602, 'message': 'Invalid params', 'data': 'invalid str"
