chain,protocol,pool,pair,fee_tier,notional,fee_velocity_score,survival_score,cost_score,capacity_score,liquidity_score,data_confidence_score,wallet_availability_score,actual_probe_feasibility_score,notional_scalability_score,chain_risk_score,total_score,candidate_class
Base,PancakeSwap V3,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,100,10,0.0,0.0,0.0,1.0,0.5068,0.8,1.0,0.7,1.0,0.8,0.4117,needs_data
Base,PancakeSwap V3,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,100,20,0.0,0.0,0.0,1.0,0.5068,0.8,1.0,0.7,1.0,0.8,0.4117,needs_data
Base,PancakeSwap V3,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,100,100,0.0,0.0,0.0,1.0,0.5068,0.8,1.0,0.7,1.0,0.8,0.4117,needs_data
Base,PancakeSwap V3,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,100,500,0.0,0.0,0.0,1.0,0.5068,0.8,1.0,0.7,1.0,0.8,0.4117,needs_data
Base,PancakeSwap V3,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,100,1000,0.0,0.0,0.0,1.0,0.5068,0.8,1.0,0.7,1.0,0.8,0.4117,needs_data
Base,PancakeSwap V3,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,100,2000,0.0,0.0,0.0,1.0,0.5068,0.8,1.0,0.7,1.0,0.8,0.4117,needs_data
Base,PancakeSwap V3,0xb775272e537cc670c65dc852908ad47015244eaf,WETH/USDC,500,10,0.4523,0.0,0.9857,1.0,0.4704,0.8,1.0,0.7,1.0,0.8,0.6237,watch
Base,PancakeSwap V3,0xb775272e537cc670c65dc852908ad47015244eaf,WETH/USDC,500,20,0.0,0.0,0.0,1.0,0.4704,0.8,1.0,0.7,1.0,0.8,0.408,needs_data
Base,PancakeSwap V3,0xb775272e537cc670c65dc852908ad47015244eaf,WETH/USDC,500,100,0.0,0.0,0.0,1.0,0.4704,0.8,1.0,0.7,1.0,0.8,0.408,needs_data
Base,PancakeSwap V3,0xb775272e537cc670c65dc852908ad47015244eaf,WETH/USDC,500,500,0.0,0.0,0.0,1.0,0.4704,0.8,1.0,0.7,1.0,0.8,0.408,needs_data
