chain,chain_id,protocol,pool,token_a_symbol,token_b_symbol,fee_tier,state_ready,quote_ready,tick_ready,fee_velocity_ready,cost_ready,quote_success_rate,swap_log_count,current_tick,liquidity,gas_cost_proxy,capacity_10,capacity_20,capacity_100,capacity_500,capacity_1000,capacity_2000,confidence,probe_error
Base,8453,PancakeSwap V3,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH,USDC,100,True,False,True,False,True,0.0,0,115792089237316195423570985008687907853269984665640564039457584007913112661676,400569297119062594,0.005691524265,1.0,1.0,1.0,1.0,1.0,1.0,0.8,
Base,8453,PancakeSwap V3,0xb775272e537cc670c65dc852908ad47015244eaf,WETH,USDC,500,True,False,True,False,True,0.0,0,115792089237316195423570985008687907853269984665640564039457584007913112661671,113652960927088781,0.00567,1.0,1.0,1.0,1.0,1.0,1.0,0.8,
Base,8453,PancakeSwap V3,0xe9d76696f8a35e2e2520e3125875c3af23f1e69c,WETH,USDC,2500,True,False,True,False,True,0.0,0,115792089237316195423570985008687907853269984665640564039457584007913112661692,7199086168979100,0.00567,1.0,1.0,1.0,1.0,1.0,1.0,0.8,
Base,8453,PancakeSwap V3,0x118efef7db0712f03e067122b8f89e7a4b79262f,WETH,USDC,10000,True,False,True,False,True,0.0,0,115792089237316195423570985008687907853269984665640564039457584007913112661639,6800887275633,0.00567,1.0,1.0,1.0,1.0,1.0,1.0,0.8,
Base,8453,PancakeSwap V3,0x526d54cd4fac2e6b2ddcb6bc98b9292603061f85,WETH,USDT,100,True,False,True,False,True,0.0,0,115792089237316195423570985008687907853269984665640564039457584007913112661709,392049761829397,0.00567,1.0,1.0,1.0,1.0,1.0,1.0,0.8,
Base,8453,PancakeSwap V3,0xeed856fc13455fdd285f7431e5f246cc1f00b51e,WETH,USDT,500,True,False,True,False,True,0.0,0,115792089237316195423570985008687907853269984665640564039457584007913112661933,17334243709,0.00567,1.0,1.0,1.0,0.34668487418,0.17334243709,0.086671218545,0.8,
Base,8453,PancakeSwap V3,0xae601a5d46c803dcac8446e9dfb1438c1cd43195,WETH,USDT,2500,False,False,True,False,True,0.0,0,115792089237316195423570985008687907853269984665640564039457584007913112665457,0,0.00567,0.0,0.0,0.0,0.0,0.0,0.0,0.6,
Base,8453,PancakeSwap V3,0x2d08491a464f66e3bd2c729e7496fbeb68ef5be0,WETH,USDT,10000,False,False,True,False,True,0.0,0,115792089237316195423570985008687907853269984665640564039457584007913112667567,0,0.00567,0.0,0.0,0.0,0.0,0.0,0.0,0.6,
Base,8453,PancakeSwap V3,0x88476f48939c802ea75eed438a3576efc202b5dd,WETH,DAI,100,True,False,True,False,True,0.0,0,75331,1002215276109897164,0.00567,1.0,1.0,1.0,1.0,1.0,1.0,0.8,
Base,8453,PancakeSwap V3,0x9bfa331679b307cf358438f45f6413a205fd3ebf,WETH,DAI,500,True,False,True,False,True,0.0,0,75312,15301720591106830729,0.00567,1.0,1.0,1.0,1.0,1.0,1.0,0.8,
Base,8453,PancakeSwap V3,0xb94b22332abf5f89877a14cc88f2abc48c34b3df,cbBTC,USDC,100,True,False,True,False,True,0.0,0,115792089237316195423570985008687907853269984665640564039457584007913112797663,438525795777,0.00567,1.0,1.0,1.0,1.0,1.0,1.0,0.8,
Base,8453,PancakeSwap V3,0x26e263efdc91f0d3279e2ec2bd58a7ca5c2fce62,cbBTC,USDC,500,True,False,True,False,True,0.0,0,115792089237316195423570985008687907853269984665640564039457584007913112797656,25807926863,0.00567,1.0,1.0,1.0,0.51615853726,0.25807926863,0.129039634315,0.8,
Base,8453,PancakeSwap V3,0x748bb91fc5f4200302d9a79185bc161260a1b461,cbBTC,USDC,2500,True,False,True,False,True,0.0,0,115792089237316195423570985008687907853269984665640564039457584007913112797662,16072039078,0.00567,1.0,1.0,1.0,0.32144078156,0.16072039078,0.08036019539,0.8,
Base,8453,PancakeSwap V3,0xbd65764c8eb1b8858d323066f488b73f6fe22dc9,cbBTC,USDC,10000,False,False,True,False,True,0.0,0,115792089237316195423570985008687907853269984665640564039457584007913112795034,0,0.00567,0.0,0.0,0.0,0.0,0.0,0.0,0.6,
Base,8453,PancakeSwap V3,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC,WETH,100,True,False,True,False,True,0.0,0,115792089237316195423570985008687907853269984665640564039457584007913112596635,91225550825298486,0.00567,1.0,1.0,1.0,1.0,1.0,1.0,0.8,
Base,8453,PancakeSwap V3,0xd974d59e30054cf1abeded0c9947b0d8baf90029,cbBTC,WETH,500,True,False,True,False,True,0.0,0,115792089237316195423570985008687907853269984665640564039457584007913112596639,7743459742628184,0.00567,1.0,1.0,1.0,1.0,1.0,1.0,0.8,
Base,8453,PancakeSwap V3,0x5b3613ef9a535b48e82e2800acb77053dfec93b1,cbBTC,WETH,2500,True,False,True,False,True,0.0,0,115792089237316195423570985008687907853269984665640564039457584007913112596626,4972638793050808,0.00567,1.0,1.0,1.0,1.0,1.0,1.0,0.8,
Base,8453,PancakeSwap V3,0xa97c08bc49c246e583a3557f2922daa9e5d1b404,cbBTC,WETH,10000,False,False,True,False,True,0.0,0,115792089237316195423570985008687907853269984665640564039457584007913112597080,0,0.00567,0.0,0.0,0.0,0.0,0.0,0.0,0.6,
Base,8453,PancakeSwap V3,0x5f07bb9fee6062e9d09a52e6d587c64bad6ba706,USDC,USDT,100,True,False,True,False,True,0.0,0,20,28031565033073,0.00567,1.0,1.0,1.0,1.0,1.0,1.0,0.8,
Base,8453,PancakeSwap V3,0x2db0fff9f1afcef3a77e673dfba9883c036ebd53,USDC,USDT,500,True,False,True,False,True,0.0,0,19,20065384548,0.00567,1.0,1.0,1.0,0.40130769096,0.20065384548,0.10032692274,0.8,
Base,8453,PancakeSwap V3,0x0bfff3a8f90fbdd39a5ddd1ee9eb2f9a11e79b86,USDC,USDT,10000,True,False,True,False,True,0.0,0,25,10315784522,0.00567,1.0,1.0,1.0,0.20631569044,0.10315784522,0.05157892261,0.8,
BSC,56,PancakeSwap V3,0x172fcd41e0913e95784454622d1c3724f546f849,WBNB,USDT,100,True,False,True,False,True,0.0,0,115792089237316195423570985008687907853269984665640564039457584007913112798029,4036749506481932915071535,0.04724999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.8,
BSC,56,PancakeSwap V3,0x36696169c63e42cd08ce11f5deebbcebae652050,WBNB,USDT,500,True,False,True,False,True,0.0,0,115792089237316195423570985008687907853269984665640564039457584007913112798030,2001749828291674458510123,0.04724999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.8,
BSC,56,PancakeSwap V3,0x1401ff943d08a7e098328c1d3a9d388923b115d2,WBNB,USDT,2500,True,False,True,False,True,0.0,0,115792089237316195423570985008687907853269984665640564039457584007913112798043,5294882308919291075396,0.04724999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.8,
BSC,56,PancakeSwap V3,0x6805e0e5333c5c3accf2930be4734e2b98f4ce06,WBNB,USDT,10000,True,False,True,False,True,0.0,0,115792089237316195423570985008687907853269984665640564039457584007913112798127,955572005244098598854,0.04724999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.8,
BSC,56,PancakeSwap V3,0xf2688fb5b81049dfb7703ada5e770543770612c4,WBNB,USDC,100,True,False,True,False,True,0.0,0,115792089237316195423570985008687907853269984665640564039457584007913112798041,390595013378844638649005,0.04724999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.8,
BSC,56,PancakeSwap V3,0x81a9b5f18179ce2bf8f001b8a634db80771f1824,WBNB,USDC,500,True,False,True,False,True,0.0,0,115792089237316195423570985008687907853269984665640564039457584007913112798039,26259463190994017782570,0.04724999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.8,
BSC,56,PancakeSwap V3,0xc721deccd986d54b39e8c29428a1f06155c3671e,WBNB,USDC,2500,True,False,True,False,True,0.0,0,115792089237316195423570985008687907853269984665640564039457584007913112798063,747166965667315067579,0.04724999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.8,
BSC,56,PancakeSwap V3,0x18c5affa481e7edbf37405ade553827d6387899f,WBNB,USDC,10000,True,False,True,False,True,0.0,0,115792089237316195423570985008687907853269984665640564039457584007913112798120,5853125122844746009,0.04724999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.8,
