chain,protocol,pool,pair,fee_tier,notional,hold_window,scenario,expected_fee_usd,il_lvr_proxy_usd,entry_cost_usd,exit_cost_usd,gas_cost_usd,slippage_cost_usd,failure_buffer_usd,net_ev_proxy_usd,net_ev_proxy_pct,survival_pass,out_of_range_risk,confidence
Base,PancakeSwap V3,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,100,10,15m,zero_il_lvr,5.1e-05,0.0,0.035692,0.035692,0.011383,0.0,0.000569,-0.071901,-0.719,no,see_stage_G,0.8
Base,PancakeSwap V3,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,100,10,15m,optimistic,5.1e-05,3e-06,0.035692,0.035692,0.011383,0.0,0.000569,-0.071903,-0.719,no,see_stage_G,0.8
Base,PancakeSwap V3,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,100,10,15m,realistic,5.1e-05,1.5e-05,0.035692,0.035692,0.011383,0.0,0.000569,-0.071916,-0.7192,no,see_stage_G,0.8
Base,PancakeSwap V3,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,100,10,15m,conservative,5.1e-05,4.1e-05,0.035692,0.035692,0.011383,0.0,0.000569,-0.071942,-0.7194,no,see_stage_G,0.8
Base,PancakeSwap V3,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,100,10,15m,stress,5.1e-05,0.000103,0.035692,0.035692,0.011383,0.0,0.000569,-0.072004,-0.72,no,see_stage_G,0.8
Base,PancakeSwap V3,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,100,10,30m,zero_il_lvr,0.000103,0.0,0.035692,0.035692,0.011383,0.0,0.000569,-0.071849,-0.7185,no,see_stage_G,0.8
Base,PancakeSwap V3,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,100,10,30m,optimistic,0.000103,5e-06,0.035692,0.035692,0.011383,0.0,0.000569,-0.071855,-0.7185,no,see_stage_G,0.8
Base,PancakeSwap V3,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,100,10,30m,realistic,0.000103,3.1e-05,0.035692,0.035692,0.011383,0.0,0.000569,-0.07188,-0.7188,no,see_stage_G,0.8
Base,PancakeSwap V3,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,100,10,30m,conservative,0.000103,8.2e-05,0.035692,0.035692,0.011383,0.0,0.000569,-0.071932,-0.7193,no,see_stage_G,0.8
Base,PancakeSwap V3,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,100,10,30m,stress,0.000103,0.000205,0.035692,0.035692,0.011383,0.0,0.000569,-0.072055,-0.7205,no,see_stage_G,0.8
Base,PancakeSwap V3,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,100,10,1h,zero_il_lvr,0.000205,0.0,0.035692,0.035692,0.011383,0.0,0.000569,-0.071747,-0.7175,no,see_stage_G,0.8
Base,PancakeSwap V3,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,100,10,1h,optimistic,0.000205,1e-05,0.035692,0.035692,0.011383,0.0,0.000569,-0.071757,-0.7176,no,see_stage_G,0.8
Base,PancakeSwap V3,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,100,10,1h,realistic,0.000205,6.2e-05,0.035692,0.035692,0.011383,0.0,0.000569,-0.071808,-0.7181,no,see_stage_G,0.8
Base,PancakeSwap V3,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,100,10,1h,conservative,0.000205,0.000164,0.035692,0.035692,0.011383,0.0,0.000569,-0.071911,-0.7191,no,see_stage_G,0.8
Base,PancakeSwap V3,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,100,10,1h,stress,0.000205,0.000411,0.035692,0.035692,0.011383,0.0,0.000569,-0.072158,-0.7216,no,see_stage_G,0.8
Base,PancakeSwap V3,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,100,10,2h,zero_il_lvr,0.000411,0.0,0.035692,0.035692,0.011383,0.0,0.000569,-0.071541,-0.7154,no,see_stage_G,0.8
Base,PancakeSwap V3,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,100,10,2h,optimistic,0.000411,2.1e-05,0.035692,0.035692,0.011383,0.0,0.000569,-0.071562,-0.7156,no,see_stage_G,0.8
Base,PancakeSwap V3,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,100,10,2h,realistic,0.000411,0.000123,0.035692,0.035692,0.011383,0.0,0.000569,-0.071665,-0.7166,no,see_stage_G,0.8
Base,PancakeSwap V3,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,100,10,2h,conservative,0.000411,0.000329,0.035692,0.035692,0.011383,0.0,0.000569,-0.07187,-0.7187,no,see_stage_G,0.8
Base,PancakeSwap V3,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,100,10,2h,stress,0.000411,0.000822,0.035692,0.035692,0.011383,0.0,0.000569,-0.072363,-0.7236,no,see_stage_G,0.8
Base,PancakeSwap V3,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,100,10,6h,zero_il_lvr,0.001233,0.0,0.035692,0.035692,0.011383,0.0,0.000569,-0.070719,-0.7072,no,see_stage_G,0.8
Base,PancakeSwap V3,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,100,10,6h,optimistic,0.001233,6.2e-05,0.035692,0.035692,0.011383,0.0,0.000569,-0.070781,-0.7078,no,see_stage_G,0.8
