chain,protocol,pool,pair,fee_tier,hold_window,tick_range_width,historical_tick_move_p50,historical_tick_move_p90,historical_tick_move_p95,out_of_range_risk,survival_probability_proxy,recommended_range_width,risk_bucket
Base,PancakeSwap V3,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,100,15m,400,78,193,230,0.0884,0.9116,400,low
Base,PancakeSwap V3,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,100,30m,400,111,273,325,0.2283,0.7717,800,medium
Base,PancakeSwap V3,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,100,1h,400,157,387,460,0.3942,0.6058,800,medium
Base,PancakeSwap V3,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,100,2h,400,222,547,650,0.5469,0.4531,800,high
Base,PancakeSwap V3,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,100,6h,400,385,948,1127,0.728,0.272,800,high
Base,PancakeSwap V3,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,100,12h,400,544,1341,1593,0.8057,0.1943,800,high
Base,PancakeSwap V3,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,100,24h,400,770,1897,2254,0.8619,0.1381,800,high
Base,PancakeSwap V3,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,100,3d,400,1334,3286,3904,0.92,0.08,800,high
Base,PancakeSwap V3,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,100,7d,400,2038,5020,5963,0.9476,0.0524,800,high
Base,PancakeSwap V3,0xb775272e537cc670c65dc852908ad47015244eaf,WETH/USDC,500,15m,400,78,193,230,0.0884,0.9116,400,low
Base,PancakeSwap V3,0xb775272e537cc670c65dc852908ad47015244eaf,WETH/USDC,500,30m,400,111,273,325,0.2283,0.7717,800,medium
Base,PancakeSwap V3,0xb775272e537cc670c65dc852908ad47015244eaf,WETH/USDC,500,1h,400,157,387,460,0.3942,0.6058,800,medium
Base,PancakeSwap V3,0xb775272e537cc670c65dc852908ad47015244eaf,WETH/USDC,500,2h,400,222,547,650,0.5469,0.4531,800,high
Base,PancakeSwap V3,0xb775272e537cc670c65dc852908ad47015244eaf,WETH/USDC,500,6h,400,385,948,1127,0.728,0.272,800,high
Base,PancakeSwap V3,0xb775272e537cc670c65dc852908ad47015244eaf,WETH/USDC,500,12h,400,544,1341,1593,0.8057,0.1943,800,high
Base,PancakeSwap V3,0xb775272e537cc670c65dc852908ad47015244eaf,WETH/USDC,500,24h,400,770,1897,2254,0.8619,0.1381,800,high
Base,PancakeSwap V3,0xb775272e537cc670c65dc852908ad47015244eaf,WETH/USDC,500,3d,400,1334,3286,3904,0.92,0.08,800,high
Base,PancakeSwap V3,0xb775272e537cc670c65dc852908ad47015244eaf,WETH/USDC,500,7d,400,2038,5020,5963,0.9476,0.0524,800,high
Base,PancakeSwap V3,0xe9d76696f8a35e2e2520e3125875c3af23f1e69c,WETH/USDC,2500,15m,400,78,193,230,0.0884,0.9116,400,low
Base,PancakeSwap V3,0xe9d76696f8a35e2e2520e3125875c3af23f1e69c,WETH/USDC,2500,30m,400,111,273,325,0.2283,0.7717,800,medium
Base,PancakeSwap V3,0xe9d76696f8a35e2e2520e3125875c3af23f1e69c,WETH/USDC,2500,1h,400,157,387,460,0.3942,0.6058,800,medium
Base,PancakeSwap V3,0xe9d76696f8a35e2e2520e3125875c3af23f1e69c,WETH/USDC,2500,2h,400,222,547,650,0.5469,0.4531,800,high
Base,PancakeSwap V3,0xe9d76696f8a35e2e2520e3125875c3af23f1e69c,WETH/USDC,2500,6h,400,385,948,1127,0.728,0.272,800,high
Base,PancakeSwap V3,0xe9d76696f8a35e2e2520e3125875c3af23f1e69c,WETH/USDC,2500,12h,400,544,1341,1593,0.8057,0.1943,800,high
Base,PancakeSwap V3,0xe9d76696f8a35e2e2520e3125875c3af23f1e69c,WETH/USDC,2500,24h,400,770,1897,2254,0.8619,0.1381,800,high
Base,PancakeSwap V3,0xe9d76696f8a35e2e2520e3125875c3af23f1e69c,WETH/USDC,2500,3d,400,1334,3286,3904,0.92,0.08,800,high
Base,PancakeSwap V3,0xe9d76696f8a35e2e2520e3125875c3af23f1e69c,WETH/USDC,2500,7d,400,2038,5020,5963,0.9476,0.0524,800,high
Base,PancakeSwap V3,0x118efef7db0712f03e067122b8f89e7a4b79262f,WETH/USDC,10000,15m,400,78,193,230,0.0884,0.9116,400,low
Base,PancakeSwap V3,0x118efef7db0712f03e067122b8f89e7a4b79262f,WETH/USDC,10000,30m,400,111,273,325,0.2283,0.7717,800,medium
Base,PancakeSwap V3,0x118efef7db0712f03e067122b8f89e7a4b79262f,WETH/USDC,10000,1h,400,157,387,460,0.3942,0.6058,800,medium
Base,PancakeSwap V3,0x118efef7db0712f03e067122b8f89e7a4b79262f,WETH/USDC,10000,2h,400,222,547,650,0.5469,0.4531,800,high
Base,PancakeSwap V3,0x118efef7db0712f03e067122b8f89e7a4b79262f,WETH/USDC,10000,6h,400,385,948,1127,0.728,0.272,800,high
Base,PancakeSwap V3,0x118efef7db0712f03e067122b8f89e7a4b79262f,WETH/USDC,10000,12h,400,544,1341,1593,0.8057,0.1943,800,high
Base,PancakeSwap V3,0x118efef7db0712f03e067122b8f89e7a4b79262f,WETH/USDC,10000,24h,400,770,1897,2254,0.8619,0.1381,800,high
