pool_address,name,base_symbol,quote_symbol,tick_spacing,fee_rate_bps,tvl_usd,vol24h_usd,source_type,source_url,source_confidence,selected_for_chain_verify
Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,SOL/USDC,SOL,USDC,4,4,32526289.161982324,230667978.94491598,OrcaOfficial,https://www.orca.so/pools/Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,A,True
C9U2Ksk6KKWvLEeo5yUQ7Xu46X7NzeBJtd9PBfuXaUSM,SOL/Fartcoin ,SOL,Fartcoin ,16,16,3407153.6208563223,51209591.37803372,OrcaOfficial,https://www.orca.so/pools/C9U2Ksk6KKWvLEeo5yUQ7Xu46X7NzeBJtd9PBfuXaUSM,A,True
HxA6SKW5qA4o12fjVgTpXdq2YnZ5Zv1s7SB4FFomsyLM,cbBTC/USDC,cbBTC,USDC,4,4,5809601.222246253,21164476.251783185,OrcaOfficial,https://www.orca.so/pools/HxA6SKW5qA4o12fjVgTpXdq2YnZ5Zv1s7SB4FFomsyLM,A,True
Hp53XEtt4S8SvPCXarsLSdGfZBuUr5mMmZmX2DRNXQKp,SOL/JitoSOL,SOL,JitoSOL,1,1,31439173.852664158,20121510.233097326,OrcaOfficial,https://www.orca.so/pools/Hp53XEtt4S8SvPCXarsLSdGfZBuUr5mMmZmX2DRNXQKp,A,True
B5EwJVDuAauzUEEdwvbuXzbFFgEYnUqqS37TUM1c4PQA,SOL/WBTC,SOL,WBTC,8,5,5319196.54760222,19329592.899051912,OrcaOfficial,https://www.orca.so/pools/B5EwJVDuAauzUEEdwvbuXzbFFgEYnUqqS37TUM1c4PQA,A,True
6NUiVmsNjsi4AfsMsEiaezsaV9N4N1ZrD4jEnuWNRvyb,JLP/USDC,JLP,USDC,2,2,10178145.560049431,17217155.08553738,OrcaOfficial,https://www.orca.so/pools/6NUiVmsNjsi4AfsMsEiaezsaV9N4N1ZrD4jEnuWNRvyb,A,True
CeaZcxBNLpJWtxzt58qQmfMBtJY8pQLvursXTJYGQpbN,SOL/cbBTC,SOL,cbBTC,16,16,10487327.11186056,16287492.073426703,OrcaOfficial,https://www.orca.so/pools/CeaZcxBNLpJWtxzt58qQmfMBtJY8pQLvursXTJYGQpbN,A,True
HktfL7iwGKT5QHjywQkcDnZXScoh811k7akrMZJkCcEF,SOL/whETH,SOL,whETH,8,5,4055881.0812425776,15673424.335046232,OrcaOfficial,https://www.orca.so/pools/HktfL7iwGKT5QHjywQkcDnZXScoh811k7akrMZJkCcEF,A,True
6a3m2EgFFKfsFuQtP4LJJXPcAe3TQYXNyHUjjZpUxYgd,SOL/JLP,SOL,JLP,4,4,3709271.4990743455,13440801.545096017,OrcaOfficial,https://www.orca.so/pools/6a3m2EgFFKfsFuQtP4LJJXPcAe3TQYXNyHUjjZpUxYgd,A,True
C1MgLojNLWBKADvu9BHdtgzz1oZX4dZ5zGdGcgvvW8Wz,JUP/SOL,JUP,SOL,8,5,2722445.724857478,11183273.780883193,OrcaOfficial,https://www.orca.so/pools/C1MgLojNLWBKADvu9BHdtgzz1oZX4dZ5zGdGcgvvW8Wz,A,True
DtYKbQELgMZ3ihFUrCcCs9gy4djcUuhwgR7UpxVpP2Tg,SOL/JupSOL,SOL,JupSOL,1,1,1699349.9973705995,7007621.686210161,OrcaOfficial,https://www.orca.so/pools/DtYKbQELgMZ3ihFUrCcCs9gy4djcUuhwgR7UpxVpP2Tg,A,True
