pool_address,notional_usd,token_in,token_out,amount_in_raw,quote_success,amount_out_raw,fee,fee_rate,quote_method,confidence,invalid_reason
Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,10,10000000,So11111111111111111111111111111111111111112,10000000,true,140418042,4000,400,orca_swapInstructions_quote_only,0.85,
Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,20,20000000,So11111111111111111111111111111111111111112,20000000,true,280836050,8000,400,orca_swapInstructions_quote_only,0.85,
Hp53XEtt4S8SvPCXarsLSdGfZBuUr5mMmZmX2DRNXQKp,10,76923076,So11111111111111111111111111111111111111112,76923076,true,59995260,7693,100,orca_swapInstructions_quote_only,0.85,
Hp53XEtt4S8SvPCXarsLSdGfZBuUr5mMmZmX2DRNXQKp,20,153846153,So11111111111111111111111111111111111111112,153846153,true,119990523,15385,100,orca_swapInstructions_quote_only,0.85,
C9U2Ksk6KKWvLEeo5yUQ7Xu46X7NzeBJtd9PBfuXaUSM,10,76923076,So11111111111111111111111111111111111111112,76923076,true,39052791,123077,1600,orca_swapInstructions_quote_only,0.85,
C9U2Ksk6KKWvLEeo5yUQ7Xu46X7NzeBJtd9PBfuXaUSM,20,153846153,So11111111111111111111111111111111111111112,153846153,true,78105372,246154,1600,orca_swapInstructions_quote_only,0.85,
6a3m2EgFFKfsFuQtP4LJJXPcAe3TQYXNyHUjjZpUxYgd,10,76923076,So11111111111111111111111111111111111111112,76923076,true,1583233,30770,400,orca_swapInstructions_quote_only,0.85,
6a3m2EgFFKfsFuQtP4LJJXPcAe3TQYXNyHUjjZpUxYgd,20,153846153,So11111111111111111111111111111111111111112,153846153,true,3166464,61539,400,orca_swapInstructions_quote_only,0.85,
C1MgLojNLWBKADvu9BHdtgzz1oZX4dZ5zGdGcgvvW8Wz,10,76923076,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,76923076,true,29400137,38462,500,orca_swapInstructions_quote_only,0.85,
C1MgLojNLWBKADvu9BHdtgzz1oZX4dZ5zGdGcgvvW8Wz,20,153846153,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,153846153,true,58799673,76924,500,orca_swapInstructions_quote_only,0.85,
