pool_address,token_a,token_b,token_a_decimals,token_b_decimals,tick_spacing,current_tick,sqrt_price,liquidity,fee_rate,fee_rate_bps,protocol_fee_rate,reward_infos_count,sdk_decode_success,confidence,invalid_reason
Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,9,6,4,-26485,4907251507298514791,285658615383438,400,4,1300,3,true,0.92,
Hp53XEtt4S8SvPCXarsLSdGfZBuUr5mMmZmX2DRNXQKp,So11111111111111111111111111111111111111112,J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,9,9,1,-2485,16292030763234996161,58591228954803007,100,1,1300,3,true,0.92,
C9U2Ksk6KKWvLEeo5yUQ7Xu46X7NzeBJtd9PBfuXaUSM,So11111111111111111111111111111111111111112,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,9,6,16,-6722,13181723351822661651,20041541813498,1600,16,1300,3,true,0.92,
6a3m2EgFFKfsFuQtP4LJJXPcAe3TQYXNyHUjjZpUxYgd,So11111111111111111111111111111111111111112,27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,9,6,4,-38848,2644872571139979979,11365183711840,400,4,1300,3,true,0.92,
C1MgLojNLWBKADvu9BHdtgzz1oZX4dZ5zGdGcgvvW8Wz,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,So11111111111111111111111111111111111111112,6,9,8,9627,29851396386692372932,4590398234895,500,5,1300,3,true,0.92,
6NUiVmsNjsi4AfsMsEiaezsaV9N4N1ZrD4jEnuWNRvyb,27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6,6,2,12362,34226325411280023147,50367569979,200,2,1300,3,true,0.92,
B5EwJVDuAauzUEEdwvbuXzbFFgEYnUqqS37TUM1c4PQA,So11111111111111111111111111111111111111112,3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,9,8,8,-91035,194635200517811847,1745958615662,500,5,1300,3,true,0.92,
CeaZcxBNLpJWtxzt58qQmfMBtJY8pQLvursXTJYGQpbN,So11111111111111111111111111111111111111112,cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,9,8,16,-91068,194316895822065135,17066650856953,1600,16,1300,3,true,0.92,
HxA6SKW5qA4o12fjVgTpXdq2YnZ5Zv1s7SB4FFomsyLM,cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,8,6,4,64568,465510557946500212785,1119017616041,400,4,1300,3,true,0.92,
DtYKbQELgMZ3ihFUrCcCs9gy4djcUuhwgR7UpxVpP2Tg,So11111111111111111111111111111111111111112,jupSoLaHXQiZZTSfEWMTRRgpnyFm8f6sZdosWBjx93v,9,9,1,-1720,16926818026149625025,488328711767158,100,1,1300,3,true,0.92,
DxD41srN8Xk9QfYjdNXF9tTnP6qQxeF2bZF8s1eN62Pe,So11111111111111111111111111111111111111112,5oVNBeEEQvYi1cX3ir8Dx5n1P7pdxydbGF2X4TxVusJm,9,9,1,-3545,15451058361817239161,541424423567,100,1,1300,3,true,0.92,
HktfL7iwGKT5QHjywQkcDnZXScoh811k7akrMZJkCcEF,So11111111111111111111111111111111111111112,7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,9,8,8,-55317,1160913083733165765,58444676133832,500,5,1300,3,true,0.92,
FpCMFDFGYotvufJ7HrFHsWEiiQCGbkLCtwHiDnh7o28Q,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,9,6,2,-26485,4907443621363255982,1385902893918,200,2,1300,3,true,0.92,
9tXiuRRw7kbejLhZXtxDxYs2REe43uH2e7k1kocgdM9B,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6,6,1,0,18447538533430735312,15134148007048085,100,1,1300,3,true,0.92,
4fuUiYxTQ6QCrdSq9ouBYcTM7bqSwYTSyLueGZLTy4T4,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,6,6,1,8,18454540374160870458,1711971858766594,100,1,1300,3,true,0.92,
55BrDTCLWayM16GwrMEQU57o4PTm6ceF9wavSdNZcEiy,3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,8,6,8,64545,464985689319960628029,9476956167,500,5,1300,3,true,0.92,
44W73kGYQgXCTNkGxUmHv8DDBPCxojBcX49uuKmbFc9U,So11111111111111111111111111111111111111112,HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,9,9,16,118312,6837757900776541305070,1340765929497,1600,16,1300,3,true,0.92,
3ndjN1nJVUKGrJBc1hhVpER6kWTZKHdyDrPyCJyX3CXK,KMNo3nJsBXfcpJTVhZcXLW7RmTwTt4GVFE7suUBo9sS,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6,6,1,-41223,2348652531176277667,16866044123,100,1,1300,3,true,0.92,
4v8ufj8Hj7UvFgtofQJAtzUud5xomwZfEqfCTHZ4wM72,cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,8,8,1,21,18466932530877977923,3993933953383,100,1,1300,3,true,0.92,
68soqftZg4HL1Dcis5hMgkLKU9qyC8qbn5JzLhrxhgi9,9zNQRsGLjNKwCUU5Gq5LR8beUCPzQMVMqKAi3SSZh54u,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,6,6,1,-3,18444527481926560471,469296561010,100,1,1300,3,true,0.92,
AHTTzwf3GmVMJdxWM8v2MSxyjZj8rQR6hyAC3g9477Yj,So11111111111111111111111111111111111111112,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,9,9,8,72846,704166903050301461796,14134338477350,500,5,1300,3,true,0.92,
5hWJUNTtEtKmKgDXpthJXXRRmJrz5vJ7uJzrUNVdrwLg,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,6,9,8,24002,61248975713623088141,2560884628960,500,5,1300,3,true,0.92,
D6NdKrKNQPmRZCCnG1GqXtF7MMoHB7qR6GU5TkG59Qz1,So11111111111111111111111111111111111111112,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,9,6,4,-9162,11667774155228306128,1058472590436,400,4,1300,3,true,0.92,
G2FiE1yn9N9ZJx5e1E2LxxMnHvb1H3hCuHLPfKJ98smA,jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL,J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,9,9,64,-49504,1552452038147682451,168883753700214,3000,30,1300,3,true,0.92,
FwewVm8u6tFPGewAyHmWAqad9hmF7mvqxK4mJ7iNqqGC,So11111111111111111111111111111111111111112,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,9,6,2,-26477,4909205253445892375,297922830197,200,2,1300,3,true,0.92,
7rCWunLK7a2uLYog5e79Nxz5gfXptJaotjBuqv29JKz,27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,6,8,8,-52192,1357251037812957769,572820216,500,5,1300,3,true,0.92,
AxqAWNZqozhTn2pkDPgpf5kc5DeBuhLKKNWnt3dLrxdi,USDSwr9ApdHk5bvJKMjzff41FfuX8bSxdKcR81vTwcA,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6,6,1,0,18447083010309433424,241431134130169,100,1,1300,3,true,0.92,
Hxw77h9fEx598afiiZunwHaX3vYu9UskDk9EpPNZp1mG,So11111111111111111111111111111111111111112,orcaEKTdK7LKz57vaAYr9QeNsVEPfiu6QeMU1kektZE,9,6,16,-27651,4629500958205598649,11531507710811,1600,16,1300,3,true,0.92,
9RqDTfwCx2SgxsvKpspQHc38HUo3B6hRd3oR9JR966Ps,2u1tszSeqZ3qBWF3uNGPFc8TzMk2tdiwknnRMWGWjGWH,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6,6,1,5,18451687172009298000,13139668909927528,100,1,1300,3,true,0.92,
5xfKkFmhzNhHKTFUkh4PJmHSWB6LpRvhJcUMKzPP6md2,WFRGSWjaz8tbAxsJitmbfRuFV2mSNwy7BMWcCwaA28U,J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,9,9,1,-1356,17237572951124968345,240819593933272,100,1,1300,3,true,0.92,
57mP5WoNrg3uiGFUdoeYr2CPUZak1L2ZgFtyFwoT7K6G,So11111111111111111111111111111111111111112,61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump,9,6,16,-467,18021053579554023028,389151688119,1600,16,1300,3,true,0.92,
G2u294gm3hBtepUY1dQwGHw5HnD1ab5Ej1YAWpcw9vJi,USDSwr9ApdHk5bvJKMjzff41FfuX8bSxdKcR81vTwcA,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,6,6,1,1,18447688739178003024,0,100,1,1300,3,true,0.92,
AU971DrPyhhrpRnmEBp5pDTWL2ny7nofb5vYBjDJkR2E,7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,8,6,8,28825,77952026563668848860,70768906861,500,5,1300,3,true,0.92,
5zpyutJu9ee6jFymDGoK7F6S5Kczqtc9FomP3ueKuyA9,So11111111111111111111111111111111111111112,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,9,5,8,72798,702500823168354932889,98556515017311,500,5,1300,3,true,0.92,
ENrEBzFdNp8mZ11j1wXYZ5mbyX5yA3Z4t9ALbBKtZ2RD,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,So11111111111111111111111111111111111111112,5,9,1,-28112,4524000490554642115,1757595441,100,1,1300,3,true,0.92,
4acL7mD2J6GYJy2g3iVTvfpmHCQSZ1rb8DBuupjcVzHJ,So11111111111111111111111111111111111111112,CniPCE4b3s8gSUPhUiyMjXnytrEqUrMfSsnbBjLCpump,9,6,16,42361,153367063429433635428,418430231,1600,16,1300,3,true,0.92,
AmXR6YeshKfnx23gQpJkktUXoGb7cAXi5hWk3w2pw1a3,So11111111111111111111111111111111111111112,rndrizKT3MK1iimdxRdWabcF7Zg7AR5T4nud4EkHBof,9,8,64,12251,34035873549864402663,13293995701329,3000,30,1300,3,true,0.92,
AgeSxtVWWMojFWYNrXKnVp9cFuC5CQ7M4rzmrseLxfUj,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,J3NKxxXZcnNiMjKw9hYb2K4LUxgwB6t1FtPtQVsv3KFr,6,8,64,57373,324865442956176493756,8801934971025,3000,30,1300,3,true,0.92,
D3C5H4YU7rjhK7ePrGtK1Bhde4tfeiTr98axdZnA7tet,So11111111111111111111111111111111111111112,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,9,6,64,-21934,6161231190476440977,138249076873,3000,30,1300,3,true,0.92,
FAqh648xeeaTqL7du49sztp9nfj5PjRQrfvaMccyd9cz,So11111111111111111111111111111111111111112,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,9,6,64,23201,58843617267529684856,81364283664295,3000,30,1300,3,true,0.92,
8QaXeHBrShJTdtN1rWCccBxpSVvKksQ2PCu5nufb2zbk,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,5,6,64,-99308,128704609458157112,1200353544091,3000,30,1300,3,true,0.92,
3ne4mWqdYuNiYrYZC9TrA3FcfuFdErghH97vNPbjicr1,So11111111111111111111111111111111111111112,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,9,5,64,72805,702751007297736330856,31199942492038,3000,30,1300,3,true,0.92,
BWGP8CqKgg1rV6kYNFnbGbSYXxnYah4BQg1Sw1Nqy7hm,4LLbsb5ReP3yEtYzmXewyGjcir5uXtKFURtaEUVC2AHs,J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,6,9,64,-13950,9183717413461793764,0,3000,30,1300,3,true,0.92,
2UhFnySoJi6c89aydGAGS7ZRemo2dbkFRhvSJqDX4gHJ,So11111111111111111111111111111111111111112,jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL,9,9,64,47040,193796509232359365493,4336646459714,3000,30,1300,3,true,0.92,
27ExzqiGapKFd6NhffapRfdSkuykTVUqY5qeuNnrzBNm,So11111111111111111111111111111111111111112,oreoU2P8bN6jkk3jbaiVxYnG1dCXcYxwhwyK9jSybcp,9,11,96,43918,165784062049339530846,38934150129495,6500,65,1300,3,true,0.92,
5qrvgpvr55Eo7c5bBcwopdiQ6TpvceiRm42yjHTbtDvc,So11111111111111111111111111111111111111112,hntyVP6YFm1Hg25TN9WGLqM12b8TQmcknKrdu1oxWux,9,8,64,24409,62509845018299379585,221567497000,3000,30,1300,3,true,0.92,
Dsxt7wUigQU5puH9nHjmfwnUenMycAgsFtrkfggLh8P1,So11111111111111111111111111111111111111112,ZEUS1aR7aX8DFFJf5QjWj2ftDDdNTroMNGo8YoQm3Gq,9,6,128,33700,99465304298883356426,3290730994574,10000,100,1300,3,true,0.92,
F8Ykc9t6AW1Bjw52d234WdLqfTRfUcem2AHzswRPkbeu,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,A8C3xuqscfmyLrte3VmTqrAq8kgMASius9AFNANwpump,9,6,64,-46321,1820286480932311250,203100257241,3000,30,1300,3,true,0.92,
Ezjgd9m9arnG41Jgh1LcLx59fZFAZ8G5yQ6M1gedQFqb,E1jCTXdkMRoawoWoqfbhiNkkLbxcSHPssMo36U84pump,FeR8VBqNRSUD5NtXAj2n3j1dAHkZHfyDktKuLXD4pump,6,6,128,-79296,350050702797025050,106920431,10000,100,1300,3,true,0.92,
CwHuXNNkj5inuj2ZXaU1DtjA5Nxfoiy4nNoc1PQQJxTR,So11111111111111111111111111111111111111112,85VBFQZC9TZkfaptBWjvUw7YbZjy52A6mjtPGjstQAmQ,9,6,64,17747,44801520557130854559,3132753138455,3000,30,1300,3,true,0.92,
CmyuZJEnEoTnSD5mJLMtzLApocPNszZCWwkiEBbUD3ez,So11111111111111111111111111111111111111112,9gP2kCy3wA1ctvYWQk75guqXuHfrEomqydHLtcTCqiLa,9,8,64,-44707,1973258610142795322,147185943552,3000,30,1300,3,true,0.92,
7fJ7Qm6nPBCKPmEExJXro2KFhmY9FYwQA8h23hCrWMVz,So11111111111111111111111111111111111111112,5LJMJyR8MtAkbtpf8kFUV7S9oFG3xaGDdcnFxYt9pump,9,6,64,65036,476550361434487770878,42630854,3000,30,1300,3,true,0.92,
4m8mH8fBQ5DcYB3dum8SrauF8rCUUYHFEqEaqvKXJALt,85VBFQZC9TZkfaptBWjvUw7YbZjy52A6mjtPGjstQAmQ,J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,6,9,64,-20077,6760760840635896866,3544217,3000,30,1300,3,true,0.92,
FfQtSPNUSTDZwNBhJLgpVPG95ediXfeFnfZnoGPELKML,So11111111111111111111111111111111111111112,2oGLxYuNBJRcepT1mEV6KnETaLD7Bf6qq3CM6skasBfe,9,9,256,105411,3587545477424490876247,56072242310567,20000,200,1300,3,true,0.92,
4gnf3XVk8A3vxFnnPtVqSFZa1SEPeXogvcetpZm6Q3pS,9gP2kCy3wA1ctvYWQk75guqXuHfrEomqydHLtcTCqiLa,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,8,6,64,18174,45767827921980328429,11402423990,3000,30,1300,3,true,0.92,
BVXNG6BrL2Tn3NmppnMeXHjBHTaQSnSnLE99JKwZSWPg,MNDEFzGvMt87ueuHvVU9VcTqsAP5b3fTGPsHuuPA5ey,mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,9,9,128,-85135,261424801434618602,32286569364153,10000,100,1300,3,true,0.92,
7QkfgyWzWSw11z2FBiJhz8zAL9RwqSRvuXruDrJ3MFA1,TNSRxcUxoT9xBG3de7PiJyTDYu7kskLqcpddxnEJAS6,J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,9,9,64,-68992,585938965332778805,10396141104761,3000,30,1300,3,true,0.92,
KLkoFSdCpC523EmmGyJxmLv1A3itv8ZNiMZwjPmFXuk,So11111111111111111111111111111111111111112,3dQTr7ror2QPKQ3GbBCokJUmjErGg8kTJzdnYjNfvi3Z,9,9,64,61029,390019087336257862449,598521288960463,3000,30,1300,3,true,0.92,
4nAiqm5QiZiwh1sMpmuJJdVUH12Fst2kPPzApNfppQGd,So11111111111111111111111111111111111111112,7xKXtg2CW87d97TXJSDpbD5jBkheTqA83TZRuJosgAsU,9,9,128,122408,8391919627126602574033,134511631299063,10000,100,1300,3,true,0.92,
45zpzzpZquaVv4BAdXfzNbuba7DAXV32d1sTrUh5wcnW,hntyVP6YFm1Hg25TN9WGLqM12b8TQmcknKrdu1oxWux,mb1eu7TzEc71KxDpsmsKoucSSuuoGLv1drys1oP2jh6,8,6,64,43106,159188390052402684464,1466451164117769,3000,30,1300,3,true,0.92,
ENYEHSyduTbFN1xoSEGaLu7c1F8AqKucdscMuV5Yypy2,So11111111111111111111111111111111111111112,4vMsoUT2BWatFweudnQM1xedRLfJgJ7hswhcpz4xgBTy,9,9,64,105560,3614248492887926276732,74045067848473,3000,30,1300,3,true,0.92,
Ab5pqdTEw1McsizEaQfLEyMLhkfxwzrpyqFASpftQcpq,3dQTr7ror2QPKQ3GbBCokJUmjErGg8kTJzdnYjNfvi3Z,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,9,6,64,-87572,231436751511446640,33953127797152,3000,30,1300,3,true,0.92,
7PNQ9rfSGCbCC3XTeL6CwwAzevqQGvKXeXMxP2TjS7rM,7i5KKsX2weiTkry7jA4ZwSuXGhs5eJBEjY8vVxR4pfRx,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,9,6,64,-115788,56462564971311023,5223529602089,3000,30,1300,3,true,0.92,
3fCMZfWg48aUNYtdPm9KG4kmwseenr446fLAnafd2Uvj,So11111111111111111111111111111111111111112,nosXBVoaCTtYdLvKY6Csb4AC8JCdQKKAaWYtx2ZMoo7,9,6,64,-16052,8267635224936022818,188497135780,3000,30,1300,3,true,0.92,
HAWNPF6UZ8YgWisd2gsECNSchdn3hQTEujsZtGxKM1MW,rndrizKT3MK1iimdxRdWabcF7Zg7AR5T4nud4EkHBof,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,8,6,64,-38733,2660056899305504546,374099181810,3000,30,1300,3,true,0.92,
7AhWSjMiXtxgZ6tB39V65sF3Rguv6arkbLWyk2v9MxRV,4LLbsb5ReP3yEtYzmXewyGjcir5uXtKFURtaEUVC2AHs,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6,6,64,-47198,1742152323774481231,83356886422,3000,30,1300,3,true,0.92,
5gqNmuvNQ9qsrcnWtu7WY3S8t8qBpJmaEciNYvuea27c,So11111111111111111111111111111111111111112,E1jCTXdkMRoawoWoqfbhiNkkLbxcSHPssMo36U84pump,9,6,128,80591,1037202619736721170443,4902039302,10000,100,1300,3,true,0.92,
6KGwZbL2v9j4k7McfVaSaMgnZjv7KVcR3u8FmAW4HA68,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Hg8bKz4mvs8KNj9zew1cEF9tDw1x2GViB4RFZjVEmfrD,6,9,64,81023,1059848064254112324884,0,3000,30,1300,3,true,0.92,
EE1i59YUAELZj4qe8sHgsYd7wYuwe2YRoJMmkCjJEiGt,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,FRySi8LPkuByB7VPSCCggxpewFUeeJiwEGRKKuhwpKcX,6,6,128,91397,1780334500191758482764,9653219618973,10000,100,1300,3,true,0.92,
6jwmmjnx3mDbA6QauSZ7DY8Z1B8wZncxXM1tJd2unpuS,SHDWyBxihqiCj6YekG2GUr7wqKLeLAMK1gHZck9pL6y,So11111111111111111111111111111111111111112,9,9,64,-80510,329431392996707635,3924893336000,3000,30,1300,3,true,0.92,
FjpUZNi84CrL8NPBkqTsMyLkxMHJfAjDZiZ65zsEgXnR,So11111111111111111111111111111111111111112,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,9,9,64,72850,704330696364398682987,5899189775666,3000,30,1300,3,true,0.92,
C3km5MDqBiA3eVBsy8r6D8AtTr4J8j2TpRTiXaydkiCx,3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,8,8,64,35725,110066575779096363251,202047957,3000,30,1300,3,true,0.92,
6b3pGVYwAemYXuCQCH2qQee3zyp3nzeqgpoyxUXSCQbc,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,So11111111111111111111111111111111111111112,5,9,256,-28028,4542928781065256080,17855345608,20000,200,1300,3,true,0.92,
DpRTn6DsBMVMkW2s9DaT4EGHBFSXx6vs7gVpw7niFJLY,NFTUkR4u7wKxy9QLaX2TGvd9oZSWoMo4jqSJqdMb7Nk,So11111111111111111111111111111111111111112,6,9,64,-36425,2985503200607076433,21281895560,3000,30,1300,3,true,0.92,
Dps9eL3mqqWqqz1JcUdVpxo6EQEdbH9fBxex2mDrhBf1,So11111111111111111111111111111111111111112,5k84VjAKoGPXa7ias1BNgKUrX7e61eMPWhZDqsiD4Bpe,9,9,64,90666,1716412370417213636848,2078392595,3000,30,1300,3,true,0.92,
