pool_id,token_pair,chain,pool_type,token0,token1,fee_tier,decimals_known,quoter_supported,selected,reject_reason
0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC/USDC,base,concentrated_liquidity,0xCBB7C0000AB88B473B1F5AFD9EF808440EED33BF,0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,5,yes,yes,yes,
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,WETH/USDC,base,concentrated_liquidity,0x4200000000000000000000000000000000000006,0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,5,yes,yes,yes,
0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,base,concentrated_liquidity,0xCBB7C0000AB88B473B1F5AFD9EF808440EED33BF,0x4200000000000000000000000000000000000006,5,yes,yes,yes,
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,base,concentrated_liquidity,0x4200000000000000000000000000000000000006,0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,1,yes,yes,yes,
0xb94b22332abf5f89877a14cc88f2abc48c34b3df,cbBTC/USDC,base,concentrated_liquidity,0xCBB7C0000AB88B473B1F5AFD9EF808440EED33BF,0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,1,yes,yes,yes,
0x8a8e4170c09074b109352190d47e54d7c1f61e4e,0x8B7DDE054BE9D180C1BE7FAE0874697374A49832/USDC,base,concentrated_liquidity,0x8B7DDE054BE9D180C1BE7FAE0874697374A49832,0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,1,yes,yes,yes,
0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,base,concentrated_liquidity,0xCBB7C0000AB88B473B1F5AFD9EF808440EED33BF,0x4200000000000000000000000000000000000006,1,yes,yes,yes,
0x160d7e9d948b16c163332a277b393c288408eb12,cbBTC/USDC,base,concentrated_liquidity,0xCBB7C0000AB88B473B1F5AFD9EF808440EED33BF,0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,5,yes,yes,yes,
0x42d4a22cad0f5a49681a5715ce994af73a43b76b,0xCBB7C0000AB88B473B1F5AFD9EF808440EED33BF/0x4200000000000000000000000000000000000006,base,concentrated_liquidity,0xCBB7C0000AB88B473B1F5AFD9EF808440EED33BF,0x4200000000000000000000000000000000000006,5,no,yes,no,missing_token_decimals
0xd0b53d9277642d899df5c87a3966a349a798f224,USDC/WETH,base,concentrated_liquidity,0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,0x4200000000000000000000000000000000000006,5,yes,yes,yes,
0xa41bc0affba7fd420d186b84899d7ab2ac57fcd1,0xFDE4C96C8593536E31F229EA8F37B2ADA2699BB2/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,base,concentrated_liquidity,0xFDE4C96C8593536E31F229EA8F37B2ADA2699BB2,0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,1,no,yes,no,missing_token_decimals
0x3f0296bf652e19bca772ec3df08b32732f93014a,VIRTUAL/WETH,base,concentrated_liquidity,0x0B3E328455C4059EEB9E3F84B5543F74E24E7E1B,0x4200000000000000000000000000000000000006,5,yes,yes,yes,
0x0ab02e160f0df68dc049b012c514857306960eae,0x11030F79109269D796FD0FB956D6244E502757F7/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,base,concentrated_liquidity,0x11030F79109269D796FD0FB956D6244E502757F7,0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,0,no,yes,no,missing_token_decimals
0x7ec6c9d993d9832aa654593f2dbc21303650bc6c,0xACFE6019ED1A7DC6F7B508C02D1B04EC88CC21BF/WETH,base,concentrated_liquidity,0xACFE6019ED1A7DC6F7B508C02D1B04EC88CC21BF,0x4200000000000000000000000000000000000006,5,yes,yes,yes,
0x3c4384f3664b37a3cb5a5cb3452b4b4a3aa1256f,0x9126236476EFBA9AD8AB77855C60EB5BF37586EB/USDC,base,concentrated_liquidity,0x9126236476EFBA9AD8AB77855C60EB5BF37586EB,0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,25,yes,yes,yes,
0xc9034c3e7f58003e6ae0c8438e7c8f4598d5acaa,0x4ED4E862860BED51A9570B96D89AF5E1B0EFEFED/0x4200000000000000000000000000000000000006,base,concentrated_liquidity,0x4ED4E862860BED51A9570B96D89AF5E1B0EFEFED,0x4200000000000000000000000000000000000006,30,no,yes,no,missing_token_decimals
0xf1cacd7e005b9337c58aae77bc88d93c635cdf4d,PLAY/USDC,base,concentrated_liquidity,0x853A7C99227499DBA9DB8C3A02AA691AFDEBF841,0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,1,no,yes,no,missing_token_decimals
0x9c087eb773291e50cf6c6a90ef0f4500e349b903,VIRTUAL/WETH,base,concentrated_liquidity,0x0B3E328455C4059EEB9E3F84B5543F74E24E7E1B,0x4200000000000000000000000000000000000006,5,yes,yes,yes,
0x9a993fc0eec60faaa0c391ff11b840ce16685150,USAD/USDT,base,concentrated_liquidity,0x3D66E6FE9A3CF698DB5AF3D70830B299C9235151,0xFDE4C96C8593536E31F229EA8F37B2ADA2699BB2,1,no,yes,no,missing_token_decimals
0x659be70647b0f63217d60e077f4417b1ecc65064,0x16EE7ECAC70D1028E7712751E2EE6BA808A7DD92/USDC,base,concentrated_liquidity,0x16EE7ECAC70D1028E7712751E2EE6BA808A7DD92,0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,100,no,yes,no,missing_token_decimals
