run_id,pool_id,token_pair,chain,pool_type,quote_method,quote_side,virtual_notional_usd,input_token,output_token,amount_in_raw,amount_out_raw,amount_in_usd,amount_out_usd,estimated_slippage_pct,estimated_price_impact_pct,sqrt_price_x96_after,initialized_ticks_crossed,gas_estimate,quote_block_number,quote_ts,quote_success,confidence,invalid_reason,read_only_safe,wallet_or_tx_touched,created_at
20260601_120001,0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC/USDC,base,concentrated_liquidity,quoter_v2_staticcall,token0_to_token1,20,0xCBB7C0000AB88B473B1F5AFD9EF808440EED33BF,0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,14500469680,3396481786102,20,3396481.786102,0.0,675986473.4471987,7650196348105088292822708669247,89,6923463,46762937,1780315276,yes,high,,yes,no,1780315276
20260601_120001,0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC/USDC,base,concentrated_liquidity,quoter_v2_staticcall,token0_to_token1,100,0xCBB7C0000AB88B473B1F5AFD9EF808440EED33BF,0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,72502348401,3401921924776,100,3401921.924776,0.0,35433419323.45774,55387285263611481676646904679024,89,6954816,46762937,1780315276,yes,high,,yes,no,1780315276
20260601_120001,0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC/USDC,base,concentrated_liquidity,quoter_v2_staticcall,token0_to_token1,500,0xCBB7C0000AB88B473B1F5AFD9EF808440EED33BF,0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,362511742005,3403731497137,500,3403731.497137,0.0,398378564047.18414,185716943618574320905459596795174,90,7054871,46762937,1780315276,yes,high,,yes,no,1780315276
20260601_120001,0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC/USDC,base,concentrated_liquidity,quoter_v2_staticcall,token0_to_token1,1000,0xCBB7C0000AB88B473B1F5AFD9EF808440EED33BF,0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,725023484010,3408860389567,1000,3408860.389567,0.0,398455634345.5464,185734907145417860011826364428271,90,7037101,46762937,1780315276,yes,medium,,yes,no,1780315276
20260601_120001,0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC/USDC,base,concentrated_liquidity,quoter_v2_staticcall,token0_to_token1,2000,0xCBB7C0000AB88B473B1F5AFD9EF808440EED33BF,0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,1450046968020,3408860521418,2000,3408860.521418,0.0,398609799398.85046,185770834686990323760584358939649,90,7036095,46762937,1780315276,yes,medium,,yes,no,1780315276
20260601_120001,0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC/USDC,base,concentrated_liquidity,quoter_v2_staticcall,token1_to_token0,20,0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,0xCBB7C0000AB88B473B1F5AFD9EF808440EED33BF,20000000,27659,20,3.8149109111638226e-05,99.99980925445445,0.3052324333546882,2946899608767384234220681105,1,188264,46762937,1780315276,yes,high,,yes,no,1780315276
20260601_120001,0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC/USDC,base,concentrated_liquidity,quoter_v2_staticcall,token1_to_token0,100,0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,0xCBB7C0000AB88B473B1F5AFD9EF808440EED33BF,100000000,138297,100,0.00019074830408952716,99.99980925169591,0.3050171033842968,2946896445641539916539258079,1,188264,46762937,1780315276,yes,high,,yes,no,1780315276
20260601_120001,0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC/USDC,base,concentrated_liquidity,quoter_v2_staticcall,token1_to_token0,500,0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,0xCBB7C0000AB88B473B1F5AFD9EF808440EED33BF,500000000,691475,500,0.0009537277277909557,99.99980925445445,0.30198251584883096,2946851868196073620124423088,1,210571,46762937,1780315276,yes,high,,yes,no,1780315276
20260601_120001,0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC/USDC,base,concentrated_liquidity,quoter_v2_staticcall,token1_to_token0,1000,0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,0xCBB7C0000AB88B473B1F5AFD9EF808440EED33BF,1000000000,1382703,1000,0.0019071147769619114,99.9998092885223,0.28277816005867257,2946569744655500057248749081,1,209129,46762937,1780315276,yes,medium,,yes,no,1780315276
20260601_120001,0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC/USDC,base,concentrated_liquidity,quoter_v2_staticcall,token1_to_token0,2000,0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,0xCBB7C0000AB88B473B1F5AFD9EF808440EED33BF,2000000000,2765369,2000,0.0038141785210941063,99.99980929107394,0.28008745671124485,2946530214447007486456121918,1,209160,46762937,1780315276,yes,medium,,yes,no,1780315276
