pool_address,name,base_symbol,quote_symbol,vol24h_usd,reserve_usd,source_type,source_url,source_confidence,selected_for_chain_verify
3nMFwZXwY1s1M5s8vYAHqd4wGs4iSxXE4LRoUMMYqEgF,SOL / USDT 0.01%,SOL,USDT 0.01%,27076908.84,1806038.53,GeckoTerminal,https://www.geckoterminal.com/solana/pools/3nMFwZXwY1s1M5s8vYAHqd4wGs4iSxXE4LRoUMMYqEgF,B,True
BxZ1GN3qVe7iwuQjaebgCyjMYjdXtia8YP3JfuVpUAUU,WorldCup / SOL,WorldCup,SOL,3437908.61,9.38,GeckoTerminal,https://www.geckoterminal.com/solana/pools/BxZ1GN3qVe7iwuQjaebgCyjMYjdXtia8YP3JfuVpUAUU,B,True
3ucNos4NbumPLZNWztqGHNFFgkHeRMBQAVemeeomsUxv,SOL / USDC,SOL,USDC,18432332.91,4731743.66,GeckoTerminal,https://www.geckoterminal.com/solana/pools/3ucNos4NbumPLZNWztqGHNFFgkHeRMBQAVemeeomsUxv,B,True
CrE5Xi1YoxnFYmE27mP4rm812ZnUs3Lwj7kGob85TnyX,WorldCup / SOL,WorldCup,SOL,2542493.01,112973.88,GeckoTerminal,https://www.geckoterminal.com/solana/pools/CrE5Xi1YoxnFYmE27mP4rm812ZnUs3Lwj7kGob85TnyX,B,True
HzKStSGe3Vwk2Z5EVRKhf7WuauWAKGryKw7ayAwg8Vj,UNOS / SOL,UNOS,SOL,4658726.20,10.44,GeckoTerminal,https://www.geckoterminal.com/solana/pools/HzKStSGe3Vwk2Z5EVRKhf7WuauWAKGryKw7ayAwg8Vj,B,True
63PBiPWuVSoPg85hR1a4RpewTVkEqowbfbvNstWe9uFM,TEA / SOL,TEA,SOL,883348.45,83650.77,GeckoTerminal,https://www.geckoterminal.com/solana/pools/63PBiPWuVSoPg85hR1a4RpewTVkEqowbfbvNstWe9uFM,B,True
D1dAuATCnvTKiXhyV9v19gSMe5ak7uMPDm8cUNASmJmJ,USWR / SOL,USWR,SOL,2935387.25,11.34,GeckoTerminal,https://www.geckoterminal.com/solana/pools/D1dAuATCnvTKiXhyV9v19gSMe5ak7uMPDm8cUNASmJmJ,B,True
CYbD9RaToYMtWKA7QZyoLahnHdWq553Vm62Lh6qWtuxq,SOL / USDC,SOL,USDC,2024076.61,346593.82,GeckoTerminal,https://www.geckoterminal.com/solana/pools/CYbD9RaToYMtWKA7QZyoLahnHdWq553Vm62Lh6qWtuxq,B,True
CsFBAvNFAdyQLJHrB1EGkrsewaWF3ZLN59JoVoi3Sbgf,SAOS / SOL,SAOS,SOL,3181641.68,11.47,GeckoTerminal,https://www.geckoterminal.com/solana/pools/CsFBAvNFAdyQLJHrB1EGkrsewaWF3ZLN59JoVoi3Sbgf,B,True
8sLbNZoA1cfnvMJLPfp98ZLAnFSYCFApfJKMbiXNLwxj,SOL / USDC 0.01%,SOL,USDC 0.01%,74878.98,400333.97,GeckoTerminal,https://www.geckoterminal.com/solana/pools/8sLbNZoA1cfnvMJLPfp98ZLAnFSYCFApfJKMbiXNLwxj,B,True
AmG2fAB18dDQZE7DraHCrz2tYgM9jmtd7THqHRpm8CM4,Verse / SOL,Verse,SOL,347182.38,2034.98,GeckoTerminal,https://www.geckoterminal.com/solana/pools/AmG2fAB18dDQZE7DraHCrz2tYgM9jmtd7THqHRpm8CM4,B,True
ExcBWu8fGPdJiaF1b1z3iEef38sjQJks8xvj6M85pPY6,USDT / SOL,USDT,SOL,127499.26,65499.11,GeckoTerminal,https://www.geckoterminal.com/solana/pools/ExcBWu8fGPdJiaF1b1z3iEef38sjQJks8xvj6M85pPY6,B,True
EXHyQxMSttcvLPwjENnXCPZ8GmLjJYHtNBnAkcFeFKMn,SOL / USDC 0.01%,SOL,USDC 0.01%,957.37,1388.86,GeckoTerminal,https://www.geckoterminal.com/solana/pools/EXHyQxMSttcvLPwjENnXCPZ8GmLjJYHtNBnAkcFeFKMn,B,True
2AXXcN6oN9bBT5owwmTH53C7QHUXvhLeu718Kqt8rvY2,RAY / SOL 0.05%,RAY,SOL 0.05%,6061077.93,1199725.76,GeckoTerminal,https://www.geckoterminal.com/solana/pools/2AXXcN6oN9bBT5owwmTH53C7QHUXvhLeu718Kqt8rvY2,B,True
5pE2FWrCh9tqdRFk9wDJRhCCicsQfKKWmsF4ki24ngS1,BP / SOL,BP,SOL,914373.59,85614.73,GeckoTerminal,https://www.geckoterminal.com/solana/pools/5pE2FWrCh9tqdRFk9wDJRhCCicsQfKKWmsF4ki24ngS1,B,True
GYqHjuDzTiw7i52Xv1qohDE6eJr6eSZpsrBVikGZyaFV,CRCLx / USDC,CRCLx,USDC,5373840.79,2716914.71,GeckoTerminal,https://www.geckoterminal.com/solana/pools/GYqHjuDzTiw7i52Xv1qohDE6eJr6eSZpsrBVikGZyaFV,B,True
2QdhepnKRTLjjSqPL1PtKNwqrUkoLee5Gqs8bvZhRdMv,SOL / USDC 0.05%,SOL,USDC 0.05%,580389.65,404825.55,GeckoTerminal,https://www.geckoterminal.com/solana/pools/2QdhepnKRTLjjSqPL1PtKNwqrUkoLee5Gqs8bvZhRdMv,B,True
DUdfMuH22FTj9RZ8p3tSJJXUAE375FVgCpKfGubRhax2,IBMUSDT / SOL,IBMUSDT,SOL,743872.00,108560.76,GeckoTerminal,https://www.geckoterminal.com/solana/pools/DUdfMuH22FTj9RZ8p3tSJJXUAE375FVgCpKfGubRhax2,B,True
HpgV2jnzgrGfrZjeZGkHgTnEgRFAhtzCVuk3BRFTFJwk,TRX / USDC,TRX,USDC,2420981.25,12351917.98,GeckoTerminal,https://www.geckoterminal.com/solana/pools/HpgV2jnzgrGfrZjeZGkHgTnEgRFAhtzCVuk3BRFTFJwk,B,True
9FxWQ5RqMpbHoehY4Gu2tHixfhCBixmGrvRDt1LJgX6C,SkyAI / SOL,SkyAI,SOL,594136.16,51032.57,GeckoTerminal,https://www.geckoterminal.com/solana/pools/9FxWQ5RqMpbHoehY4Gu2tHixfhCBixmGrvRDt1LJgX6C,B,True
ARdfTL3JhD6BQd7D2a46b65eMGhhSEYvXF7VvTDUrj6V,TEA / SOL,TEA,SOL,536921.33,97024.88,GeckoTerminal,https://www.geckoterminal.com/solana/pools/ARdfTL3JhD6BQd7D2a46b65eMGhhSEYvXF7VvTDUrj6V,B,True
8ir2KDZCxcXZzZ7EqEF8tp6xuiD2SKnuzkm7etHz4KbM,BABYTROLL / SOL,BABYTROLL,SOL,204136.51,24506.10,GeckoTerminal,https://www.geckoterminal.com/solana/pools/8ir2KDZCxcXZzZ7EqEF8tp6xuiD2SKnuzkm7etHz4KbM,B,True
29awEHj853nKeRzuKwfsKbX1qRupSco1dTugKG5geErC,DEL / SOL,DEL,SOL,510500.89,96470.05,GeckoTerminal,https://www.geckoterminal.com/solana/pools/29awEHj853nKeRzuKwfsKbX1qRupSco1dTugKG5geErC,B,True
DgvPyYf9KimyZ4oto3mPRBX8tRNLJRmkFGbU9Gd3DkTG,MANIFEST / SOL,MANIFEST,SOL,425497.75,9223.90,GeckoTerminal,https://www.geckoterminal.com/solana/pools/DgvPyYf9KimyZ4oto3mPRBX8tRNLJRmkFGbU9Gd3DkTG,B,True
Fh8RufBNQgdG2LT1tc5HvZ13enF1YvLrsuqRAYiV2qiF,three / SOL,three,SOL,648644.85,68533.24,GeckoTerminal,https://www.geckoterminal.com/solana/pools/Fh8RufBNQgdG2LT1tc5HvZ13enF1YvLrsuqRAYiV2qiF,B,True
F3DAAusn8mob9swWaX4ehaRrhi2Q3XJScKkuUpXdvn2i,CARDS / USDC,CARDS,USDC,472889.89,56298.35,GeckoTerminal,https://www.geckoterminal.com/solana/pools/F3DAAusn8mob9swWaX4ehaRrhi2Q3XJScKkuUpXdvn2i,B,True
CodkD7Z6UBZzjJGufeqPyAUhUXYL27Cye33S7voLxLop,AMERICA / SOL,AMERICA,SOL,45954.48,18540.44,GeckoTerminal,https://www.geckoterminal.com/solana/pools/CodkD7Z6UBZzjJGufeqPyAUhUXYL27Cye33S7voLxLop,B,True
GDsjjQ7MbP5XdumrELnXNZC7e9rF3gHbY3AVPi4ZL4Kw,JARS / SOL,JARS,SOL,760157.61,71877.24,GeckoTerminal,https://www.geckoterminal.com/solana/pools/GDsjjQ7MbP5XdumrELnXNZC7e9rF3gHbY3AVPi4ZL4Kw,B,True
3C4Z6Kiq33JYcxTMj4jMfhmoS4TwFvEtahwuaw7JLfwP,POKE / SOL,POKE,SOL,668233.09,68446.72,GeckoTerminal,https://www.geckoterminal.com/solana/pools/3C4Z6Kiq33JYcxTMj4jMfhmoS4TwFvEtahwuaw7JLfwP,B,True
56Gd9Vtg5RsAzetUYnccttnSzyb13GDfwr5kjastymLq,DATBIHGAH / SOL,DATBIHGAH,SOL,826957.98,61370.16,GeckoTerminal,https://www.geckoterminal.com/solana/pools/56Gd9Vtg5RsAzetUYnccttnSzyb13GDfwr5kjastymLq,B,True
6kT4MhDqKrkWikaGpFCvYsk45BUKXEe2gTpNGAR1YcjS,SOL / USDT 0.05%,SOL,USDT 0.05%,86899.81,68267.15,GeckoTerminal,https://www.geckoterminal.com/solana/pools/6kT4MhDqKrkWikaGpFCvYsk45BUKXEe2gTpNGAR1YcjS,B,True
