pool_address,token_a,token_b,token_a_decimals,token_b_decimals,tick_spacing,current_tick,sqrt_price,liquidity,amm_config,reward_infos_count,sdk_decode_success,confidence,invalid_reason
3nMFwZXwY1s1M5s8vYAHqd4wGs4iSxXE4LRoUMMYqEgF,So11111111111111111111111111111111111111112,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,9,6,1,-26396,4929198190709186278,14004003194463,9iFER3bpjf1PTTCQCfTRu17EJgvsxo9pVyA9QWwEuX4x,3,true,0.92,
3ucNos4NbumPLZNWztqGHNFFgkHeRMBQAVemeeomsUxv,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,9,6,1,-26405,4927030415626586759,44302773575929,3h2e43PunVA5K34vwKCLHWhZF4aZpyaC9RmxvshGAQpL,3,true,0.92,
BxZ1GN3qVe7iwuQjaebgCyjMYjdXtia8YP3JfuVpUAUU,So11111111111111111111111111111111111111112,DFAVxj9MhEWq1Bs79xRR19EnzmzxJNpYm9syTDPqQACH,9,6,1,61921,407803971929971255782,0,9iFER3bpjf1PTTCQCfTRu17EJgvsxo9pVyA9QWwEuX4x,3,true,0.92,
CsFBAvNFAdyQLJHrB1EGkrsewaWF3ZLN59JoVoi3Sbgf,So11111111111111111111111111111111111111112,GD7JzCvawzDV65vk4TLqNPuNhn9as6U34gKnDkt5VGSm,9,6,1,62931,428938264855299274579,0,9iFER3bpjf1PTTCQCfTRu17EJgvsxo9pVyA9QWwEuX4x,3,true,0.92,
D1dAuATCnvTKiXhyV9v19gSMe5ak7uMPDm8cUNASmJmJ,So11111111111111111111111111111111111111112,2GQLbR7CQViAZtD8MJ735cfiKkybvcU6ZB4yeC2XhJqm,9,6,1,104451,3419266399019982388767,0,9iFER3bpjf1PTTCQCfTRu17EJgvsxo9pVyA9QWwEuX4x,3,true,0.92,
ExcBWu8fGPdJiaF1b1z3iEef38sjQJks8xvj6M85pPY6,So11111111111111111111111111111111111111112,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,9,6,1,-26396,4929274735582076027,126373028913,EdPxg8QaeFSrTYqdWJn6Kezwy9McWncTYueD9eMGCuzR,3,true,0.92,
CYbD9RaToYMtWKA7QZyoLahnHdWq553Vm62Lh6qWtuxq,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,9,6,1,-26405,4927108492812789822,2514247198078,EdPxg8QaeFSrTYqdWJn6Kezwy9McWncTYueD9eMGCuzR,3,true,0.92,
8sLbNZoA1cfnvMJLPfp98ZLAnFSYCFApfJKMbiXNLwxj,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,9,6,1,-26404,4927338345000539069,88939050044,9iFER3bpjf1PTTCQCfTRu17EJgvsxo9pVyA9QWwEuX4x,3,true,0.92,
HzKStSGe3Vwk2Z5EVRKhf7WuauWAKGryKw7ayAwg8Vj,So11111111111111111111111111111111111111112,BhDc21QH1g6oTpakZnBpm7cZkKS42tEeeiX7Jiq8mFAp,9,6,1,99433,2660676546965631628400,0,9iFER3bpjf1PTTCQCfTRu17EJgvsxo9pVyA9QWwEuX4x,3,true,0.92,
AmG2fAB18dDQZE7DraHCrz2tYgM9jmtd7THqHRpm8CM4,So11111111111111111111111111111111111111112,vRseBFqTy9QLmmo5qGiwo74AVpdqqMTnxPqWoWMpump,9,6,1,12063,33718161929699722636,96451595990,9iFER3bpjf1PTTCQCfTRu17EJgvsxo9pVyA9QWwEuX4x,3,true,0.92,
63PBiPWuVSoPg85hR1a4RpewTVkEqowbfbvNstWe9uFM,So11111111111111111111111111111111111111112,5JtT74JGtSLqLGNx4EuVp3symseEsn4495h2hyyfoyyy,9,6,1,65931,498339490509420993191,0,9iFER3bpjf1PTTCQCfTRu17EJgvsxo9pVyA9QWwEuX4x,3,true,0.92,
CrE5Xi1YoxnFYmE27mP4rm812ZnUs3Lwj7kGob85TnyX,So11111111111111111111111111111111111111112,C5uaPSfAzgxrTRR7emEygDJe59TGLeSbhJCBNqpJBfwW,9,6,1,64421,462099093370178823643,0,9iFER3bpjf1PTTCQCfTRu17EJgvsxo9pVyA9QWwEuX4x,3,true,0.92,
EXHyQxMSttcvLPwjENnXCPZ8GmLjJYHtNBnAkcFeFKMn,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,9,6,10,-26403,4927558200371476512,340163465,4BLNHtVe942GSs4teSZqGX24xwKNkqU7bGgNn3iUiUpw,3,true,0.92,
GYqHjuDzTiw7i52Xv1qohDE6eJr6eSZpsrBVikGZyaFV,XsueG8BtpquVJX9LVLLEGuViXUungE6WmK5YZ3p3bd1,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,8,6,10,-782,17740061733546282261,6735070348598,DrdecJVzkaRsf1TQu1g7iFncaokikVTHqpzPjenjRySY,3,true,0.92,
HpgV2jnzgrGfrZjeZGkHgTnEgRFAhtzCVuk3BRFTFJwk,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,GbbesPbaYh5uiAZSYNXTc7w9jty1rpg3P9L4JeN4LkKc,6,6,1,11010,31988670242838830557,90530725726359,3XCQJQryqpDvvZBfGxR7CLAw5dpGJ9aa7kt1jRLdyxuZ,3,true,0.92,
5pE2FWrCh9tqdRFk9wDJRhCCicsQfKKWmsF4ki24ngS1,So11111111111111111111111111111111111111112,3VGthab93szs1a4Fg7HuH8JuNzpDcH7vRwkTFaMGtTDs,9,6,1,65715,492997046843880258258,16124515496657,9iFER3bpjf1PTTCQCfTRu17EJgvsxo9pVyA9QWwEuX4x,3,true,0.92,
DUdfMuH22FTj9RZ8p3tSJJXUAE375FVgCpKfGubRhax2,So11111111111111111111111111111111111111112,7M9pZSS96f7c3qJDvFDTdfAfWDYFWok2ScAB84CKzG6F,9,6,1,64034,453257920591917046202,0,9iFER3bpjf1PTTCQCfTRu17EJgvsxo9pVyA9QWwEuX4x,3,true,0.92,
2AXXcN6oN9bBT5owwmTH53C7QHUXvhLeu718Kqt8rvY2,So11111111111111111111111111111111111111112,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,9,6,10,-21915,6167164242382788640,48918692017826,HfERMT5DRA6C1TAqecrJQFpmkf3wsWTMncqnj3RDg5aw,3,true,0.92,
9FxWQ5RqMpbHoehY4Gu2tHixfhCBixmGrvRDt1LJgX6C,So11111111111111111111111111111111111111112,2R2RABVPMjEUC45cLRJhGRCHCn7U4GgdmCPehVoNcwpL,9,6,1,74860,778784217613773357417,15128780519315,9iFER3bpjf1PTTCQCfTRu17EJgvsxo9pVyA9QWwEuX4x,3,true,0.92,
ARdfTL3JhD6BQd7D2a46b65eMGhhSEYvXF7VvTDUrj6V,12j3yw5Yr3bqdBEBwZ8WxiTH9FacAPyuSixrwbKAkkS9,So11111111111111111111111111111111111111112,6,9,1,-62044,829321122972950155,0,9iFER3bpjf1PTTCQCfTRu17EJgvsxo9pVyA9QWwEuX4x,3,true,0.92,
2QdhepnKRTLjjSqPL1PtKNwqrUkoLee5Gqs8bvZhRdMv,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,9,6,10,-26403,4927469264252784640,1500261241647,HfERMT5DRA6C1TAqecrJQFpmkf3wsWTMncqnj3RDg5aw,3,true,0.92,
DgvPyYf9KimyZ4oto3mPRBX8tRNLJRmkFGbU9Gd3DkTG,8LKr3d6YDqd5kZzyMPBxPb3VBmoAbJutMX5rmGK6FGs,So11111111111111111111111111111111111111112,6,9,1,-90892,196037048753270668,0,9iFER3bpjf1PTTCQCfTRu17EJgvsxo9pVyA9QWwEuX4x,3,true,0.92,
F3DAAusn8mob9swWaX4ehaRrhi2Q3XJScKkuUpXdvn2i,CARDSccUMFKoPRZxt5vt3ksUbxEFEcnZ3H2pd3dKxYjp,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6,6,1,-15570,8469233630938239928,195512602408,3h2e43PunVA5K34vwKCLHWhZF4aZpyaC9RmxvshGAQpL,3,true,0.92,
8ir2KDZCxcXZzZ7EqEF8tp6xuiD2SKnuzkm7etHz4KbM,So11111111111111111111111111111111111111112,4f1XpHmPWtDZiGDevDUsixGzhF892Hiowzonh1gtan5c,9,6,1,69805,604867486867942711466,5607723888985,9iFER3bpjf1PTTCQCfTRu17EJgvsxo9pVyA9QWwEuX4x,3,true,0.92,
Fh8RufBNQgdG2LT1tc5HvZ13enF1YvLrsuqRAYiV2qiF,So11111111111111111111111111111111111111112,61YKN3j4wT44e7BwbsMSQbVPm4P6D69apBRH3bQviHU5,9,6,1,48851,212165255647563274740,5488973765766,9iFER3bpjf1PTTCQCfTRu17EJgvsxo9pVyA9QWwEuX4x,3,true,0.92,
CodkD7Z6UBZzjJGufeqPyAUhUXYL27Cye33S7voLxLop,So11111111111111111111111111111111111111112,8suYFXhogJBiVEijoGBN4GGXobqos2Sm3aQ3T9Dk1ccu,9,6,1,72772,701560359136680396659,4917316341351,9iFER3bpjf1PTTCQCfTRu17EJgvsxo9pVyA9QWwEuX4x,3,true,0.92,
29awEHj853nKeRzuKwfsKbX1qRupSco1dTugKG5geErC,So11111111111111111111111111111111111111112,3TQTc8q2F9c9XUF9db4WNibcWgeZeL4Z91xw9u9pRin6,9,6,1,62198,413492536728845615117,0,9iFER3bpjf1PTTCQCfTRu17EJgvsxo9pVyA9QWwEuX4x,3,true,0.92,
GDsjjQ7MbP5XdumrELnXNZC7e9rF3gHbY3AVPi4ZL4Kw,So11111111111111111111111111111111111111112,8dX5QcqufwKu8kt8Bc4xYhu15yHC2KdM9AnvE8Kpo5wc,9,6,1,49008,213827226925932161683,5823049544813,9iFER3bpjf1PTTCQCfTRu17EJgvsxo9pVyA9QWwEuX4x,3,true,0.92,
3C4Z6Kiq33JYcxTMj4jMfhmoS4TwFvEtahwuaw7JLfwP,So11111111111111111111111111111111111111112,Fyh7ut7VC6t5ZAhLzvMEziBFZSd4SLvddDSZWRFBPAKB,9,6,1,49861,223143387428759582102,5730896234376,9iFER3bpjf1PTTCQCfTRu17EJgvsxo9pVyA9QWwEuX4x,3,true,0.92,
6kT4MhDqKrkWikaGpFCvYsk45BUKXEe2gTpNGAR1YcjS,So11111111111111111111111111111111111111112,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,9,6,10,-26393,4929883570609914987,217510121000,HfERMT5DRA6C1TAqecrJQFpmkf3wsWTMncqnj3RDg5aw,3,true,0.92,
56Gd9Vtg5RsAzetUYnccttnSzyb13GDfwr5kjastymLq,So11111111111111111111111111111111111111112,3NVA5nD26aEDHvvXZYzDKV9xMsDejVssHK2gKJ4Efk6P,9,6,1,50095,225776309577133001480,5227891656398,9iFER3bpjf1PTTCQCfTRu17EJgvsxo9pVyA9QWwEuX4x,3,true,0.92,
7FEkYZJG2VUQZNqSmZDLH9Unnwkge8UwzXissKXCXUxZ,So11111111111111111111111111111111111111112,5qYhmiqNSVaGnZecaWg4AgTw6YbJtRTwvuuVFLvhSgwz,9,6,1,69385,592278904420877528669,5703648149478,9iFER3bpjf1PTTCQCfTRu17EJgvsxo9pVyA9QWwEuX4x,3,true,0.92,
EGwhdSXnSDVd3jBVafgFZR1KCZXQqRr23LQagpWsK1W4,So11111111111111111111111111111111111111112,G9Z2s4NhzD4vbBGKSHvUk6p5Z6KvH8GqgyQi6W7cCmky,9,6,1,49672,221051031073472581835,6027866415348,9iFER3bpjf1PTTCQCfTRu17EJgvsxo9pVyA9QWwEuX4x,3,true,0.92,
5Guq7ooZFtNju48kVNRzCVJmE9erW4DPcTQyrAk3z4UE,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,J6pQQ3FAcJQeWPPGppWRb4nM8jU3wLyYbRrLh7feMfvd,6,8,1,71482,657755456892393582172,12400498354210,3XCQJQryqpDvvZBfGxR7CLAw5dpGJ9aa7kt1jRLdyxuZ,3,true,0.92,
DKf8fsQHRBKoh4opHmLyi9nMjMsdRgbP7DnoagvC9oFM,So11111111111111111111111111111111111111112,GF7tfdujzXaWyKGjoi4zv2EGkGTou22wy67oSPNnsd1J,9,6,1,58257,339542465388115078796,5876013699895,9iFER3bpjf1PTTCQCfTRu17EJgvsxo9pVyA9QWwEuX4x,3,true,0.92,
G4LTmHVnARsAmjDYAVukjPoMwae5AVhwWdWpHCjhJcqc,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,J6pQQ3FAcJQeWPPGppWRb4nM8jU3wLyYbRrLh7feMfvd,6,8,1,71486,657901485716745644065,234554206012,9iFER3bpjf1PTTCQCfTRu17EJgvsxo9pVyA9QWwEuX4x,3,true,0.92,
FBv7PtQ9FH1NepbVCh4ojZEKXa15jLQBreuxMeT9uERb,So11111111111111111111111111111111111111112,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,9,6,1,-26394,4929750108229738826,15130535891,9EeWRCL8CJnikDFCDzG8rtmBs5KQR1jEYKCR5rRZ2NEi,3,true,0.92,
EZVkeboWeXygtq8LMyENHyXdF5wpYrtExRNH9UwB1qYw,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,So11111111111111111111111111111111111111112,6,9,10,9541,29723131561117539495,475444776200,HfERMT5DRA6C1TAqecrJQFpmkf3wsWTMncqnj3RDg5aw,3,true,0.92,
7mBfKwvW2v96GgCNJHpXaq31biSiUgo1kwRERbxLTYo3,So11111111111111111111111111111111111111112,BPxxfRCXkUVhig4HS1Lh7kZqV6SPJhzfEk4x6fVBjPCy,9,9,1,55472,295413316293377558698,641209486500,3XCQJQryqpDvvZBfGxR7CLAw5dpGJ9aa7kt1jRLdyxuZ,3,true,0.92,
