pool_address,name,base_symbol,quote_symbol,vol24h_usd,reserve_usd,source_type,source_url,source_confidence,selected_for_chain_verify
8PAzHAfogA9E1PFtrscrWZhqYqQPV5xJuvsWh2hRBLDp,POON / SOL,POON,SOL,358187.68,77229.33,GeckoTerminal,https://www.geckoterminal.com/solana/pools/8PAzHAfogA9E1PFtrscrWZhqYqQPV5xJuvsWh2hRBLDp,B,True
58oQChx4yWmvKdwLLZzBi4ChoCc2fqCUWBkwMihLYQo2,SOL / USDC,SOL,USDC,3485765.45,8540399.33,GeckoTerminal,https://www.geckoterminal.com/solana/pools/58oQChx4yWmvKdwLLZzBi4ChoCc2fqCUWBkwMihLYQo2,B,True
vs6XUbGcVWG75Gv81qvDMBxkQ67Kr2eLrFNDTrCxxwk,YZai / SOL,YZai,SOL,530797.86,40627.17,GeckoTerminal,https://www.geckoterminal.com/solana/pools/vs6XUbGcVWG75Gv81qvDMBxkQ67Kr2eLrFNDTrCxxwk,B,True
H6CSKrr4PKGRWStpsLLXyDf74E1a9wukNXkH3tSWDVv5,SPACEX / SOL,SPACEX,SOL,954334.78,115729.05,GeckoTerminal,https://www.geckoterminal.com/solana/pools/H6CSKrr4PKGRWStpsLLXyDf74E1a9wukNXkH3tSWDVv5,B,True
69XA6cVnRNecPpxjxXhXjtFX6johgz3NuTnGTr7uxaZE,Maa / SOL,Maa,SOL,339432.01,69535.01,GeckoTerminal,https://www.geckoterminal.com/solana/pools/69XA6cVnRNecPpxjxXhXjtFX6johgz3NuTnGTr7uxaZE,B,True
HeYqEh2TmvqyXTUdqwQkSs7MjdzydS7NceesjoJu9QXP,SpaceX / SOL,SpaceX,SOL,938224.84,114907.73,GeckoTerminal,https://www.geckoterminal.com/solana/pools/HeYqEh2TmvqyXTUdqwQkSs7MjdzydS7NceesjoJu9QXP,B,True
5zk4vhcPaFboRS16LQejvUDVbzsAjH3NCDrqvumGnTYv,JAM / SOL,JAM,SOL,12947.95,58477.57,GeckoTerminal,https://www.geckoterminal.com/solana/pools/5zk4vhcPaFboRS16LQejvUDVbzsAjH3NCDrqvumGnTYv,B,True
FV6dAmXjGN5fkCtGohyUDctymb8h8KuAzZRXUzXiDRLy,SPCX / SOL,SPCX,SOL,594603.04,125785.51,GeckoTerminal,https://www.geckoterminal.com/solana/pools/FV6dAmXjGN5fkCtGohyUDctymb8h8KuAzZRXUzXiDRLy,B,True
E9Z1U9ygQcgmCFinba9uTVdSTVwUy2smo34yGPaPB99q,SPCX / SOL,SPCX,SOL,414174.95,64.42,GeckoTerminal,https://www.geckoterminal.com/solana/pools/E9Z1U9ygQcgmCFinba9uTVdSTVwUy2smo34yGPaPB99q,B,True
GCgn1NEtxZaNRVfZFno1W1Br5VdvUg7MYSxDCgSRFSM4,LIZARD / SOL,LIZARD,SOL,7077.79,38713.62,GeckoTerminal,https://www.geckoterminal.com/solana/pools/GCgn1NEtxZaNRVfZFno1W1Br5VdvUg7MYSxDCgSRFSM4,B,True
Q2sPHPdUWFMg7M7wwrQKLrn619cAucfRsmhVJffodSp,USELESS / SOL,USELESS,SOL,1340661.62,2284332.09,GeckoTerminal,https://www.geckoterminal.com/solana/pools/Q2sPHPdUWFMg7M7wwrQKLrn619cAucfRsmhVJffodSp,B,True
fAjTnZ9QqJkUmrr8cXutkYhpVge2qqtSZNt9qKn7YC2,SOL / USDC,SOL,USDC,441.56,44.69,GeckoTerminal,https://www.geckoterminal.com/solana/pools/fAjTnZ9QqJkUmrr8cXutkYhpVge2qqtSZNt9qKn7YC2,B,True
GdxFycQMfy5g1m1Ax2ViF8ZPAv22i27GSza7m9d6Cq4A,TLOOP / SOL,TLOOP,SOL,40432.09,46654.91,GeckoTerminal,https://www.geckoterminal.com/solana/pools/GdxFycQMfy5g1m1Ax2ViF8ZPAv22i27GSza7m9d6Cq4A,B,True
J3b6dvheS2Y1cbMtVz5TCWXNegSjJDbUKxdUVDPoqmS7,arc / SOL,arc,SOL,1207604.44,3767270.47,GeckoTerminal,https://www.geckoterminal.com/solana/pools/J3b6dvheS2Y1cbMtVz5TCWXNegSjJDbUKxdUVDPoqmS7,B,True
AEZjoUACNSpmYHHRNbfknjL8oiBDw6GhtrMm7tZgBfca,IDLE / SOL,IDLE,SOL,203797.93,372464.23,GeckoTerminal,https://www.geckoterminal.com/solana/pools/AEZjoUACNSpmYHHRNbfknjL8oiBDw6GhtrMm7tZgBfca,B,True
ATH32pbLRupjq8YNUHQWaJbgBbGPRbrw2GZw5jdZXiRr,PBTC / SOL,PBTC,SOL,191448.34,321603.37,GeckoTerminal,https://www.geckoterminal.com/solana/pools/ATH32pbLRupjq8YNUHQWaJbgBbGPRbrw2GZw5jdZXiRr,B,True
WJdNTzaGAShnStPKNwr7HTU7DDjpghEteb7AvYiYCuY,SOLADEG / USDC,SOLADEG,USDC,127599.98,0.00,GeckoTerminal,https://www.geckoterminal.com/solana/pools/WJdNTzaGAShnStPKNwr7HTU7DDjpghEteb7AvYiYCuY,B,True
9t1H1uDJ558iMPNkEPSN1fqkpC4XSPQ6cqSf6uEsTfTR,SPX / SOL,SPX,SOL,367929.50,1546551.38,GeckoTerminal,https://www.geckoterminal.com/solana/pools/9t1H1uDJ558iMPNkEPSN1fqkpC4XSPQ6cqSf6uEsTfTR,B,True
9Tb2ohu5P16BpBarqd3N27WnkF51Ukfs8Z1GzzLDxVZW,GOAT / SOL,GOAT,SOL,791866.60,1202706.43,GeckoTerminal,https://www.geckoterminal.com/solana/pools/9Tb2ohu5P16BpBarqd3N27WnkF51Ukfs8Z1GzzLDxVZW,B,True
DmAsjXoceoL5vTKZbYpTpXPo7MKm16FMfNMm3PJFiUha,Ban / SOL,Ban,SOL,679891.49,2403857.13,GeckoTerminal,https://www.geckoterminal.com/solana/pools/DmAsjXoceoL5vTKZbYpTpXPo7MKm16FMfNMm3PJFiUha,B,True
3bC2e2RxcfvF9oP22LvbaNsVwoS2T98q6ErCRoayQYdq,jellyjelly / SOL,jellyjelly,SOL,1151173.74,4166134.48,GeckoTerminal,https://www.geckoterminal.com/solana/pools/3bC2e2RxcfvF9oP22LvbaNsVwoS2T98q6ErCRoayQYdq,B,True
7XawhbbxtsRcQA8KTkHT9f9nc6d69UwqCDh6U5EEbEmX,SOL / USDT,SOL,USDT,150840.64,636616.34,GeckoTerminal,https://www.geckoterminal.com/solana/pools/7XawhbbxtsRcQA8KTkHT9f9nc6d69UwqCDh6U5EEbEmX,B,True
3sjNoCnkkhWPVXYGDtem8rCciHSGc9jSFZuUAzKbvRVp,ZEREBRO / SOL,ZEREBRO,SOL,596041.96,2098327.20,GeckoTerminal,https://www.geckoterminal.com/solana/pools/3sjNoCnkkhWPVXYGDtem8rCciHSGc9jSFZuUAzKbvRVp,B,True
GBnkXkgmdrziTdL8Hk8fYL1DsFcWMH16GPZL92Zh5dyJ,SOL / USDC,SOL,USDC,149.73,47.91,GeckoTerminal,https://www.geckoterminal.com/solana/pools/GBnkXkgmdrziTdL8Hk8fYL1DsFcWMH16GPZL92Zh5dyJ,B,True
95512Hcjd8ZkjyYninGBBuhwsLrA5sF3Xto8ehtEwyXb,PEPE / SOL,PEPE,SOL,678.33,28469.56,GeckoTerminal,https://www.geckoterminal.com/solana/pools/95512Hcjd8ZkjyYninGBBuhwsLrA5sF3Xto8ehtEwyXb,B,True
BnhdaKxzBs77bccorKagWLMWwcAJHXS82M9xS4WyQtdP,DOGM / SOL,DOGM,SOL,1281.44,26775.15,GeckoTerminal,https://www.geckoterminal.com/solana/pools/BnhdaKxzBs77bccorKagWLMWwcAJHXS82M9xS4WyQtdP,B,True
4xxM4cdb6MEsCxM52xvYqkNbzvdeWWsPDZrBcTqVGUar,GIGA / SOL,GIGA,SOL,413043.84,1460449.48,GeckoTerminal,https://www.geckoterminal.com/solana/pools/4xxM4cdb6MEsCxM52xvYqkNbzvdeWWsPDZrBcTqVGUar,B,True
FHgo7c6nQ5zy2StrW2ieBzYwNvUBvQTQDtQVshmc6XJN,SOL / USDT,SOL,USDT,121.81,32.82,GeckoTerminal,https://www.geckoterminal.com/solana/pools/FHgo7c6nQ5zy2StrW2ieBzYwNvUBvQTQDtQVshmc6XJN,B,True
HCeas2dbSrCrHNuzBVpkuaSz7X3oVu9ekzxMc5ZDsZ4j,PYTHIA / SOL,PYTHIA,SOL,55668.43,1082039.71,GeckoTerminal,https://www.geckoterminal.com/solana/pools/HCeas2dbSrCrHNuzBVpkuaSz7X3oVu9ekzxMc5ZDsZ4j,B,True
C3KrnLguJ59pEwpTC3BHhqLu7RNvSLhy8CpnpQAeP61X,KM / SOL,KM,SOL,86580.96,157531.53,GeckoTerminal,https://www.geckoterminal.com/solana/pools/C3KrnLguJ59pEwpTC3BHhqLu7RNvSLhy8CpnpQAeP61X,B,True
BmsZE6TkZYskyS1PatPKRyyazGdxWFxdia4BuvLg9AgY,Bert / SOL,Bert,SOL,589388.54,855751.76,GeckoTerminal,https://www.geckoterminal.com/solana/pools/BmsZE6TkZYskyS1PatPKRyyazGdxWFxdia4BuvLg9AgY,B,True
HA5qY3WEV9njZFSTSomb3V58ee1oBo8jsThKj2JNmkkV,NUTZ / SOL,NUTZ,SOL,9182.25,2478.03,GeckoTerminal,https://www.geckoterminal.com/solana/pools/HA5qY3WEV9njZFSTSomb3V58ee1oBo8jsThKj2JNmkkV,B,True
HL4KFTfhZZMm7NGefszQxzJ3M6CaDWE7TesyuRuQYmMJ,swarms / SOL,swarms,SOL,629313.05,1066698.70,GeckoTerminal,https://www.geckoterminal.com/solana/pools/HL4KFTfhZZMm7NGefszQxzJ3M6CaDWE7TesyuRuQYmMJ,B,True
4AZRPNEfCJ7iw28rJu5aUyeQhYcvdcNm8cswyL51AY9i,Pnut / SOL,Pnut,SOL,294346.39,2613195.63,GeckoTerminal,https://www.geckoterminal.com/solana/pools/4AZRPNEfCJ7iw28rJu5aUyeQhYcvdcNm8cswyL51AY9i,B,True
B361KTCEWMWcfUhcfHtePXNLE7XNWh9DwW29vVoHopWj,A-10 / SOL,A-10,SOL,14385.10,3139.55,GeckoTerminal,https://www.geckoterminal.com/solana/pools/B361KTCEWMWcfUhcfHtePXNLE7XNWh9DwW29vVoHopWj,B,True
6UmmUiYoBjSrhakAobJw8BvkmJtDVxaeBtbt7rxWo1mg,RAY / USDC,RAY,USDC,489417.61,3716115.70,GeckoTerminal,https://www.geckoterminal.com/solana/pools/6UmmUiYoBjSrhakAobJw8BvkmJtDVxaeBtbt7rxWo1mg,B,True
5NwVQbxTgdbgvttGmdEAf5oqdzDN6bRPciszDmh2U3fE,USD1 / Real,USD1,Real,16024.63,187846.07,GeckoTerminal,https://www.geckoterminal.com/solana/pools/5NwVQbxTgdbgvttGmdEAf5oqdzDN6bRPciszDmh2U3fE,B,True
GaPTvXuog95vxJii7qwvfNVNdpgAcEmjFqYdZnxxgzLV,FCOD / SOL,FCOD,SOL,1414.80,56709.95,GeckoTerminal,https://www.geckoterminal.com/solana/pools/GaPTvXuog95vxJii7qwvfNVNdpgAcEmjFqYdZnxxgzLV,B,True
58fzJMbX5PatnfJPqWWsqkVFPRKptkbb5r2vCw4Qq3z9,VINE / SOL,VINE,SOL,469254.91,1530120.61,GeckoTerminal,https://www.geckoterminal.com/solana/pools/58fzJMbX5PatnfJPqWWsqkVFPRKptkbb5r2vCw4Qq3z9,B,True
DSUvc5qf5LJHHV5e2tD184ixotSnCnwj7i4jJa4Xsrmt,BOME / SOL,BOME,SOL,935531.96,9153256.11,GeckoTerminal,https://www.geckoterminal.com/solana/pools/DSUvc5qf5LJHHV5e2tD184ixotSnCnwj7i4jJa4Xsrmt,B,True
EP2ib6dYdEeqD8MfE2ezHCxX3kP3K2eLKkirfPm5eyMx,$WIF / SOL,$WIF,SOL,835678.96,4405942.61,GeckoTerminal,https://www.geckoterminal.com/solana/pools/EP2ib6dYdEeqD8MfE2ezHCxX3kP3K2eLKkirfPm5eyMx,B,True
8WwcNqdZjCY5Pt7AkhupAFknV2txca9sq6YBkGzLbvdt,pippin / SOL,pippin,SOL,637808.67,2820887.13,GeckoTerminal,https://www.geckoterminal.com/solana/pools/8WwcNqdZjCY5Pt7AkhupAFknV2txca9sq6YBkGzLbvdt,B,True
Bzc9NZfMqkXR6fz1DBph7BDf9BroyEf6pnzESP7v5iiw,Fartcoin / SOL,Fartcoin,SOL,858044.45,5882409.13,GeckoTerminal,https://www.geckoterminal.com/solana/pools/Bzc9NZfMqkXR6fz1DBph7BDf9BroyEf6pnzESP7v5iiw,B,True
FyDF3vKQFbcvNTsBi7L7LremrFPmXKbQqgAgnPg1hXXd,ALCH / SOL,ALCH,SOL,263679.70,3117178.31,GeckoTerminal,https://www.geckoterminal.com/solana/pools/FyDF3vKQFbcvNTsBi7L7LremrFPmXKbQqgAgnPg1hXXd,B,True
gyYigqG8vdEMkDNTTVL6at2msbHdTDWyb6bccyR238U,wNEAR / USDC,wNEAR,USDC,305198.62,427867.31,GeckoTerminal,https://www.geckoterminal.com/solana/pools/gyYigqG8vdEMkDNTTVL6at2msbHdTDWyb6bccyR238U,B,True
879F697iuDJGMevRkRcnW21fcXiAeLJK1ffsw2ATebce,MEW / SOL,MEW,SOL,401699.81,7371004.44,GeckoTerminal,https://www.geckoterminal.com/solana/pools/879F697iuDJGMevRkRcnW21fcXiAeLJK1ffsw2ATebce,B,True
HBS7a3br8GMMWuqVa7VB3SMFa7xVi1tSFdoF5w4ZZ3kS,POPCAT / USDC,POPCAT,USDC,124788.35,591244.78,GeckoTerminal,https://www.geckoterminal.com/solana/pools/HBS7a3br8GMMWuqVa7VB3SMFa7xVi1tSFdoF5w4ZZ3kS,B,True
93tjgwff5Ac5ThyMi8C4WejVVQq4tuMeMuYW1LEYZ7bu,CHILLGUY / SOL,CHILLGUY,SOL,256690.70,958497.45,GeckoTerminal,https://www.geckoterminal.com/solana/pools/93tjgwff5Ac5ThyMi8C4WejVVQq4tuMeMuYW1LEYZ7bu,B,True
9sypFyB2B6fZKCTLwDKVeRjUgdKB8gk41qgQeY9kU4A2,SERIOUS / USD1,SERIOUS,USD1,63414.80,93189.24,GeckoTerminal,https://www.geckoterminal.com/solana/pools/9sypFyB2B6fZKCTLwDKVeRjUgdKB8gk41qgQeY9kU4A2,B,True
6CM7VMuNAmL8kSSUs5C12nRtp25qsqaoPtX3uPdSmsJd,0577ww / SOL,0577ww,SOL,0.02,21.07,GeckoTerminal,https://www.geckoterminal.com/solana/pools/6CM7VMuNAmL8kSSUs5C12nRtp25qsqaoPtX3uPdSmsJd,B,True
3ZQPHrpt5QSM1s4V2Ha8nYBgSSsrjLzuEHZeyZjw2af9,MNSRY / SOL,MNSRY,SOL,20246.79,218341.59,GeckoTerminal,https://www.geckoterminal.com/solana/pools/3ZQPHrpt5QSM1s4V2Ha8nYBgSSsrjLzuEHZeyZjw2af9,B,True
HvTqPhon66Vu9sTRThMsBH7tR9Jm3xE5ma89sAeSpwfe,Coinomi / SOL,Coinomi,SOL,15226.84,76332.19,GeckoTerminal,https://www.geckoterminal.com/solana/pools/HvTqPhon66Vu9sTRThMsBH7tR9Jm3xE5ma89sAeSpwfe,B,True
DVa7Qmb5ct9RCpaU7UTpSaf3GVMYz17vNVU67XpdCRut,RAY / USDT,RAY,USDT,120175.71,942817.21,GeckoTerminal,https://www.geckoterminal.com/solana/pools/DVa7Qmb5ct9RCpaU7UTpSaf3GVMYz17vNVU67XpdCRut,B,True
