pool_address,owner,owner_is_raydium_cpmm,data_len,verified,duplicate,selected_for_sdk_decode,invalid_reason
vs6XUbGcVWG75Gv81qvDMBxkQ67Kr2eLrFNDTrCxxwk,675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8,True,752,True,False,True,
E9Z1U9ygQcgmCFinba9uTVdSTVwUy2smo34yGPaPB99q,675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8,True,752,True,False,True,
5zk4vhcPaFboRS16LQejvUDVbzsAjH3NCDrqvumGnTYv,CPMMoo8L3F4NbTegBCKVNunggL7H1ZpdTHKxQB5qKP1C,False,637,False,False,False,owner_not_raydium_amm_v4: CPMMoo8L3F4NbTegBCKVNunggL7H1ZpdTHKxQB5qKP1C
H6CSKrr4PKGRWStpsLLXyDf74E1a9wukNXkH3tSWDVv5,675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8,True,752,True,False,True,
8PAzHAfogA9E1PFtrscrWZhqYqQPV5xJuvsWh2hRBLDp,675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8,True,752,True,False,True,
GCgn1NEtxZaNRVfZFno1W1Br5VdvUg7MYSxDCgSRFSM4,CPMMoo8L3F4NbTegBCKVNunggL7H1ZpdTHKxQB5qKP1C,False,637,False,False,False,owner_not_raydium_amm_v4: CPMMoo8L3F4NbTegBCKVNunggL7H1ZpdTHKxQB5qKP1C
HeYqEh2TmvqyXTUdqwQkSs7MjdzydS7NceesjoJu9QXP,675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8,True,752,True,False,True,
Q2sPHPdUWFMg7M7wwrQKLrn619cAucfRsmhVJffodSp,CPMMoo8L3F4NbTegBCKVNunggL7H1ZpdTHKxQB5qKP1C,False,637,False,False,False,owner_not_raydium_amm_v4: CPMMoo8L3F4NbTegBCKVNunggL7H1ZpdTHKxQB5qKP1C
69XA6cVnRNecPpxjxXhXjtFX6johgz3NuTnGTr7uxaZE,675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8,True,752,True,False,True,
GdxFycQMfy5g1m1Ax2ViF8ZPAv22i27GSza7m9d6Cq4A,CPMMoo8L3F4NbTegBCKVNunggL7H1ZpdTHKxQB5qKP1C,False,637,False,False,False,owner_not_raydium_amm_v4: CPMMoo8L3F4NbTegBCKVNunggL7H1ZpdTHKxQB5qKP1C
FV6dAmXjGN5fkCtGohyUDctymb8h8KuAzZRXUzXiDRLy,675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8,True,752,True,False,True,
WJdNTzaGAShnStPKNwr7HTU7DDjpghEteb7AvYiYCuY,CPMMoo8L3F4NbTegBCKVNunggL7H1ZpdTHKxQB5qKP1C,False,637,False,False,False,owner_not_raydium_amm_v4: CPMMoo8L3F4NbTegBCKVNunggL7H1ZpdTHKxQB5qKP1C
ATH32pbLRupjq8YNUHQWaJbgBbGPRbrw2GZw5jdZXiRr,675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8,True,752,True,False,True,
