pool_address,token_a,token_b,token_a_decimals,token_b_decimals,reserve_a_raw,reserve_b_raw,lp_mint,lp_supply,fee_bps,protocol_fee_bps,open_time,sdk_decode_success,confidence,invalid_reason
vs6XUbGcVWG75Gv81qvDMBxkQ67Kr2eLrFNDTrCxxwk,So11111111111111111111111111111111111111112,FAvcukSp4CnPhHM9SPYJNMnnqBM95gryKR8aWe3jpump,9,6,283883914378,62194795966214,ApBXn42TDjY6knQhTpNZKc4yKX9FTymZSL12wWaQ94fK,4043044498982,25,25,0,true,0.92,
E9Z1U9ygQcgmCFinba9uTVdSTVwUy2smo34yGPaPB99q,DZqNm1Lpp1ZzyZKiZucVYkLc3ZUgyx6pCxCbcoTsyQM7,So11111111111111111111111111111111111111112,6,9,24015331431372292,450610570,CyXfmQk4xBY42g8LVCZV56KFUgvwYHFPasr6LhknWyYQ,3162277660168,25,25,1780402456,true,0.92,
H6CSKrr4PKGRWStpsLLXyDf74E1a9wukNXkH3tSWDVv5,F4zGgnjRmRVibNkcEs4fT86iVhpt1Q7smaimUjqRcMKv,So11111111111111111111111111111111111111112,6,9,13078430436875,814971302725,8dhRrBS9jprok8vfYGkZz8xzETmTwC8GoMyQ8nHeQht4,3162277660168,25,25,1780391455,true,0.92,
8PAzHAfogA9E1PFtrscrWZhqYqQPV5xJuvsWh2hRBLDp,So11111111111111111111111111111111111111112,NAkETcHkZBdmnYsKiBHGDEuvGSUK3kpknogcXqmpump,9,6,540296010044,34559002821201,56gi9BVCFHrduvAnnupwrfzdtwi7SWYhCtkfBeqjU2Va,4043044495323,25,25,0,true,0.92,
HeYqEh2TmvqyXTUdqwQkSs7MjdzydS7NceesjoJu9QXP,6K3bvn8JYNiZob8jJqRU96xEEjLMKjP5PoQWbRCCGTAQ,So11111111111111111111111111111111111111112,6,9,12902860654161,805328546580,5kVr3972SxwFeqk7Mk1FZtUi45ScRS7Hc4JLNiQ3Rwk7,3162277660168,25,25,1780465724,true,0.92,
69XA6cVnRNecPpxjxXhXjtFX6johgz3NuTnGTr7uxaZE,So11111111111111111111111111111111111111112,BHiVUHns5sR4JE9tYXagBLEeSZ9sEVsJ5Qmpyterpump,9,6,466894201413,39005487034001,7p7NtX3yzhWLAHKNJfMHL5w6QL2Uzvgg1SizYzCAcjEF,4043044497626,25,25,0,true,0.92,
FV6dAmXjGN5fkCtGohyUDctymb8h8KuAzZRXUzXiDRLy,5ns2uiWq3kzkbkRfRPCVLqEdTLL45BP6XUdMXT7gAMpF,So11111111111111111111111111111111111111112,6,9,11592190284330,882657365572,GRnrfvPkPudqxawKiMbeyD4wUogG7nUP6WbtKpdRc6c6,3162277660168,25,25,1780496625,true,0.92,
ATH32pbLRupjq8YNUHQWaJbgBbGPRbrw2GZw5jdZXiRr,HfMbPyDdZH6QMaDDUokjYCkHxzjoGBMpgaUvpLWGbF5p,So11111111111111111111111111111111111111112,9,9,371488037208450,2253394781494,59zMiSBdc3roxsMHoW3tVCwjUTmrxXrXbPqFS4z5rc31,7939888496789,25,25,1733339407,true,0.92,
58oQChx4yWmvKdwLLZzBi4ChoCc2fqCUWBkwMihLYQo2,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,9,6,59761251598362,4269755363561,8HoQnePLqPj4M7PUDzfw8e3Ymdwgc7NLGnaTUapubyvu,50674335682686,25,25,0,true,0.92,
9t1H1uDJ558iMPNkEPSN1fqkpC4XSPQ6cqSf6uEsTfTR,J3NKxxXZcnNiMjKw9hYb2K4LUxgwB6t1FtPtQVsv3KFr,So11111111111111111111111111111111111111112,8,9,230942294001013,10819035674109,CRnqkeC1Lt8ipcfsuaAEZvbiB7jpfMx9Ze7YDt7fxaEU,10219311522806,25,25,1703129876,true,0.92,
J3b6dvheS2Y1cbMtVz5TCWXNegSjJDbUKxdUVDPoqmS7,So11111111111111111111111111111111111111112,61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump,9,6,26283881288562,25521445185224,3fuzDZXEFWCHyNSTymTHZUUUfHYaZ86DxAXz85CrxfP2,4054753570842,25,25,0,true,0.92,
9Tb2ohu5P16BpBarqd3N27WnkF51Ukfs8Z1GzzLDxVZW,So11111111111111111111111111111111111111112,CzLSujWBLFsSjncfkh59rUFqvafWcY5tzedWJSuypump,9,6,8397474515503,39837351967733,8FsRCL1oJxzgFUyan5PdjiXpS1b39u6ZJDcFyUfnmJVM,4053591512173,25,25,0,true,0.92,
7XawhbbxtsRcQA8KTkHT9f9nc6d69UwqCDh6U5EEbEmX,So11111111111111111111111111111111111111112,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,9,6,4445492341707,318390010745,Epm4KfTj4DMrvqn6Bwg2Tr2N8vhQuNbuK8bESFp4k33K,2353497210716,25,25,0,true,0.92,
DmAsjXoceoL5vTKZbYpTpXPo7MKm16FMfNMm3PJFiUha,So11111111111111111111111111111111111111112,9PR7nCP9DpcUotnDPVLUBUZKu5WAYkwrCUx9wDnSpump,9,6,16769838683553,16607434256176,2gWKk55LgLMj3Fi2SGUeBkMiJR3yjN8Qvcjpf5XKZ83G,4043574543162,25,25,0,true,0.92,
95512Hcjd8ZkjyYninGBBuhwsLrA5sF3Xto8ehtEwyXb,So11111111111111111111111111111111111111112,21Dt6Ne2tQ8wQ5j6G2zahtF1tskJqRmtSaaSwXjyBJVz,9,6,198932217921,109150409959295,GpWeC6cXRoRqM52VXvd5pxxCVQq5uTBqz3xV44sveoni,4043044506761,25,25,0,true,0.92,
C3KrnLguJ59pEwpTC3BHhqLu7RNvSLhy8CpnpQAeP61X,So11111111111111111111111111111111111111112,FThrNpdic79XRV6i9aCWQ2UTp7oRQuCXAgUWtZR2cs42,9,6,1101909507397,78435188718364,3dwtW4s1gCsMV85Cwoq2eXsKwGHmSHvbMq233SjwfJWN,4054274734225,25,25,0,true,0.92,
BmsZE6TkZYskyS1PatPKRyyazGdxWFxdia4BuvLg9AgY,So11111111111111111111111111111111111111112,HgBRWfYxEfvPhtqkaeymCQtHCrKE46qQ43pKe8HCpump,9,6,5979068280985,30141187393603,5ps2fLBYW3w7f8gKVbSibTddWXdVs1DY8JWkgMajpMnN,4052202205655,25,25,0,true,0.92,
HCeas2dbSrCrHNuzBVpkuaSz7X3oVu9ekzxMc5ZDsZ4j,So11111111111111111111111111111111111111112,CreiuhfwdWCN5mJbMJtA9bBpYQrQF2tCBuZwSPWfpump,9,6,7567992977427,20392673155460,FM7uj3zyPKa1UwGzdTYCDhY6DNqD1pEsAnRejchmoTvU,4044091749459,25,25,0,true,0.92,
3bC2e2RxcfvF9oP22LvbaNsVwoS2T98q6ErCRoayQYdq,So11111111111111111111111111111111111111112,FeR8VBqNRSUD5NtXAj2n3j1dAHkZHfyDktKuLXD4pump,9,6,29158255534742,35027811162692,EXPqTqmxpMKeYxSrCC2yq4d8kW1d8vNgsQgiMVDiVSiS,4254503433600,25,25,0,true,0.92,
3sjNoCnkkhWPVXYGDtem8rCciHSGc9jSFZuUAzKbvRVp,So11111111111111111111111111111111111111112,8x5VqbHA8D7NkD52uNuS5nnt3PwA8pLD34ymskeSo2Wn,9,6,14638660326483,42417154549867,CD4YTEZ1ThMhGQjFigM7k94mnAgnNC1Euej69hxZWrSw,4077998853236,25,25,0,true,0.92,
4xxM4cdb6MEsCxM52xvYqkNbzvdeWWsPDZrBcTqVGUar,63LfDmNb3MQ8mw9MtZ2To9bEA2M71kZUUGq5tiJxcqj9,So11111111111111111111111111111111111111112,5,9,27240689714803,10218504455847,9uG7xhTE9GJRieQZVYnWUXS6DYgFKpD8WTLS6ZpJ3rYS,3640931960956,25,25,1704403182,true,0.92,
