pool_address,notional_usd,token_in,token_out,amount_in_raw,quote_success,amount_out_raw,price_impact,fee,fee_bps,spot_price,quote_method,low_slippage,confidence,invalid_reason
vs6XUbGcVWG75Gv81qvDMBxkQ67Kr2eLrFNDTrCxxwk,10,So11111111111111111111111111111111111111112,FAvcukSp4CnPhHM9SPYJNMnnqBM95gryKR8aWe3jpump,76923076,True,16806041826,0.00277,192307,25,219.085312045542,constant_product_formula,True,0.85,
vs6XUbGcVWG75Gv81qvDMBxkQ67Kr2eLrFNDTrCxxwk,20,So11111111111111111111111111111111111111112,FAvcukSp4CnPhHM9SPYJNMnnqBM95gryKR8aWe3jpump,153846153,True,33603003794,0.003039,384615,25,219.085312045542,constant_product_formula,True,0.85,
vs6XUbGcVWG75Gv81qvDMBxkQ67Kr2eLrFNDTrCxxwk,100,So11111111111111111111111111111111111111112,FAvcukSp4CnPhHM9SPYJNMnnqBM95gryKR8aWe3jpump,769230769,True,167652697940,0.005189,1923076,25,219.085312045542,constant_product_formula,True,0.85,
vs6XUbGcVWG75Gv81qvDMBxkQ67Kr2eLrFNDTrCxxwk,500,So11111111111111111111111111111111111111112,FAvcukSp4CnPhHM9SPYJNMnnqBM95gryKR8aWe3jpump,3846153846,True,829321393274,0.015801,9615384,25,219.085312045542,constant_product_formula,True,0.85,
E9Z1U9ygQcgmCFinba9uTVdSTVwUy2smo34yGPaPB99q,10,So11111111111111111111111111111111111111112,DZqNm1Lpp1ZzyZKiZucVYkLc3ZUgyx6pCxCbcoTsyQM7,76923076,True,3494349291587757,0.147641,192307,25,53295091.2167291,constant_product_formula,False,0.85,
E9Z1U9ygQcgmCFinba9uTVdSTVwUy2smo34yGPaPB99q,20,So11111111111111111111111111111111111111112,DZqNm1Lpp1ZzyZKiZucVYkLc3ZUgyx6pCxCbcoTsyQM7,153846153,True,6100976425459943,0.25591,384615,25,53295091.2167291,constant_product_formula,False,0.85,
E9Z1U9ygQcgmCFinba9uTVdSTVwUy2smo34yGPaPB99q,100,So11111111111111111111111111111111111111112,DZqNm1Lpp1ZzyZKiZucVYkLc3ZUgyx6pCxCbcoTsyQM7,769230769,True,15130037137015966,0.630941,1923076,25,53295091.2167291,constant_product_formula,False,0.85,
E9Z1U9ygQcgmCFinba9uTVdSTVwUy2smo34yGPaPB99q,500,So11111111111111111111111111111111111111112,DZqNm1Lpp1ZzyZKiZucVYkLc3ZUgyx6pCxCbcoTsyQM7,3846153846,True,21491145286732112,0.895155,9615384,25,53295091.2167291,constant_product_formula,False,0.85,
H6CSKrr4PKGRWStpsLLXyDf74E1a9wukNXkH3tSWDVv5,10,So11111111111111111111111111111111111111112,F4zGgnjRmRVibNkcEs4fT86iVhpt1Q7smaimUjqRcMKv,76923076,True,1231237883,0.002594,192307,25,16.047718972613,constant_product_formula,True,0.85,
H6CSKrr4PKGRWStpsLLXyDf74E1a9wukNXkH3tSWDVv5,20,So11111111111111111111111111111111111111112,F4zGgnjRmRVibNkcEs4fT86iVhpt1Q7smaimUjqRcMKv,153846153,True,2462243980,0.002688,384615,25,16.047718972613,constant_product_formula,True,0.85,
H6CSKrr4PKGRWStpsLLXyDf74E1a9wukNXkH3tSWDVv5,100,So11111111111111111111111111111111111111112,F4zGgnjRmRVibNkcEs4fT86iVhpt1Q7smaimUjqRcMKv,769230769,True,12301955732,0.003438,1923076,25,16.047718972613,constant_product_formula,True,0.85,
