pool_address,token_pair,anchor_token,fee_rate_bps,vol24h_usd,reserve_usd,notional_usd,hold_window,hold_hours,scenario,daily_turnover,gross_fee_usd,il_lvr_cost_usd,total_cost_usd,net_ev_usd,net_ev_pct,quote_ready,confidence,heuristic,scope,invalid_reason
vs6XUbGcVWG75Gv81qvDMBxkQ67Kr2eLrFNDTrCxxwk,YZai/SOL,SOL,25,530797.861693964,40627.1671,10,15m,0.25,zero_il_lvr,0.005,1e-06,0.0,0.003,-0.002999,-0.03,True,0.3,True,raydium_cpmm_readonly_connector,
vs6XUbGcVWG75Gv81qvDMBxkQ67Kr2eLrFNDTrCxxwk,YZai/SOL,SOL,25,530797.861693964,40627.1671,10,15m,0.25,optimistic,0.005,1e-06,0.000104,0.003,-0.003103,-0.031,True,0.3,True,raydium_cpmm_readonly_connector,
vs6XUbGcVWG75Gv81qvDMBxkQ67Kr2eLrFNDTrCxxwk,YZai/SOL,SOL,25,530797.861693964,40627.1671,10,15m,0.25,realistic,0.005,1e-06,0.000521,0.003,-0.00352,-0.0352,True,0.3,True,raydium_cpmm_readonly_connector,
vs6XUbGcVWG75Gv81qvDMBxkQ67Kr2eLrFNDTrCxxwk,YZai/SOL,SOL,25,530797.861693964,40627.1671,10,15m,0.25,conservative,0.005,1e-06,0.002083,0.003,-0.005082,-0.0508,True,0.3,True,raydium_cpmm_readonly_connector,
vs6XUbGcVWG75Gv81qvDMBxkQ67Kr2eLrFNDTrCxxwk,YZai/SOL,SOL,25,530797.861693964,40627.1671,10,30m,0.5,zero_il_lvr,0.005,3e-06,0.0,0.003,-0.002997,-0.03,True,0.3,True,raydium_cpmm_readonly_connector,
vs6XUbGcVWG75Gv81qvDMBxkQ67Kr2eLrFNDTrCxxwk,YZai/SOL,SOL,25,530797.861693964,40627.1671,10,30m,0.5,optimistic,0.005,3e-06,0.000208,0.003,-0.003206,-0.0321,True,0.3,True,raydium_cpmm_readonly_connector,
vs6XUbGcVWG75Gv81qvDMBxkQ67Kr2eLrFNDTrCxxwk,YZai/SOL,SOL,25,530797.861693964,40627.1671,10,30m,0.5,realistic,0.005,3e-06,0.001042,0.003,-0.004039,-0.0404,True,0.3,True,raydium_cpmm_readonly_connector,
vs6XUbGcVWG75Gv81qvDMBxkQ67Kr2eLrFNDTrCxxwk,YZai/SOL,SOL,25,530797.861693964,40627.1671,10,30m,0.5,conservative,0.005,3e-06,0.004167,0.003,-0.007164,-0.0716,True,0.3,True,raydium_cpmm_readonly_connector,
vs6XUbGcVWG75Gv81qvDMBxkQ67Kr2eLrFNDTrCxxwk,YZai/SOL,SOL,25,530797.861693964,40627.1671,10,1h,1,zero_il_lvr,0.005,5e-06,0.0,0.003,-0.002995,-0.0299,True,0.3,True,raydium_cpmm_readonly_connector,
vs6XUbGcVWG75Gv81qvDMBxkQ67Kr2eLrFNDTrCxxwk,YZai/SOL,SOL,25,530797.861693964,40627.1671,10,1h,1,optimistic,0.005,5e-06,0.000417,0.003,-0.003411,-0.0341,True,0.3,True,raydium_cpmm_readonly_connector,
