run_id,pool_id,token_pair,chain,cost_scenario,virtual_notional_usd,quote_method,gas_price_wei,eth_usd,quote_gas_estimate,swap_gas_units,mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,entry_swap_cost_usd,exit_swap_cost_usd,lp_add_fixed_cost_usd,lp_remove_fixed_cost_usd,collect_fixed_cost_usd,total_fixed_cost_usd,proportional_slippage_cost_usd,total_cost_usd,confidence,future_probe_only_fields,invalid_reason,read_only_safe,wallet_or_tx_touched,created_at
20260601_141103,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,base,diagnostic_low,20.0,quoter_v2_staticcall,5100000.0,1981.1232671735268,203739,203739,180000,220000,150000,70000,0.0020585235739864023,0.0020585235739864023,0.004496159254850318,0.002020745732516997,0.000707261006380949,0.007224165993748264,0.026669600000000005,0.03801081314172107,low,"mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,approval_cost",,True,False,1780323337
20260601_141103,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,base,realistic_mid,20.0,quoter_v2_staticcall,6000000.0,1981.1232671735268,203739,203739,220000,280000,190000,95000,0.0024217924399840027,0.0024217924399840027,0.006537706781672638,0.0028528175047298782,0.00112924026228891,0.010519764548691427,0.033337000000000006,0.04870034942865944,medium,"mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,approval_cost",,True,False,1780323337
20260601_141103,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,base,conservative_high,20.0,quoter_v2_staticcall,7200000.0,1981.1232671735268,203739,203739,280000,340000,240000,130000,0.0029061509279808035,0.0029061509279808035,0.009770899953699834,0.0041365853818583235,0.001854331378074421,0.015761816713632578,0.04167125000000001,0.06324536856959419,low,"mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,approval_cost",,True,False,1780323337
20260601_141103,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,base,diagnostic_low,100.0,quoter_v2_staticcall,5100000.0,1981.1232671735268,243431,243431,180000,220000,150000,70000,0.0024595607720617253,0.0024595607720617253,0.004496159254850318,0.002020745732516997,0.000707261006380949,0.007224165993748264,0.12220560000000001,0.13434888753787172,low,"mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,approval_cost",,True,False,1780323337
20260601_141103,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,base,realistic_mid,100.0,quoter_v2_staticcall,6000000.0,1981.1232671735268,243431,243431,220000,280000,190000,95000,0.0028936009083079125,0.0028936009083079125,0.006537706781672638,0.0028528175047298782,0.00112924026228891,0.010519764548691427,0.152757,0.16906396636530727,medium,"mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,approval_cost",,True,False,1780323337
20260601_141103,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,base,conservative_high,100.0,quoter_v2_staticcall,7200000.0,1981.1232671735268,243431,243431,280000,340000,240000,130000,0.0034723210899694954,0.0034723210899694954,0.009770899953699834,0.0041365853818583235,0.001854331378074421,0.015761816713632578,0.19094625,0.21365270889357157,low,"mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,approval_cost",,True,False,1780323337
20260601_141103,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,base,diagnostic_low,500.0,quoter_v2_staticcall,5100000.0,1981.1232671735268,364856,364856,180000,220000,150000,70000,0.003686406024916107,0.003686406024916107,0.004496159254850318,0.002020745732516997,0.000707261006380949,0.007224165993748264,0.9556871999999998,0.9702841780435804,low,"mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,approval_cost",,True,False,1780323337
20260601_141103,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,base,realistic_mid,500.0,quoter_v2_staticcall,6000000.0,1981.1232671735268,364856,364856,220000,280000,190000,95000,0.004336948264607185,0.004336948264607185,0.006537706781672638,0.0028528175047298782,0.00112924026228891,0.010519764548691427,1.1946089999999998,1.2138026610779056,medium,"mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,approval_cost",,True,False,1780323337
20260601_141103,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,base,conservative_high,500.0,quoter_v2_staticcall,7200000.0,1981.1232671735268,364856,364856,280000,340000,240000,130000,0.005204337917528622,0.005204337917528622,0.009770899953699834,0.0041365853818583235,0.001854331378074421,0.015761816713632578,1.4932612499999998,1.5194317425486896,low,"mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,approval_cost",,True,False,1780323337
20260601_141103,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,base,diagnostic_low,1000.0,quoter_v2_staticcall,5100000.0,1981.1232671735268,881775,881775,180000,220000,150000,70000,0.008909215341450874,0.008909215341450874,0.004496159254850318,0.002020745732516997,0.000707261006380949,0.007224165993748264,3.1056912000000003,3.13073379667665,low,"mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,approval_cost",,True,False,1780323337
