pool_id,token_pair,source_tags,position_rows,non_empty_token_id_rows,metadata_rows,tick_range_rows,open_tx_hash_rows,actual_position_lineage_available,token_id_available,tick_range_available,latest_opened_at,latest_closed_at,root_cause
0x160d7e9d948b16c163332a277b393c288408eb12,cbBTC/USDC,precise_quote,0,0,0,0,0,False,False,False,,,no_position_lineage
0x3c4384f3664b37a3cb5a5cb3452b4b4a3aa1256f,0x9126236476EFBA9AD8AB77855C60EB5BF37586EB/USDC,precise_quote,0,0,0,0,0,False,False,False,,,no_position_lineage
0x3f0296bf652e19bca772ec3df08b32732f93014a,VIRTUAL/WETH,precise_quote,0,0,0,0,0,False,False,False,,,no_position_lineage
0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC/USDC,precise_quote,8,0,8,8,4,True,False,True,1780308172,1780308130,missing_token_id
0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,precise_quote,6,0,6,6,3,True,False,True,1780090260,1780090211,missing_token_id
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,"precise_quote,real_cost_model,v3_tick_liquidity",29,0,29,29,20,True,False,True,1780317525,1780317491,missing_token_id
0x7ec6c9d993d9832aa654593f2dbc21303650bc6c,0xACFE6019ED1A7DC6F7B508C02D1B04EC88CC21BF/WETH,precise_quote,0,0,0,0,0,False,False,False,,,no_position_lineage
0x8a8e4170c09074b109352190d47e54d7c1f61e4e,0x8B7DDE054BE9D180C1BE7FAE0874697374A49832/USDC,precise_quote,0,0,0,0,0,False,False,False,,,no_position_lineage
0x9c087eb773291e50cf6c6a90ef0f4500e349b903,VIRTUAL/WETH,"precise_quote,real_cost_model,v3_tick_liquidity",0,0,0,0,0,False,False,False,,,no_position_lineage
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,WETH/USDC,precise_quote,18,0,18,18,15,True,False,True,1780288259,1780288210,missing_token_id
0xb94b22332abf5f89877a14cc88f2abc48c34b3df,cbBTC/USDC,"precise_quote,real_cost_model,v3_tick_liquidity",0,0,0,0,0,False,False,False,,,no_position_lineage
0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,"precise_quote,real_cost_model,v3_tick_liquidity",1,0,1,1,0,True,False,True,1779641197,1779686340,missing_token_id
0xd0b53d9277642d899df5c87a3966a349a798f224,USDC/WETH,"precise_quote,real_cost_model,v3_tick_liquidity",0,0,0,0,0,False,False,False,,,no_position_lineage
