source_table_or_file,pool_id,token_pair,has_pool_id,has_wallet_address_masked,has_token_id,has_tick_lower,has_tick_upper,has_liquidity,has_mint_event,has_increase_liquidity_event,has_decrease_liquidity_event,has_collect_event,has_transfer_event,lineage_type,can_recover_token_id,blocker
positions,0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC/USDC,True,False,False,True,True,False,False,False,False,False,False,simulated_position,no,tick_range_without_token_id_or_owner
position_marks,0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC/USDC,True,False,False,False,False,False,False,False,False,False,False,pool_level_only,no,no_token_id_in_position_marks
canary_events,0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC/USDC,True,False,False,False,False,False,False,False,False,False,False,unknown,no,no_matching_canary_events
canary_exit_preflights,0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC/USDC,True,False,False,False,False,False,False,False,False,False,False,unknown,no,no_matching_canary_exit_preflights
positions,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,True,False,False,True,True,False,False,False,False,False,False,simulated_position,no,tick_range_without_token_id_or_owner
position_marks,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,True,False,False,False,False,False,False,False,False,False,False,pool_level_only,no,no_token_id_in_position_marks
canary_events,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,True,False,False,False,False,False,False,False,False,False,False,unknown,no,no_matching_canary_events
canary_exit_preflights,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,True,False,False,False,False,False,False,False,False,False,False,unknown,no,no_matching_canary_exit_preflights
positions,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,True,False,False,True,True,False,False,False,False,False,False,simulated_position,no,tick_range_without_token_id_or_owner
position_marks,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,True,False,False,False,False,False,False,False,False,False,False,pool_level_only,no,no_token_id_in_position_marks
canary_events,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,True,False,False,False,False,False,False,False,False,False,False,unknown,no,no_matching_canary_events
canary_exit_preflights,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,True,False,False,False,False,False,False,False,False,False,False,unknown,no,no_matching_canary_exit_preflights
positions,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,WETH/USDC,True,False,False,True,True,False,False,False,False,False,False,simulated_position,no,tick_range_without_token_id_or_owner
position_marks,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,WETH/USDC,True,False,False,False,False,False,False,False,False,False,False,pool_level_only,no,no_token_id_in_position_marks
canary_events,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,WETH/USDC,True,False,False,False,False,False,False,False,False,False,False,unknown,no,no_matching_canary_events
canary_exit_preflights,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,WETH/USDC,True,False,False,False,False,False,False,False,False,False,False,unknown,no,no_matching_canary_exit_preflights
positions,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,True,False,False,True,True,False,False,False,False,False,False,simulated_position,no,tick_range_without_token_id_or_owner
position_marks,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,True,False,False,False,False,False,False,False,False,False,False,pool_level_only,no,no_token_id_in_position_marks
canary_events,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,True,False,False,False,False,False,False,False,False,False,False,unknown,no,no_matching_canary_events
canary_exit_preflights,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,True,False,False,False,False,False,False,False,False,False,False,unknown,no,no_matching_canary_exit_preflights
