pool_address,name,base_symbol,quote_symbol,tvl_usd,vol24h_usd,tick_spacing,source_type,source_url,source_confidence,selected_for_chain_verify
Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,,SOL,USDC,32526289.16,230667978.94,4,OrcaOfficial,https://www.orca.so/pools/Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,A,True
FpCMFDFGYotvufJ7HrFHsWEiiQCGbkLCtwHiDnh7o28Q,,SOL,USDC,578844.52,4794650.63,2,OrcaOfficial,https://www.orca.so/pools/FpCMFDFGYotvufJ7HrFHsWEiiQCGbkLCtwHiDnh7o28Q,A,True
4fuUiYxTQ6QCrdSq9ouBYcTM7bqSwYTSyLueGZLTy4T4,,USDC,USDT,1223791.60,4013134.87,1,OrcaOfficial,https://www.orca.so/pools/4fuUiYxTQ6QCrdSq9ouBYcTM7bqSwYTSyLueGZLTy4T4,A,True
FwewVm8u6tFPGewAyHmWAqad9hmF7mvqxK4mJ7iNqqGC,,SOL,USDT,292210.42,1762407.09,2,OrcaOfficial,https://www.orca.so/pools/FwewVm8u6tFPGewAyHmWAqad9hmF7mvqxK4mJ7iNqqGC,A,True
AxqAWNZqozhTn2pkDPgpf5kc5DeBuhLKKNWnt3dLrxdi,,USDS,USDC,422292.49,1732784.24,1,OrcaOfficial,https://www.orca.so/pools/AxqAWNZqozhTn2pkDPgpf5kc5DeBuhLKKNWnt3dLrxdi,A,True
G2u294gm3hBtepUY1dQwGHw5HnD1ab5Ej1YAWpcw9vJi,,USDS,USDT,170522.56,1170396.85,1,OrcaOfficial,https://www.orca.so/pools/G2u294gm3hBtepUY1dQwGHw5HnD1ab5Ej1YAWpcw9vJi,A,True
7qbRF6YsyGuLUVs6Y1q64bdVrfe4ZcUUz1JRdoVNUJnm,,SOL,USDC,521033.77,609189.93,8,OrcaOfficial,https://www.orca.so/pools/7qbRF6YsyGuLUVs6Y1q64bdVrfe4ZcUUz1JRdoVNUJnm,A,True
83v8iPyZihDEjDdY8RdZddyZNyUtXngz69Lgo9Kt5d6d,,SOL,USDC,34757.63,405909.81,1,OrcaOfficial,https://www.orca.so/pools/83v8iPyZihDEjDdY8RdZddyZNyUtXngz69Lgo9Kt5d6d,A,True
21gTfxAnhUDjJGZJDkTXctGFKT8TeiXx6pN1CEg9K1uW,,SOL,USDC,35103.37,67804.55,16,OrcaOfficial,https://www.orca.so/pools/21gTfxAnhUDjJGZJDkTXctGFKT8TeiXx6pN1CEg9K1uW,A,True
AiMZS5U3JMvpdvsr1KeaMiS354Z1DeSg5XjA4yYRxtFf,,mSOL,USDC,100806.73,27708.00,64,OrcaOfficial,https://www.orca.so/pools/AiMZS5U3JMvpdvsr1KeaMiS354Z1DeSg5XjA4yYRxtFf,A,True
B6LL9aCWVuo1tTcJoYvCTDqYrq1vjMfci8uHxsm4UxTR,,SOL,USDT,116408.11,8096.86,8,OrcaOfficial,https://www.orca.so/pools/B6LL9aCWVuo1tTcJoYvCTDqYrq1vjMfci8uHxsm4UxTR,A,True
FPPHjpjBk98pd5Z3xXQuDcrZdUdqfraCRJU8yvdT1ZKR,,USDC,USDT,24805.85,5252.25,2,OrcaOfficial,https://www.orca.so/pools/FPPHjpjBk98pd5Z3xXQuDcrZdUdqfraCRJU8yvdT1ZKR,A,True
HGw4exa5vdxhJHNVyyxhCc6ZwycwHQEVzpRXMDPDAmVP,,bSOL,USDC,8623.73,4516.81,64,OrcaOfficial,https://www.orca.so/pools/HGw4exa5vdxhJHNVyyxhCc6ZwycwHQEVzpRXMDPDAmVP,A,True
HJPjoWUrhoZzkNfRpHuieeFk9WcZWjwy6PBjZ81ngndJ,,SOL,USDC,211629.10,4333.57,64,OrcaOfficial,https://www.orca.so/pools/HJPjoWUrhoZzkNfRpHuieeFk9WcZWjwy6PBjZ81ngndJ,A,True
GEkienhw5Hdm7T2MugwtrzXAipSLNcRurfvgQdAVPSF,,USDC,USDC,700087.68,2953.40,1,OrcaOfficial,https://www.orca.so/pools/GEkienhw5Hdm7T2MugwtrzXAipSLNcRurfvgQdAVPSF,A,True
5zVKUoZcQkFCGcRHVHiyGAJRrZj1by67pW3dmvguFvwd,,SOL,USDT,4821.24,2547.73,64,OrcaOfficial,https://www.orca.so/pools/5zVKUoZcQkFCGcRHVHiyGAJRrZj1by67pW3dmvguFvwd,A,True
8r7y8jgFum6chfi9J4ukzrejW4GHExx9TDnmGQM6wPFv,,SOL,USDT,29422.18,1064.13,128,OrcaOfficial,https://www.orca.so/pools/8r7y8jgFum6chfi9J4ukzrejW4GHExx9TDnmGQM6wPFv,A,True
DFVTutNYXD8z4T5cRdgpso1G3sZqQvMHWpW2N99E4DvE,,SOL,USDC,25787.50,808.84,128,OrcaOfficial,https://www.orca.so/pools/DFVTutNYXD8z4T5cRdgpso1G3sZqQvMHWpW2N99E4DvE,A,True
7xuPLn8Bun4ZGHeD95xYLnPKReKtSe7zfVRzRJWJZVZW,,SOL,USDC,11271.81,577.72,256,OrcaOfficial,https://www.orca.so/pools/7xuPLn8Bun4ZGHeD95xYLnPKReKtSe7zfVRzRJWJZVZW,A,True
spAPmogS9kn7YFp5VcrwP4JBKFkwj4TyX1ens4pMpQJ,,USDC,USDC,699853.77,514.24,1,OrcaOfficial,https://www.orca.so/pools/spAPmogS9kn7YFp5VcrwP4JBKFkwj4TyX1ens4pMpQJ,A,True
7RsgjGLoW1J2YH6wpcnxhN7QZXYxhFz8cf39Ledd8Dmd,,SOL,USDT,38659.30,479.80,16,OrcaOfficial,https://www.orca.so/pools/7RsgjGLoW1J2YH6wpcnxhN7QZXYxhFz8cf39Ledd8Dmd,A,True
7A1R3L7AxcxuZHMJjFgskKGeBR5Rwst3Ai5bv5uAWZFG,,mSOL,USDT,7251.24,396.29,64,OrcaOfficial,https://www.orca.so/pools/7A1R3L7AxcxuZHMJjFgskKGeBR5Rwst3Ai5bv5uAWZFG,A,True
6d4UYGAEs4Akq6py8Vb3Qv5PvMkecPLS1Z9bBCcip2R7,,SOL,USDC,21372.24,152.85,96,OrcaOfficial,https://www.orca.so/pools/6d4UYGAEs4Akq6py8Vb3Qv5PvMkecPLS1Z9bBCcip2R7,A,True
ELqXddRqcnRJXQnqZdPwBXEEBpQ6SEbCQrBe12wpHBU,,USDC,USDT,5855.57,104.03,4,OrcaOfficial,https://www.orca.so/pools/ELqXddRqcnRJXQnqZdPwBXEEBpQ6SEbCQrBe12wpHBU,A,True
9AKTYWHN5qNvgJxJGVUkiLhNh5LBR7c91dS9X6veSSFb,,USDT,USDT,24751.15,0.00,1,OrcaOfficial,https://www.orca.so/pools/9AKTYWHN5qNvgJxJGVUkiLhNh5LBR7c91dS9X6veSSFb,A,True
32D4zRxNc1EssbJieVHfPhZM3rH6CzfUPrWUuWxD9prG,USDC-USDT,USDC,USDT,1048711.18,315982.18,,MeteoraDAMMv2,https://app.meteora.ag/clmm-api/pool/32D4zRxNc1EssbJieVHfPhZM3rH6CzfUPrWUuWxD9prG,B,True
