table_name,row_count,pool_id_column,token_columns,chain_columns,protocol_columns,usable_for_universe,notes
config_snapshots,0,,,,,False,ok
fee_velocity_exit_depth_counterfactual_v1,572160,pool_id,,,,False,ok
fee_velocity_rule_fix_counterfactual_v1,572160,pool_id,,,,False,ok
lp_fee_accrual_readiness_v1,13,pool_id,,,,False,ok
lp_fee_velocity_v1,24,pool_id,,chain,,True,ok
lp_fee_velocity_v2,100,pool_id,,,,False,ok
lp_position_lineage_recovery_v1,0,pool_id,"token0,token1",,,True,ok
lp_precise_quote_v1,200,pool_id,,chain,,True,ok
lp_quote_depth_curve_v2,125,pool_id,,chain,,True,ok
lp_real_fee_accrual_v1,26,pool_id,,,,False,ok
lp_v3_tick_liquidity_snapshot_v1,55,pool_id,"token0,token1",chain,,True,ok
lp_v3_tick_liquidity_snapshot_v2,50,pool_id,"token0,token1",chain,,True,ok
lp_virtual_notional_economics_fee_v2_fixedcost_sensitivity,3000,pool_id,,,,False,ok
lp_virtual_notional_economics_real_fee_lineage_v2_preview,200,pool_id,,,,False,ok
lp_virtual_notional_economics_real_fee_preview_v1,100,pool_id,,,,False,ok
pool_regime_aware_short_hold_counterfactual_v1,218400,pool_id,,,,False,ok
pool_regime_aware_short_hold_entry_safe_v1,95360,pool_id,,,,False,ok
pool_regime_classifier_entry_safe_v1,11920,pool_id,,,,False,ok
pool_regime_classifier_v1,4653,pool_id,,,,False,ok
pool_score_history,460652,pool_id,,chain,,True,ok
pool_token_metadata,104,pool_id,"token0,token1",,,True,ok
pools,151,pool_id,"token0,token1",chain,protocol,True,ok
portfolio_snapshots,0,,,chain,,False,ok
position_marks,0,pool_id,,chain,,True,ok
positions,77,pool_id,,chain,protocol,True,ok
price_snapshots,0,,,,,False,ok
shadow_position_lifecycle_invalid_reason_v1,204,pool_id,,,,False,ok
shadow_position_lifecycle_mark_classification_v1,204,pool_id,,,,False,ok
shadow_position_lifecycle_proof_v1,68,pool_id,,,,False,ok
shadow_position_lifecycle_proof_v2,408,pool_id,,,,False,ok
shadow_position_lifecycle_proof_v3_research,816,pool_id,,,,False,ok
shadow_position_mark_gap_scope_research_v1,19898,pool_id,"token0,token1",,,True,ok
shadow_position_marks,65990,pool_id,,chain,,True,ok
shadow_terminal_position_marks_repaired_v1,0,,,,,False,ok
solana_pool_risk,6,pool_id,,chain,protocol,True,ok
tierc_exit_depth_estimates_v1,15,pool_id,,,,False,ok
tierc_holder_concentration_v1,30,pool_id,,,,False,ok
tierc_market_quality_enrichment_v1,15,pool_id,,,,False,ok
tierc_research_oos_results_v1,1860,pool_id,,,,False,ok
tierc_research_position_marks_v1,1860,pool_id,,,,False,ok
tierc_research_positions_v1,372,pool_id,,,,False,ok
