rank,pool_id,token_pair,inferred_tier,best_notional,best_horizon,net_ev_proxy_usd,net_ev_proxy_pct,break_even_notional_usd,capacity_limit_usd,quote_confidence,fee_confidence,il_lvr_confidence,overall_confidence,candidate_status,reason
1,0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC/USDC,B,20,15m,-0.12195126452649521,-0.0060975632263247604,,791.1669433639287,high,high,high,high,REJECT,fixed_cost_too_high
2,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,B,20,15m,-0.1230025368021713,-0.006150126840108565,,791.1669433639287,high,high,high,high,REJECT,fixed_cost_too_high
3,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,WETH/USDC,A,20,15m,-0.12326954176111067,-0.006163477088055534,,791.1669433639287,high,high,high,high,REJECT,fixed_cost_too_high
4,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,B,20,15m,-0.12334006618822149,-0.006167003309411075,,791.1669433639287,high,high,high,high,REJECT,fixed_cost_too_high
5,0x9a993fc0eec60faaa0c391ff11b840ce16685150,USAD/USDT,B,20,15m,-0.12342063031438998,-0.006171031515719499,,791.1669433639287,high,high,high,high,REJECT,fixed_cost_too_high
6,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,B,20,15m,-0.13216251169925658,-0.006608125584962829,,791.1669433639287,high,high,high,medium,REJECT,fixed_cost_too_high
7,0xd0b53d9277642d899df5c87a3966a349a798f224,USDC/WETH,C,20,15m,,,,870.6946018365137,high,high,low,low,REJECT,il_lvr_too_high
8,0xb94b22332abf5f89877a14cc88f2abc48c34b3df,cbBTC/USDC,B,20,15m,,,,958.2163360413842,high,high,low,low,REJECT,il_lvr_too_high
9,0x160d7e9d948b16c163332a277b393c288408eb12,cbBTC/USDC,B,20,15m,,,,958.2163360413842,high,high,low,low,REJECT,il_lvr_too_high
10,0x8a8e4170c09074b109352190d47e54d7c1f61e4e,0x8B7DDE054BE9D180C1BE7FAE0874697374A49832/USDC,B,20,15m,,,,958.2163360413842,high,high,low,low,REJECT,il_lvr_too_high
11,0x42d4a22cad0f5a49681a5715ce994af73a43b76b,0xCBB7C0000AB88B473B1F5AFD9EF808440EED33BF/0x4200000000000000000000000000000000000006,B,20,15m,,,,958.2163360413842,low,high,low,low,REJECT,il_lvr_too_high
12,0x7ec6c9d993d9832aa654593f2dbc21303650bc6c,0xACFE6019ED1A7DC6F7B508C02D1B04EC88CC21BF/WETH,C,20,15m,,,,958.2163360413842,high,high,low,low,REJECT,il_lvr_too_high
13,0xa41bc0affba7fd420d186b84899d7ab2ac57fcd1,0xFDE4C96C8593536E31F229EA8F37B2ADA2699BB2/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,B,20,15m,,,,958.2163360413842,low,high,low,low,REJECT,il_lvr_too_high
14,0x3f0296bf652e19bca772ec3df08b32732f93014a,VIRTUAL/WETH,B,20,15m,,,,846.9807846433417,high,high,low,low,REJECT,il_lvr_too_high
15,0x0ab02e160f0df68dc049b012c514857306960eae,0x11030F79109269D796FD0FB956D6244E502757F7/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,B,20,15m,,,,907.8972977022147,low,low,low,low,REJECT,fee_too_low
16,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,WETH/cbBTC,C,20,15m,,,,506.8163621957805,low,high,low,low,REJECT,il_lvr_too_high
17,0x3c4384f3664b37a3cb5a5cb3452b4b4a3aa1256f,0x9126236476EFBA9AD8AB77855C60EB5BF37586EB/USDC,C,20,15m,,,,870.6946018365137,high,high,low,low,REJECT,il_lvr_too_high
18,0xc9034c3e7f58003e6ae0c8438e7c8f4598d5acaa,0x4ED4E862860BED51A9570B96D89AF5E1B0EFEFED/0x4200000000000000000000000000000000000006,C,20,15m,,,,870.6946018365137,low,high,low,low,REJECT,il_lvr_too_high
19,0xf1cacd7e005b9337c58aae77bc88d93c635cdf4d,PLAY/USDC,C,20,15m,,,,932.1513353560237,low,high,low,low,REJECT,il_lvr_too_high
20,0x9c087eb773291e50cf6c6a90ef0f4500e349b903,VIRTUAL/WETH,C,20,15m,,,,707.0844483935045,high,high,low,low,REJECT,il_lvr_too_high
21,0xdb7795a08556d75ff1cdae2839d4f81c4e3c7636c40fb8d47c84db361ec63015,0xC3883BA3154DEB530B88656A0CD00185E6BEDB07/USDC,C,20,15m,,,,462.44650876282327,low,high,low,low,REJECT,il_lvr_too_high
22,0xe2444faa67022125a059c19d5737d8e4dad251fa,0x8C0D3ADCF8CE094E1AE437557EC90A6374DC9BDD/0x4200000000000000000000000000000000000006,C,20,15m,,,,462.44650876282327,low,low,low,low,REJECT,fee_too_low
23,0x659be70647b0f63217d60e077f4417b1ecc65064,0x16EE7ECAC70D1028E7712751E2EE6BA808A7DD92/USDC,C,20,15m,,,,635.9127873469879,low,high,low,low,REJECT,il_lvr_too_high
24,0x0fbcaaf346e1b812a63b2cf196841ed7664ae1d4fa3e9fd93b29266801c15f44,0x0B2558BDBC7FFEC0F327FB3579C23DABD1699706/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,C,20,15m,,,,462.44650876282327,low,high,low,low,REJECT,il_lvr_too_high
25,DJNtGuBGEQiUCWE8F981M2C3ZghZt2XLD8f2sQdZ6rsZ,So11111111111111111111111111111111111111112/EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,B,20,15m,,,,,low,low,high,low,REJECT,fee_too_low
