horizon,proof_variant,position_count,completed_count,invalid_count,median_net_pnl_pct,p10_net_pnl_pct,p5_net_pnl_pct,p1_net_pnl_pct,win_rate,top20_vs_bottom20_signal,worst_position_contribution,worst_pool_contribution,confidence_distribution,can_be_clean_proof,can_be_counterfactual_only
6h,v2_strict_baseline,68,42,26,0.11602622180098478,0.021415741698675106,7.133237845380336e-05,-3.7968926830533434,0.9761904761904762,better,1.0,1.0,"{""none"": 26, ""high"": 42}",no,no
6h,v3_active_nearest_position_mark,68,42,26,0.11602622180098478,0.021415741698675106,7.133237845380336e-05,-3.7968926830533434,0.9761904761904762,better,1.0,1.0,"{""none"": 26, ""high"": 42}",no,no
6h,v3_terminal_pool_counterfactual,68,21,47,0.0015068447811756869,-0.011720397769906299,-0.013696166783148557,-0.02262099619652247,0.6190476190476191,better,0.38474693204048693,0.9997543194995836,"{""low"": 21, ""none"": 47}",no,yes
6h,v3_clean_fixed_horizon,68,42,26,0.11602622180098478,0.021415741698675106,7.133237845380336e-05,-3.7968926830533434,0.9761904761904762,better,1.0,1.0,"{""none"": 26, ""high"": 42}",yes,no
12h,v2_strict_baseline,68,40,28,0.05304122177093972,-7.496623900508085,-7.732506535753577,-8.218048987367093,0.6,worse,0.15088595356053777,0.8215449379272465,"{""none"": 28, ""high"": 40}",no,no
12h,v3_active_nearest_position_mark,68,40,28,0.05304122177093972,-7.496623900508085,-7.732506535753577,-8.218048987367093,0.6,worse,0.15088595356053777,0.8215449379272465,"{""none"": 28, ""high"": 40}",no,no
12h,v3_terminal_pool_counterfactual,68,19,49,0.036230916547737024,-0.00851504672132819,-7.5395881044825686,-7.5395881044825686,0.7894736842105263,worse,0.5362813744677656,1.0,"{""low"": 19, ""none"": 49}",no,yes
12h,v3_clean_fixed_horizon,68,40,28,0.05304122177093972,-7.496623900508085,-7.732506535753577,-8.218048987367093,0.6,worse,0.15088595356053777,0.8215449379272465,"{""none"": 28, ""high"": 40}",yes,no
24h,v2_strict_baseline,68,8,60,0.08908574390305546,0.007943368776594184,0.007943368776594184,0.007943368776594184,1.0,better,,,"{""none"": 60, ""high"": 8}",no,no
24h,v3_active_nearest_position_mark,68,8,60,0.08908574390305546,0.007943368776594184,0.007943368776594184,0.007943368776594184,1.0,better,,,"{""none"": 60, ""high"": 8}",no,no
24h,v3_terminal_pool_counterfactual,68,44,24,0.05271242356361938,0.000614608180157461,-0.002206201868105495,-5.4588507141908735,0.9090909090909091,better,0.9997672827003043,0.9997672827003043,"{""low"": 44, ""none"": 24}",no,yes
24h,v3_clean_fixed_horizon,68,8,60,0.08908574390305546,0.007943368776594184,0.007943368776594184,0.007943368776594184,1.0,better,,,"{""none"": 60, ""high"": 8}",yes,no
