Crypto                    installed=Y dist=['pycryptodome'] ver=3.23.0 used_in=1
all                       installed=N dist=None ver= used_in=1
any                       installed=N dist=None ver= used_in=1
canary_events             installed=N dist=None ver= used_in=1
canary_exit_preflights    installed=N dist=None ver= used_in=1
conftest                  installed=N dist=None ver= used_in=1
entry                     installed=N dist=None ver= used_in=1
eth_abi                   installed=N dist=None ver= used_in=6
eth_utils                 installed=Y dist=['eth-utils'] ver=6.0.0 used_in=7
fee_velocity_exit_depth_counterfactual_v1 installed=N dist=None ver= used_in=3
lp_quote_depth_curve_v2   installed=N dist=None ver= used_in=1
pool_regime_classifier_entry_safe_v1 installed=N dist=None ver= used_in=3
pool_score_history        installed=N dist=None ver= used_in=2
pool_universe             installed=N dist=None ver= used_in=1
pools                     installed=N dist=None ver= used_in=6
position_marks            installed=N dist=None ver= used_in=1
positions                 installed=N dist=None ver= used_in=2
price_snapshots           installed=N dist=None ver= used_in=1
probe                     installed=N dist=None ver= used_in=1
psycopg2                  installed=Y dist=['psycopg2'] ver=2.9.9 used_in=10
pytest                    installed=Y dist=['pytest'] ver=7.4.4 used_in=106
requests                  installed=Y dist=['requests'] ver=2.31.0 used_in=6
shadow_position_marks     installed=N dist=None ver= used_in=2
the                       installed=N dist=None ver= used_in=2
