metric,recomputed,reported,diff
sample_count,384,384,0.0
retained_sample_count,287,384,-97.0
baseline_p10,-0.564794633898852,-0.564794633898852,0.0
baseline_p5,-2.7790014233184,-2.7790014233184,0.0
baseline_p1,-11.2625424398271,-11.2625424398271,0.0
filtered_p10,-0.258602963900683,-0.189162117753304,-0.069440846147379
filtered_p5,-0.565627975916071,-0.496697390370627,-0.06893058554544396
filtered_p1,-2.7790014233184,-2.75789005978613,-0.021111363532269944
tail_improvement_p10,0.306191669998169,0.375632516145548,-0.069440846147379
tail_improvement_p5,2.213373447402329,2.282304032947773,-0.06893058554544362
tail_improvement_p1,8.4835410165087,8.504652380040971,-0.02111136353227039
opportunity_retention_rate,0.7938931297709924,0.7938931297709924,0.0
false_quarantine_rate,0.140625,0.140625,0.0
missed_profit_rate,0.2516057705284425,0.2516057705284425,0.0
worst_pool_contribution,0.5794260851570113,0.5794260851570112,1.1102230246251565e-16
worst_regime_contribution,0.6076346305694409,0.6076346305694408,1.1102230246251565e-16
