variant_name,window,horizon,proof_unit_type,raw_sample_count,valid_sample_count,entry_allowed_count,quarantined_count,invalid_count,data_quality_distribution,regime_distribution,quarantine_reason_distribution,fee_proxy_coverage,exit_depth_coverage
baseline_hold_all,recent_24h,15m,intent_window,352,348,348,0,4,"{""ok"": 348, ""invalid"": 4}","{""EXIT_DEPTH_THIN"": 47, ""WHALE_OR_HOLDER_CONCENTRATED"": 88, ""HEALTHY_SHORT_HOLD"": 208, ""VOLATILE_BUT_LIQUID"": 4, ""PRICE_SPIKE_VOLATILE"": 1}","{""invalid_sample"": 4}",1.0,1.0
baseline_hold_all,recent_24h,15m,pool_window,352,344,344,0,8,"{""ok"": 344, ""invalid"": 8}","{""WHALE_OR_HOLDER_CONCENTRATED"": 86, ""EXIT_DEPTH_THIN"": 49, ""HEALTHY_SHORT_HOLD"": 204, ""VOLATILE_BUT_LIQUID"": 4, ""PRICE_SPIKE_VOLATILE"": 1}","{""invalid_sample"": 8}",1.0,1.0
baseline_hold_all,recent_24h,1h,intent_window,352,336,336,0,16,"{""ok"": 336, ""invalid"": 16}","{""EXIT_DEPTH_THIN"": 47, ""WHALE_OR_HOLDER_CONCENTRATED"": 85, ""HEALTHY_SHORT_HOLD"": 199, ""VOLATILE_BUT_LIQUID"": 4, ""PRICE_SPIKE_VOLATILE"": 1}","{""invalid_sample"": 16}",1.0,1.0
baseline_hold_all,recent_24h,1h,pool_window,352,332,332,0,20,"{""ok"": 332, ""invalid"": 20}","{""EXIT_DEPTH_THIN"": 49, ""HEALTHY_SHORT_HOLD"": 195, ""WHALE_OR_HOLDER_CONCENTRATED"": 83, ""VOLATILE_BUT_LIQUID"": 4, ""PRICE_SPIKE_VOLATILE"": 1}","{""invalid_sample"": 20}",1.0,1.0
baseline_hold_all,recent_24h,2h,intent_window,352,320,320,0,32,"{""ok"": 320, ""invalid"": 32}","{""HEALTHY_SHORT_HOLD"": 187, ""WHALE_OR_HOLDER_CONCENTRATED"": 81, ""EXIT_DEPTH_THIN"": 47, ""VOLATILE_BUT_LIQUID"": 4, ""PRICE_SPIKE_VOLATILE"": 1}","{""invalid_sample"": 32}",1.0,1.0
baseline_hold_all,recent_24h,2h,pool_window,352,316,316,0,36,"{""ok"": 316, ""invalid"": 36}","{""EXIT_DEPTH_THIN"": 49, ""HEALTHY_SHORT_HOLD"": 183, ""WHALE_OR_HOLDER_CONCENTRATED"": 79, ""VOLATILE_BUT_LIQUID"": 4, ""PRICE_SPIKE_VOLATILE"": 1}","{""invalid_sample"": 36}",1.0,1.0
baseline_hold_all,recent_24h,30m,intent_window,352,344,344,0,8,"{""ok"": 344, ""invalid"": 8}","{""EXIT_DEPTH_THIN"": 47, ""WHALE_OR_HOLDER_CONCENTRATED"": 87, ""HEALTHY_SHORT_HOLD"": 205, ""VOLATILE_BUT_LIQUID"": 4, ""PRICE_SPIKE_VOLATILE"": 1}","{""invalid_sample"": 8}",1.0,1.0
baseline_hold_all,recent_24h,30m,pool_window,352,340,340,0,12,"{""ok"": 340, ""invalid"": 12}","{""WHALE_OR_HOLDER_CONCENTRATED"": 85, ""EXIT_DEPTH_THIN"": 49, ""HEALTHY_SHORT_HOLD"": 201, ""VOLATILE_BUT_LIQUID"": 4, ""PRICE_SPIKE_VOLATILE"": 1}","{""invalid_sample"": 12}",1.0,1.0
baseline_hold_all,recent_48h,15m,intent_window,364,364,364,0,0,"{""ok"": 364}","{""HEALTHY_SHORT_HOLD"": 115, ""EXIT_DEPTH_THIN"": 125, ""WHALE_OR_HOLDER_CONCENTRATED"": 98, ""TVL_DROP"": 5, ""VOLATILE_BUT_LIQUID"": 21}",{},1.0,1.0
baseline_hold_all,recent_48h,15m,pool_window,384,384,384,0,0,"{""ok"": 384}","{""WHALE_OR_HOLDER_CONCENTRATED"": 96, ""HEALTHY_SHORT_HOLD"": 140, ""EXIT_DEPTH_THIN"": 123, ""TVL_DROP"": 5, ""VOLATILE_BUT_LIQUID"": 20}",{},1.0,1.0
baseline_hold_all,recent_48h,1h,intent_window,364,364,364,0,0,"{""ok"": 364}","{""EXIT_DEPTH_THIN"": 125, ""WHALE_OR_HOLDER_CONCENTRATED"": 98, ""HEALTHY_SHORT_HOLD"": 115, ""TVL_DROP"": 5, ""VOLATILE_BUT_LIQUID"": 21}",{},1.0,1.0
baseline_hold_all,recent_48h,1h,pool_window,384,384,384,0,0,"{""ok"": 384}","{""HEALTHY_SHORT_HOLD"": 140, ""EXIT_DEPTH_THIN"": 123, ""WHALE_OR_HOLDER_CONCENTRATED"": 96, ""TVL_DROP"": 5, ""VOLATILE_BUT_LIQUID"": 20}",{},1.0,1.0
baseline_hold_all,recent_48h,2h,intent_window,364,364,364,0,0,"{""ok"": 364}","{""HEALTHY_SHORT_HOLD"": 115, ""EXIT_DEPTH_THIN"": 125, ""WHALE_OR_HOLDER_CONCENTRATED"": 98, ""TVL_DROP"": 5, ""VOLATILE_BUT_LIQUID"": 21}",{},1.0,1.0
baseline_hold_all,recent_48h,2h,pool_window,384,384,384,0,0,"{""ok"": 384}","{""HEALTHY_SHORT_HOLD"": 140, ""WHALE_OR_HOLDER_CONCENTRATED"": 96, ""EXIT_DEPTH_THIN"": 123, ""TVL_DROP"": 5, ""VOLATILE_BUT_LIQUID"": 20}",{},1.0,1.0
baseline_hold_all,recent_48h,30m,intent_window,364,364,364,0,0,"{""ok"": 364}","{""EXIT_DEPTH_THIN"": 125, ""WHALE_OR_HOLDER_CONCENTRATED"": 98, ""HEALTHY_SHORT_HOLD"": 115, ""TVL_DROP"": 5, ""VOLATILE_BUT_LIQUID"": 21}",{},1.0,1.0
baseline_hold_all,recent_48h,30m,pool_window,384,384,384,0,0,"{""ok"": 384}","{""WHALE_OR_HOLDER_CONCENTRATED"": 96, ""HEALTHY_SHORT_HOLD"": 140, ""EXIT_DEPTH_THIN"": 123, ""TVL_DROP"": 5, ""VOLATILE_BUT_LIQUID"": 20}",{},1.0,1.0
baseline_hold_all,recent_72h,15m,intent_window,374,374,374,0,0,"{""ok"": 374}","{""EXIT_DEPTH_THIN"": 140, ""HEALTHY_SHORT_HOLD"": 100, ""WHALE_OR_HOLDER_CONCENTRATED"": 99, ""PRICE_SPIKE_VOLATILE"": 14, ""UNKNOWN"": 3, ""VOLATILE_BUT_LIQUID"": 16, ""TVL_DROP"": 2}",{},1.0,1.0
baseline_hold_all,recent_72h,15m,pool_window,384,384,384,0,0,"{""ok"": 384}","{""HEALTHY_SHORT_HOLD"": 114, ""EXIT_DEPTH_THIN"": 140, ""WHALE_OR_HOLDER_CONCENTRATED"": 96, ""PRICE_SPIKE_VOLATILE"": 14, ""UNKNOWN"": 3, ""VOLATILE_BUT_LIQUID"": 15, ""TVL_DROP"": 2}",{},1.0,1.0
baseline_hold_all,recent_72h,1h,intent_window,374,374,374,0,0,"{""ok"": 374}","{""EXIT_DEPTH_THIN"": 140, ""HEALTHY_SHORT_HOLD"": 100, ""WHALE_OR_HOLDER_CONCENTRATED"": 99, ""PRICE_SPIKE_VOLATILE"": 14, ""UNKNOWN"": 3, ""VOLATILE_BUT_LIQUID"": 16, ""TVL_DROP"": 2}",{},1.0,1.0
baseline_hold_all,recent_72h,1h,pool_window,384,384,384,0,0,"{""ok"": 384}","{""EXIT_DEPTH_THIN"": 140, ""HEALTHY_SHORT_HOLD"": 114, ""WHALE_OR_HOLDER_CONCENTRATED"": 96, ""PRICE_SPIKE_VOLATILE"": 14, ""UNKNOWN"": 3, ""VOLATILE_BUT_LIQUID"": 15, ""TVL_DROP"": 2}",{},1.0,1.0
baseline_hold_all,recent_72h,2h,intent_window,374,374,374,0,0,"{""ok"": 374}","{""WHALE_OR_HOLDER_CONCENTRATED"": 99, ""EXIT_DEPTH_THIN"": 140, ""HEALTHY_SHORT_HOLD"": 100, ""PRICE_SPIKE_VOLATILE"": 14, ""UNKNOWN"": 3, ""VOLATILE_BUT_LIQUID"": 16, ""TVL_DROP"": 2}",{},1.0,1.0
baseline_hold_all,recent_72h,2h,pool_window,384,384,384,0,0,"{""ok"": 384}","{""EXIT_DEPTH_THIN"": 140, ""WHALE_OR_HOLDER_CONCENTRATED"": 96, ""HEALTHY_SHORT_HOLD"": 114, ""PRICE_SPIKE_VOLATILE"": 14, ""UNKNOWN"": 3, ""VOLATILE_BUT_LIQUID"": 15, ""TVL_DROP"": 2}",{},1.0,1.0
baseline_hold_all,recent_72h,30m,intent_window,374,374,374,0,0,"{""ok"": 374}","{""EXIT_DEPTH_THIN"": 140, ""HEALTHY_SHORT_HOLD"": 100, ""WHALE_OR_HOLDER_CONCENTRATED"": 99, ""PRICE_SPIKE_VOLATILE"": 14, ""UNKNOWN"": 3, ""VOLATILE_BUT_LIQUID"": 16, ""TVL_DROP"": 2}",{},1.0,1.0
baseline_hold_all,recent_72h,30m,pool_window,384,384,384,0,0,"{""ok"": 384}","{""HEALTHY_SHORT_HOLD"": 114, ""EXIT_DEPTH_THIN"": 140, ""WHALE_OR_HOLDER_CONCENTRATED"": 96, ""PRICE_SPIKE_VOLATILE"": 14, ""UNKNOWN"": 3, ""VOLATILE_BUT_LIQUID"": 15, ""TVL_DROP"": 2}",{},1.0,1.0
baseline_hold_all,recent_7d,15m,intent_window,1390,1389,1389,0,1,"{""ok"": 1389, ""invalid"": 1}","{""UNKNOWN"": 66, ""HEALTHY_SHORT_HOLD"": 535, ""WHALE_OR_HOLDER_CONCENTRATED"": 302, ""VOLATILE_BUT_LIQUID"": 82, ""EXIT_DEPTH_THIN"": 357, ""DATA_STALE_OR_INCOMPLETE"": 12, ""VOLUME_COLLAPSE"": 1, ""PRICE_SPIKE_VOLATILE"": 33, ""TVL_DROP"": 1}","{""invalid_sample"": 1}",1.0,1.0
baseline_hold_all,recent_7d,15m,pool_window,1860,1855,1855,0,5,"{""ok"": 1855, ""invalid"": 5}","{""UNKNOWN"": 520, ""HEALTHY_SHORT_HOLD"": 530, ""WHALE_OR_HOLDER_CONCENTRATED"": 324, ""VOLATILE_BUT_LIQUID"": 82, ""EXIT_DEPTH_THIN"": 348, ""DATA_STALE_OR_INCOMPLETE"": 16, ""VOLUME_COLLAPSE"": 1, ""PRICE_SPIKE_VOLATILE"": 33, ""TVL_DROP"": 1}","{""invalid_sample"": 5}",1.0,1.0
