metric,value
rows_total,4653
rows_window_recent_24h,672
rows_window_recent_48h,672
rows_window_recent_72h,672
rows_window_recent_7d,2637
rows_regime_DATA_STALE_OR_INCOMPLETE,2157
rows_regime_EXIT_DEPTH_THIN,660
rows_regime_HEALTHY_SHORT_HOLD,1010
rows_regime_PRICE_SPIKE_VOLATILE,48
rows_regime_TVL_DROP,8
rows_regime_UNKNOWN,38
rows_regime_VOLATILE_BUT_LIQUID,121
rows_regime_VOLUME_COLLAPSE,1
rows_regime_WHALE_OR_HOLDER_CONCENTRATED,610
quarantine_count,3484
should_enter_count,1010
should_research_only_count,159
unknown_count,38
