regime,window,horizon,sample_count,valid_count,hold_median,hold_p10,hold_p5,hold_p1,risk_exit_p10,quarantine_avoided_loss_count,false_quarantine_rate,missed_profit_rate,worst_pool_contribution,tail_status
DATA_STALE_OR_INCOMPLETE,recent_7d,15m,17,16,0.00045821592144879735,-0.800088537458031,-0.936902565079702,-3.80179370776767,-0.800088537458031,7,0.5294117647058824,1.0,0.6051669860673133,INSUFFICIENT
DATA_STALE_OR_INCOMPLETE,recent_7d,1h,17,16,0.0008059346410857599,-0.800088537458031,-0.936902565079702,-3.80179370776767,-0.800088537458031,7,0.5294117647058824,1.0,0.6066149340119813,INSUFFICIENT
DATA_STALE_OR_INCOMPLETE,recent_7d,2h,17,14,-0.2125066244409185,-3.80179370776767,-3.80179370776767,-4.60293335967357,-3.80179370776767,9,0.29411764705882354,1.0,0.5194082843445679,INSUFFICIENT
DATA_STALE_OR_INCOMPLETE,recent_7d,30m,17,16,-0.0043799736256120905,-0.800088537458031,-0.936902565079702,-3.80179370776767,-0.800088537458031,8,0.47058823529411764,1.0,0.6046005481582257,INSUFFICIENT
EXIT_DEPTH_THIN,recent_24h,15m,55,55,0.00677957460831458,0.00452172826893348,-0.0186845758514543,-2.65369176252155,0.00452172826893348,5,0.9090909090909091,1.0,0.9966311066048904,FAIL
EXIT_DEPTH_THIN,recent_24h,1h,55,55,0.0252964350944866,-2.61532320985002,-2.65647128968593,-2.69475762048395,-2.61532320985002,13,0.7636363636363637,1.0,0.9976784377099926,FAIL
EXIT_DEPTH_THIN,recent_24h,2h,55,55,0.0486469157733405,-2.6096298024321,-2.63606842930328,-2.67294069848965,-2.6096298024321,21,0.6181818181818182,1.0,0.9982419157438797,FAIL
EXIT_DEPTH_THIN,recent_24h,30m,55,55,0.013418522852922,-0.0127688574698544,-2.62224011178802,-2.70727955440461,-0.0127688574698544,8,0.8545454545454545,1.0,0.9976671436146207,FAIL
EXIT_DEPTH_THIN,recent_48h,15m,120,120,0.039072039031899805,-0.000789291797624156,-0.783116358294101,-1.51950738819071,-0.000789291797624156,14,0.8833333333333333,1.0,0.9246698460610308,FAIL
EXIT_DEPTH_THIN,recent_48h,1h,120,120,0.154601186807898,-0.279807387058156,-1.0868534909623,-1.97748880678574,-0.279807387058156,18,0.85,1.0,0.9097739029621122,FAIL
EXIT_DEPTH_THIN,recent_48h,2h,120,120,0.273985315512475,-0.67867612546003,-1.24327649216581,-1.81758349879728,-0.67867612546003,22,0.8166666666666667,1.0,0.8071083919745982,FAIL
EXIT_DEPTH_THIN,recent_48h,30m,120,120,0.07740829257993775,-0.00712079613191068,-0.761244435439668,-2.04966017217154,-0.00712079613191068,15,0.875,1.0,0.9311475848603589,FAIL
EXIT_DEPTH_THIN,recent_72h,15m,143,143,0.00705343435447687,-0.0762479895535313,-10.7938483026651,-11.2539947681109,-0.0762479895535313,35,0.7552447552447552,1.0,0.9765016185384371,FAIL
EXIT_DEPTH_THIN,recent_72h,1h,143,143,0.0250019258076579,-1.29321659366566,-11.1188864657384,-11.2474298983813,-1.29321659366566,43,0.6993006993006993,1.0,0.9740890451033978,FAIL
EXIT_DEPTH_THIN,recent_72h,2h,143,143,0.0479931472437539,-2.32961430279838,-11.1884013347718,-11.4685158270958,-2.32961430279838,46,0.6783216783216783,1.0,0.9730390616408936,FAIL
EXIT_DEPTH_THIN,recent_72h,30m,143,143,0.0132348303725184,-1.03571283332427,-11.1057833541928,-11.2525262366296,-1.03571283332427,42,0.7062937062937062,1.0,0.9802006922334823,FAIL
EXIT_DEPTH_THIN,recent_7d,15m,342,342,0.007693152909488734,-0.00128327655972119,-0.210837698027905,-2.51276897548766,-0.00128327655972119,37,0.8918128654970761,1.0,0.6853626969393207,FAIL
EXIT_DEPTH_THIN,recent_7d,1h,342,342,0.02861157129706835,-0.251299151781052,-1.15400198181438,-7.86099926098054,-0.252816931301482,55,0.8391812865497076,1.0,0.5652056717927461,FAIL
EXIT_DEPTH_THIN,recent_7d,2h,342,342,0.055054774905926446,-0.27460588110792,-1.7186538077201,-7.83776999512515,-0.27460588110792,75,0.7807017543859649,1.0,0.6054553442204333,FAIL
EXIT_DEPTH_THIN,recent_7d,30m,342,342,0.015184302972183449,-0.0270352433985666,-0.334125430191728,-2.79975363225526,-0.0270352433985666,43,0.8742690058479532,1.0,0.6299065997191491,FAIL
HEALTHY_SHORT_HOLD,recent_24h,15m,213,207,0.00471396738992711,-0.00561417192221434,-0.0284729889969102,-0.599720498502281,-0.00561417192221434,0,,0.0,0.8681657455541962,FAIL
HEALTHY_SHORT_HOLD,recent_24h,1h,213,198,0.018743279812536248,-0.0462125657804237,-0.535599946657195,-0.595843090283443,-0.0462125657804237,0,,0.0,0.8071768850905668,FAIL
HEALTHY_SHORT_HOLD,recent_24h,2h,213,186,0.0370597288719437,-0.18572104699236,-0.507754151687971,-0.586100657922716,-0.18572104699236,0,,0.0,0.6939568824170991,FAIL
HEALTHY_SHORT_HOLD,recent_24h,30m,213,204,0.009391141376202304,-0.018696449205711,-0.213526815458452,-0.600187066505452,-0.018696449205711,0,,0.0,0.8613554916277837,FAIL
HEALTHY_SHORT_HOLD,recent_48h,15m,143,143,0.0062632849853258,-0.0173470367651431,-0.21426872727188,-0.821288732717139,-0.0173470367651431,0,,0.0,0.5150448136472364,FAIL
HEALTHY_SHORT_HOLD,recent_48h,1h,143,143,0.0162793237768233,-0.473680974448602,-0.723851617719587,-0.788483915951138,-0.473680974448602,0,,0.0,0.6155646007844552,FAIL
HEALTHY_SHORT_HOLD,recent_48h,2h,143,143,0.030610957088623,-0.649040466177108,-0.783588087075274,-0.952623875816029,-0.668066460830032,0,,0.0,0.5522011507773208,FAIL
HEALTHY_SHORT_HOLD,recent_48h,30m,143,143,0.0100101979275079,-0.114146207602452,-0.47108724091746,-0.808533197184666,-0.114146207602452,0,,0.0,0.5655398106804659,FAIL
HEALTHY_SHORT_HOLD,recent_72h,15m,111,111,0.00468347911756262,-0.057636420299268,-0.155096719218819,-0.487939415868555,-0.0563175793300625,0,,0.0,0.8253262417761873,FAIL
HEALTHY_SHORT_HOLD,recent_72h,1h,111,111,0.019229622620842,-0.210947993440793,-0.480280865465425,-2.75210625108692,-0.184795134043114,0,,0.0,0.9186831063964791,FAIL
HEALTHY_SHORT_HOLD,recent_72h,2h,111,111,0.0292245059826112,-0.490787014145456,-2.41771562786461,-2.80159946794192,-0.490787014145456,0,,0.0,0.9529558334971714,FAIL
HEALTHY_SHORT_HOLD,recent_72h,30m,111,111,0.00736084336612848,-0.194004303731862,-0.31684503582688,-2.43951501797563,-0.142142631501671,0,,0.0,0.8179028942185327,FAIL
HEALTHY_SHORT_HOLD,recent_7d,15m,528,527,0.00418222467911892,-0.00891350665958027,-0.231425335119857,-1.02987511885327,-0.00891350665958027,0,,0.0,0.6898132653603085,FAIL
HEALTHY_SHORT_HOLD,recent_7d,1h,528,524,0.01340051759747735,-0.0731511156226056,-0.571653125012504,-1.56521265373695,-0.0731511156226056,0,,0.0,0.63592679572233,FAIL
HEALTHY_SHORT_HOLD,recent_7d,2h,528,520,0.02680001514983775,-0.200402504724082,-0.576021436343492,-1.53797466680096,-0.200402504724082,0,,0.0,0.6256767898009284,FAIL
