run_id,window,proof_unit_type,horizon,raw_candidate_windows,valid_windows,invalid_windows,invalid_reason_distribution,risk_signal_coverage,exit_trigger_coverage,quarantine_count,fee_proxy_coverage,exit_cost_coverage,data_quality_distribution
20260531_073906,recent_24h,intent_window,15m,388,384,4,"{""no_future_pool_mark"": 4}",0,0,4,1,1,"{""ok"": 384, ""invalid"": 4}"
20260531_073906,recent_24h,intent_window,1h,388,372,16,"{""no_future_pool_mark"": 16}",0,0,16,1,1,"{""ok"": 372, ""invalid"": 16}"
20260531_073906,recent_24h,intent_window,2h,388,356,32,"{""no_future_pool_mark"": 32}",0,0,32,1,1,"{""ok"": 356, ""invalid"": 32}"
20260531_073906,recent_24h,intent_window,30m,388,380,8,"{""no_future_pool_mark"": 8}",0,0,8,1,1,"{""ok"": 380, ""invalid"": 8}"
20260531_073906,recent_24h,pool_window,15m,388,380,8,"{""no_future_pool_mark"": 8}",0,0,8,1,1,"{""ok"": 380, ""invalid"": 8}"
20260531_073906,recent_24h,pool_window,1h,388,368,20,"{""no_future_pool_mark"": 20}",0,0,20,1,1,"{""ok"": 368, ""invalid"": 20}"
20260531_073906,recent_24h,pool_window,2h,388,352,36,"{""no_future_pool_mark"": 36}",0,0,36,1,1,"{""ok"": 352, ""invalid"": 36}"
20260531_073906,recent_24h,pool_window,30m,388,376,12,"{""no_future_pool_mark"": 12}",0,0,12,1,1,"{""ok"": 376, ""invalid"": 12}"
20260531_073906,recent_48h,intent_window,15m,355,355,0,{},0,0,0,1,1,"{""ok"": 355}"
20260531_073906,recent_48h,intent_window,1h,355,355,0,{},16,16,0,1,1,"{""ok"": 355}"
20260531_073906,recent_48h,intent_window,2h,355,355,0,{},37,37,0,1,1,"{""ok"": 355}"
20260531_073906,recent_48h,intent_window,30m,355,355,0,{},6,6,0,1,1,"{""ok"": 355}"
20260531_073906,recent_48h,pool_window,15m,380,380,0,{},1,1,0,1,1,"{""ok"": 380}"
20260531_073906,recent_48h,pool_window,1h,380,380,0,{},17,17,0,1,1,"{""ok"": 380}"
20260531_073906,recent_48h,pool_window,2h,380,380,0,{},37,37,0,1,1,"{""ok"": 380}"
20260531_073906,recent_48h,pool_window,30m,380,380,0,{},8,8,0,1,1,"{""ok"": 380}"
20260531_073906,recent_72h,intent_window,15m,384,384,0,{},0,0,0,1,1,"{""ok"": 384}"
20260531_073906,recent_72h,intent_window,1h,384,384,0,{},3,3,0,1,1,"{""ok"": 384}"
20260531_073906,recent_72h,intent_window,2h,384,384,0,{},7,7,0,1,1,"{""ok"": 384}"
20260531_073906,recent_72h,intent_window,30m,384,384,0,{},1,1,0,1,1,"{""ok"": 384}"
20260531_073906,recent_72h,pool_window,15m,388,388,0,{},1,1,0,1,1,"{""ok"": 388}"
20260531_073906,recent_72h,pool_window,1h,388,388,0,{},3,3,0,1,1,"{""ok"": 388}"
20260531_073906,recent_72h,pool_window,2h,388,388,0,{},8,8,0,1,1,"{""ok"": 388}"
20260531_073906,recent_72h,pool_window,30m,388,388,0,{},2,2,0,1,1,"{""ok"": 388}"
20260531_073906,recent_168h,intent_window,15m,1353,1352,1,"{""no_future_pool_mark"": 1}",0,0,1,1,1,"{""ok"": 1352, ""invalid"": 1}"
20260531_073906,recent_168h,intent_window,1h,1353,1349,4,"{""no_future_pool_mark"": 4}",28,28,4,1,1,"{""ok"": 1349, ""invalid"": 4}"
20260531_073906,recent_168h,intent_window,2h,1353,1345,8,"{""no_future_pool_mark"": 8}",52,52,8,1,1,"{""ok"": 1345, ""invalid"": 8}"
20260531_073906,recent_168h,intent_window,30m,1353,1351,2,"{""no_future_pool_mark"": 2}",10,10,2,1,1,"{""ok"": 1351, ""invalid"": 2}"
20260531_073906,recent_168h,pool_window,15m,1824,1819,5,"{""no_future_pool_mark"": 5}",9,9,5,1,1,"{""ok"": 1819, ""invalid"": 5}"
20260531_073906,recent_168h,pool_window,1h,1824,1816,8,"{""no_future_pool_mark"": 8}",50,50,8,1,1,"{""ok"": 1816, ""invalid"": 8}"
20260531_073906,recent_168h,pool_window,2h,1824,1809,15,"{""no_future_pool_mark"": 15}",95,95,15,1,1,"{""ok"": 1809, ""invalid"": 15}"
20260531_073906,recent_168h,pool_window,30m,1824,1818,6,"{""no_future_pool_mark"": 6}",25,25,6,1,1,"{""ok"": 1818, ""invalid"": 6}"
