position_id,pool_id,token_pair,open_time,close_time,horizon,target_time,horizon_matured,latest_mark_before_open,first_mark_after_open,mark_count_after_open,mark_count_before_target,mark_count_after_target,nearest_mark_to_target,nearest_pool_mark_to_target,mark_distance_seconds,pool_mark_distance_seconds,position_level_mark_exists,pool_level_mark_exists,terminal_before_target,materializer_invalid_reason
shadow-pos-cb15043da11c7e25ca7f64a4,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,2026-05-30T12:34:45+00:00,1970-01-01T00:00:00+00:00,6h,2026-05-30T18:34:45+00:00,False,,2026-05-30T12:35:07+00:00,116,116,0,,,,,False,False,True,no_future_mark
shadow-pos-cb15043da11c7e25ca7f64a4,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,2026-05-30T12:34:45+00:00,1970-01-01T00:00:00+00:00,12h,2026-05-31T00:34:45+00:00,False,,2026-05-30T12:35:07+00:00,116,116,0,,,,,False,False,True,no_future_mark
shadow-pos-cb15043da11c7e25ca7f64a4,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,2026-05-30T12:34:45+00:00,1970-01-01T00:00:00+00:00,24h,2026-05-31T12:34:45+00:00,False,,2026-05-30T12:35:07+00:00,116,116,0,,,,,False,False,True,no_future_mark
shadow-pos-be9a6eabd2e675efc19537d7,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,2026-05-30T00:33:46+00:00,2026-05-30T12:34:10+00:00,6h,2026-05-30T06:33:46+00:00,True,,2026-05-30T00:34:08+00:00,722,360,362,2026-05-30T06:34:08+00:00,2026-05-30T06:34:08+00:00,22,22,True,True,False,
shadow-pos-be9a6eabd2e675efc19537d7,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,2026-05-30T00:33:46+00:00,2026-05-30T12:34:10+00:00,12h,2026-05-30T12:33:46+00:00,True,,2026-05-30T00:34:08+00:00,722,720,2,2026-05-30T12:34:07+00:00,2026-05-30T12:34:07+00:00,21,21,True,True,False,
shadow-pos-be9a6eabd2e675efc19537d7,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,2026-05-30T00:33:46+00:00,2026-05-30T12:34:10+00:00,24h,2026-05-31T00:33:46+00:00,False,,2026-05-30T00:34:08+00:00,722,722,0,,,,,False,False,True,no_future_mark
shadow-pos-b60682a65fc987e4cafc2c35,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,2026-05-28T15:57:43+00:00,2026-05-29T03:57:47+00:00,6h,2026-05-28T21:57:43+00:00,True,,2026-05-28T15:57:44+00:00,722,360,362,2026-05-28T21:57:44+00:00,2026-05-28T21:57:44+00:00,1,1,True,True,False,
shadow-pos-b60682a65fc987e4cafc2c35,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,2026-05-28T15:57:43+00:00,2026-05-29T03:57:47+00:00,12h,2026-05-29T03:57:43+00:00,True,,2026-05-28T15:57:44+00:00,722,720,2,2026-05-29T03:57:44+00:00,2026-05-29T03:57:44+00:00,1,1,True,True,False,
shadow-pos-b60682a65fc987e4cafc2c35,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,2026-05-28T15:57:43+00:00,2026-05-29T03:57:47+00:00,24h,2026-05-29T15:57:43+00:00,True,,2026-05-28T15:57:44+00:00,722,722,0,,2026-05-29T15:58:00+00:00,,17,False,True,True,no_future_mark
shadow-pos-6bfc5f6e3776703d8e52a015,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,2026-05-29T00:20:43+00:00,2026-05-29T12:22:04+00:00,6h,2026-05-29T06:20:43+00:00,True,,2026-05-29T00:20:47+00:00,723,360,363,2026-05-29T06:20:47+00:00,2026-05-29T06:20:47+00:00,4,4,True,True,False,
shadow-pos-6bfc5f6e3776703d8e52a015,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,2026-05-29T00:20:43+00:00,2026-05-29T12:22:04+00:00,12h,2026-05-29T12:20:43+00:00,True,,2026-05-29T00:20:47+00:00,723,720,3,2026-05-29T12:21:00+00:00,2026-05-29T12:21:00+00:00,17,17,True,True,False,
shadow-pos-6bfc5f6e3776703d8e52a015,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,2026-05-29T00:20:43+00:00,2026-05-29T12:22:04+00:00,24h,2026-05-30T00:20:43+00:00,True,,2026-05-29T00:20:47+00:00,723,723,0,,2026-05-30T00:21:08+00:00,,25,False,True,True,no_future_mark
shadow-pos-e727d909ca2ff30cc5c3183e,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,2026-05-29T03:58:43+00:00,2026-05-29T15:59:04+00:00,6h,2026-05-29T09:58:43+00:00,True,,2026-05-29T03:58:45+00:00,722,360,362,2026-05-29T09:59:00+00:00,2026-05-29T09:59:00+00:00,17,17,True,True,False,
